collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"40","foil","en","Estrid, the Masked","","1","3340b83e-72dc-42e2-9f93-92f732c047df","c18","Commander 2018"
"128","","en","Aura Gnarlid","","1","808d06bb-1467-4c91-965e-bf8874ffa5e6","c18","Commander 2018"
"61","","en","Ajani's Chosen","","1","83ec7a9d-d932-4edc-857f-0fae060d1480","c18","Commander 2018"
"81","","en","Archetype of Imagination","","1","037b396c-2146-4d86-9d13-757685c850c7","c18","Commander 2018"
"38","","en","Arixmethes, Slumbering Isle","","1","c723c7dc-a452-49ec-a4e5-9e516fe530e9","c18","Commander 2018"
"233","","en","Azorius Chancery","","1","0784336e-89ed-44ad-a9c4-58c5ee1fc01a","c18","Commander 2018"
"131","","en","Bear Umbra","","1","f025451f-24aa-41d6-9051-c456e52bbdda","c18","Commander 2018"
"169","","en","Bant Charm","","1","1bb6e08b-58a9-4f2f-b9b3-1b8864ee5afd","c18","Commander 2018"
"237","","en","Blossoming Sands","","1","8eb3966d-28d0-4a6f-8ea7-9204f7d69a30","c18","Commander 2018"
"132","","en","Boon Satyr","","1","477a30f3-3cbe-42a5-9fae-fe5885a8cf25","c18","Commander 2018"
"170","","en","Bruna, Light of Alabaster","","1","58c56bad-68ed-4328-a7ea-c528b58dc2fd","c18","Commander 2018"
"64","","en","Celestial Archon","","1","c40cb58f-370f-487a-9a96-bdce173aa3c6","c18","Commander 2018"
"172","","en","Cold-Eyed Selkie","","1","68fdd9d0-f4a1-4d92-9414-5187ecad8d0f","c18","Commander 2018"
"137","","en","Creeping Renaissance","","1","71569961-d56c-43f9-ae51-d86561419743","c18","Commander 2018"
"240","","en","Command Tower","","1","6d28946e-a478-4e0b-b39b-ec0236ddc9a5","c18","Commander 2018"
"139","","en","Dawn's Reflection","","1","1366d406-4539-408f-93c1-f940327c1ba2","c18","Commander 2018"
"173","","en","Daxos of Meletis","","1","ed3f19aa-1131-467f-8ae5-065e14aeb153","c18","Commander 2018"
"86","","en","Dictate of Kruphix","","1","aa9f176b-6d33-4510-9ba2-98bdd12ba34e","c18","Commander 2018"
"66","","en","Dismantling Blow","","1","6dd93caf-3755-4e87-b399-22b93365ca8f","c18","Commander 2018"
"177","","en","Elderwood Scion","","1","c16dabf9-6b77-44dd-8fe8-bd3e36a57d7e","c18","Commander 2018"
"140","","en","Eidolon of Blossoms","","1","0d82f171-b1f6-4e80-996a-c579a1be252c","c18","Commander 2018"
"89","","en","Eel Umbra","","1","580559f6-8be9-4688-af39-9209377d09a8","c18","Commander 2018"
"9","","en","Ever-Watching Threshold","","1","b711a0aa-90e5-4f16-9dc3-9cc331fc3101","c18","Commander 2018"
