collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Admiral Brass, Unsinkable","","1","bdc2d492-9d1e-4543-8b9c-c66ee67992ce","lcc","The Lost Caverns of Ixalan Commander"
"395","","en","Island","","6","23e3ed2c-342b-44aa-8e3e-0c53602397c3","lci","The Lost Caverns of Ixalan"
"399","","en","Mountain","","5","e82fc4bc-ac81-4ad6-8b33-781d047f60d5","lci","The Lost Caverns of Ixalan"
"398","","en","Swamp","","4","ed0b0b4f-2b31-4fe1-aedb-be9d34fce688","lci","The Lost Caverns of Ixalan"
"299","","en","Arcane Signet","","1","fc6c69a0-ac24-4486-8893-a6303d08fc6e","lcc","The Lost Caverns of Ixalan Commander"
"325","","en","Command Tower","","1","d477d733-2360-4f1d-9ecd-cdedc2e8a7ae","lcc","The Lost Caverns of Ixalan Commander"
"221","","en","Chaos Warp","","1","73ca9629-b1e3-49d6-ae10-908b9e4e67ce","lcc","The Lost Caverns of Ixalan Commander"
"326","","en","Crumbling Necropolis","","1","d3600e12-5633-42fd-b1cc-e90790a16b20","lcc","The Lost Caverns of Ixalan Commander"
"328","","en","Evolving Wilds","","1","fa6a5029-f4df-43dd-b5a9-fbf6ff003675","lcc","The Lost Caverns of Ixalan Commander"
"225","","en","Faithless Looting","","1","57800da2-c68c-4535-a5eb-19cd007f6ced","lcc","The Lost Caverns of Ixalan Commander"
"304","","en","Herald's Horn","","1","4bfa71d4-4125-4404-9c24-979401bae592","lcc","The Lost Caverns of Ixalan Commander"
"349","","en","Rogue's Passage","","1","a7dc75a8-c500-4b50-aff9-32ce36566104","lcc","The Lost Caverns of Ixalan Commander"
"313","","en","Sol Ring","","1","2d47121d-8b90-4d28-9ffa-0a640b9dd611","lcc","The Lost Caverns of Ixalan Commander"
"366","","en","Unclaimed Territory","","1","e7bd3aaa-864c-4cbb-bbab-68d87c824e3d","lcc","The Lost Caverns of Ixalan Commander"
"154","","en","Distant Melody","","1","bba22321-526e-4587-903b-a60cda2093fa","lcc","The Lost Caverns of Ixalan Commander"
"305","","en","Icon of Ancestry","","1","f6cdbdf3-f8bd-48a9-8a47-6b0b9d5de0db","lcc","The Lost Caverns of Ixalan Commander"
"172","","en","Spectral Sailor","","1","0b25b281-ab3b-4821-8144-dcb1f3281f96","lcc","The Lost Caverns of Ixalan Commander"
"216","","en","Blasphemous Act","","1","8aa9682d-5176-4475-a0bd-e000f1d6999a","lcc","The Lost Caverns of Ixalan Commander"
"301","","en","Commander's Sphere","","1","c643146f-da7b-4cc0-b874-4accad99ccce","lcc","The Lost Caverns of Ixalan Commander"
"302","","en","Dimir Signet","","1","95de0112-3560-413c-91a9-a2b29d6488f6","lcc","The Lost Caverns of Ixalan Commander"
"329","","en","Exotic Orchard","","1","a54b6832-9990-4144-99ef-990a9ad4c081","lcc","The Lost Caverns of Ixalan Commander"
"360","","en","Terramorphic Expanse","","1","19b72af8-9bb9-4542-9115-09c27ad6e7ad","lcc","The Lost Caverns of Ixalan Commander"
"317","","en","Wayfarer's Bauble","","1","2eb513b3-9c9e-4837-8f58-67d698677041","lcc","The Lost Caverns of Ixalan Commander"
"180","","en","Windfall","","1","14e1af91-34fe-4d82-b119-cbadf75a7dbe","lcc","The Lost Caverns of Ixalan Commander"
"346","","en","Path of Ancestry","","1","f30552a5-db59-4164-bbd2-44bf7ae1e91e","lcc","The Lost Caverns of Ixalan Commander"
"335","","en","Geier Reach Sanitarium","","1","4b9c92f0-4242-4a3e-9ede-6a4935f5c75d","lcc","The Lost Caverns of Ixalan Commander"
"355","","en","Sunken Hollow","","1","4622cb98-5a82-4fbf-9a81-d18c56dfea50","lcc","The Lost Caverns of Ixalan Commander"
"156","","en","Evacuation","","1","b11037bc-e719-461e-a89e-9c026dfd9fd4","lcc","The Lost Caverns of Ixalan Commander"
"353","","en","Smoldering Marsh","","1","71727ccd-8243-48f2-a90e-6ae4b80bb61b","lcc","The Lost Caverns of Ixalan Commander"
"322","","en","Choked Estuary","","1","1fee96d0-f470-4ddd-a9ac-9dc724f801b0","lcc","The Lost Caverns of Ixalan Commander"
"330","","en","Foreboding Ruins","","1","eaf65322-6f41-413e-9852-0366e88e5245","lcc","The Lost Caverns of Ixalan Commander"
"311","","en","Rakdos Signet","","1","e9816461-a471-4f29-9a57-67ac8552d09d","lcc","The Lost Caverns of Ixalan Commander"
"327","","en","Desolate Lighthouse","","1","c155cc10-09f4-424b-b366-142adf9c1712","lcc","The Lost Caverns of Ixalan Commander"
"219","","en","Captivating Crew","","1","611950cc-d10b-438e-abc2-ca0bbe00d76b","lcc","The Lost Caverns of Ixalan Commander"
"306","","en","Izzet Signet","","1","8f4f9cb2-4003-4588-af80-d47ec57f65f4","lcc","The Lost Caverns of Ixalan Commander"
"227","","en","Kari Zev, Skyship Raider","","1","48765efe-bcb5-4a15-acd0-607ead64ae6d","lcc","The Lost Caverns of Ixalan Commander"
"231","","en","Shared Animosity","","1","1bd77ae9-c5ba-44af-80e9-7c852722ef6c","lcc","The Lost Caverns of Ixalan Commander"
"146","","en","Bident of Thassa","","1","94751d5e-7693-44af-b1b5-e440677dc7a2","lcc","The Lost Caverns of Ixalan Commander"
"284","","en","Rakdos Charm","","1","875fa08c-cb66-4230-a380-0123260aac74","lcc","The Lost Caverns of Ixalan Commander"
