collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1336","foil","en","Bruna, the Fading Light","","1","66a0347e-8ec6-463e-aef5-33f7d62899e2","sld","Secret Lair Drop"
"783","foil","en","Plains","","30","2ab98b67-3450-4cb2-9d2d-b4e3448dcd73","cmm","Commander Masters"
"ELD-331","","en","Arcane Signet","","1","db6cdee9-dc3a-450c-a5a6-b34f021939ca","plst","The List"
"ELD-332","","en","Tome of Legends","","1","2f0831d0-88d2-40fa-9f9d-6f270c5d94ef","plst","The List"
"RIX-185","","en","Arch of Orazca","","1","1a5f3ba3-8c20-4d94-8c97-0f393132168a","plst","The List"
"C19-217","","en","Lightning Greaves","","1","ef5c570d-e415-4ac3-b48f-574ce109303a","plst","The List"
"WTH-153","","en","Mind Stone","","1","6dcc9f62-5b6c-422d-b4c8-eba1d363ede6","plst","The List"
"CON-15","","en","Path to Exile","","1","10d55e28-871f-4dd5-a328-46c34de19ea9","plst","The List"
"C18-222","","en","Sol Ring","","1","1b3a4537-1d51-47ac-a12e-6b8d68f530e6","plst","The List"
"ORI-240","","en","Sword of the Animist","","1","fd34a6d0-9368-4cc0-86c1-683354aad7b9","plst","The List"
"VOC-99","","en","Swords to Plowshares","","1","5287cab9-29f3-4516-b1f0-57ff6ebe889a","plst","The List"
"EMN-47","","en","Thalia's Lancers","","1","4daf0b39-8baf-4455-b1d5-d287374c96aa","plst","The List"
"M21-22","","en","Griffin Aerie","","1","2a64a64f-55d2-41e2-aa33-31daba8344c8","plst","The List"
"M21-232","","en","Mazemind Tome","","1","aee146cf-1f86-4016-8b42-333f194def8e","plst","The List"
"M21-38","","en","Speaker of the Heavens","","1","cd39083e-f67e-4be1-9c1d-29df27e1ff1a","plst","The List"
"M11-28","","en","Serra Ascendant","","1","a1f76082-d55e-45cc-977a-090a344484ed","plst","The List"
"M20-2","","en","Ajani, Strength of the Pride","","1","49109f9f-c3df-4694-9c80-32fc28169442","plst","The List"
"M20-8","","en","Bishop of Wings","","1","c369d381-b48e-43cf-a032-8bcb120f443e","plst","The List"
"WWK-123","","en","Everflowing Chalice","","1","2f7fc988-273a-45f4-85b6-597d1827504f","plst","The List"
"M12-219","","en","Swiftfoot Boots","","1","a41a16a0-6afc-452d-a18f-94f0d68f1cda","plst","The List"
"C15-273","","en","Urza's Incubator","","1","d11f6928-793b-4e91-b7b7-c881ff4ac986","plst","The List"
"C18-55","","en","Endless Atlas","","1","9b33e3d0-a950-476c-b7dc-1af5767ab1ae","plst","The List"
"C17-52","","en","Heirloom Blade","","1","0fc611aa-9418-41c1-ad6d-f2232b3c35c0","plst","The List"
