collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Bello, Bard of the Brambles","","1","31e4b7a1-b377-49d2-a92e-4bcb0db35f16","blc","Bloomburrow Commander"
"240","","en","Wandertale Mentor","","1","8c399a55-d02e-41ed-b827-8784b738c118","blb","Bloomburrow"
"157","","en","Teapot Slinger","","1","30506844-349f-4b68-8cc1-d028c1611cc7","blb","Bloomburrow"
"127","","en","Arcane Signet","","1","28180667-cc1e-4f64-9a69-00425ef85ba0","blc","Bloomburrow Commander"
"119","","en","Farseek","","1","6c41b3c9-bbed-447d-a952-250bb7091a9e","blc","Bloomburrow Commander"
"130","","en","Command Tower","","1","63a39996-48b7-42bb-9759-a42382ee0468","blc","Bloomburrow Commander"
"35","","en","Trailtracker Scout","","1","36ee967a-3cac-4fff-b616-ec2557c676f2","blc","Bloomburrow Commander"
"26","","en","Pyreswipe Hawk","","1","0cf88f89-9490-4477-b632-85c513e8c749","blc","Bloomburrow Commander"
"22","","en","Alchemist's Talent","","1","2fb8dace-c604-40fc-bbd4-5add5deb041a","blc","Bloomburrow Commander"
"25","","en","Prosperous Bandit","","1","6b3a7194-25e8-4639-a490-96e9cfce0f84","blc","Bloomburrow Commander"
"30","","en","Evercoat Ursine","","1","b299d768-b171-47e5-b69d-82ce13917c43","blc","Bloomburrow Commander"
"28","","en","Brightcap Badger // Fungus Frolic","","1","0e843102-b8cc-4bc8-872e-79924197f4cc","blc","Bloomburrow Commander"
"34","","en","Thickest in the Thicket","","1","821f01e4-082e-424a-ae77-4053da893eb2","blc","Bloomburrow Commander"
"39","","en","Rolling Hamsphere","","1","04d6e7f2-fb69-477c-b4f1-8a97485dbf32","blc","Bloomburrow Commander"
"129","","en","Sol Ring","","1","fff440c0-7e6a-46c2-9989-f1b5af20fd44","blc","Bloomburrow Commander"
"345","","en","Terramorphic Expanse","","1","21bb96d8-483c-4fde-97ea-08be9570c289","blc","Bloomburrow Commander"
"115","","en","Chaos Warp","","1","7a050532-1e75-4212-acb0-ec740378af10","blc","Bloomburrow Commander"
"116","","en","Sunbird's Invocation","","1","1512eddf-7a24-4f0a-967f-85e51cc08907","blc","Bloomburrow Commander"
"117","","en","Warstorm Surge","","1","604a6feb-0586-479c-a7b9-60abe9a13eb1","blc","Bloomburrow Commander"
"216","","en","Explore","","1","18e5fdee-1ec4-44a2-b84c-35897f1d2912","blc","Bloomburrow Commander"
"120","","en","Harmonize","","1","bb27bd6f-dec5-4e05-b228-d606a03380ad","blc","Bloomburrow Commander"
"114","","en","Blasphemous Act","","1","fb01696a-855c-45af-804c-d41acb6496e1","blc","Bloomburrow Commander"
"131","","en","Exotic Orchard","","1","e6d8d98d-29b2-4ca2-bbda-4db2e8f6ae0b","blc","Bloomburrow Commander"
"191","","en","Abrade","","1","c1466ae6-9dbc-4ead-844b-9b1ba7274baf","blc","Bloomburrow Commander"
"193","","en","Big Score","","1","243b460e-e67a-40d7-a874-a61fdb011c5a","blc","Bloomburrow Commander"
"206","","en","Beast Within","","1","601c59cf-f3df-4003-9ae9-613a1d4a620b","blc","Bloomburrow Commander"
"192","","en","Berserkers' Onslaught","","1","83c64ec3-ad6d-45d8-a44a-fd557d1ad2bf","blc","Bloomburrow Commander"
"207","","en","Bootleggers' Stash","","1","c10525b5-067c-4a30-a069-875f11f2ff19","blc","Bloomburrow Commander"
"266","","en","Burnished Hart","","1","2a7f80b8-e634-4770-b6d1-bdc05e4cbb69","blc","Bloomburrow Commander"
"299","","en","Cinder Glade","","1","2c75c411-b5a4-40ad-ad78-e49e37891024","blc","Bloomburrow Commander"
"251","","en","Decimate","","1","ed38da33-c230-4eec-b7c7-3b0c5cdf727a","blc","Bloomburrow Commander"
"212","","en","Cultivate","","1","2d378437-4fc1-4004-a49a-98d7bac36ef5","blc","Bloomburrow Commander"
"301","","en","Copperline Gorge","","1","c25daaa2-2a04-4fb0-8db3-6e564c26fadc","blc","Bloomburrow Commander"
"302","","en","Evolving Wilds","","1","516d6669-929e-4884-ae92-9a98cb7f9376","blc","Bloomburrow Commander"
"196","","en","Etali, Primal Storm","","1","8dd1b0e5-b197-4e8a-a34f-e0b16a928fb0","blc","Bloomburrow Commander"
"215","","en","Esika's Chariot","","1","1f2514c2-c0c7-44f3-ab9d-48b227f039db","blc","Bloomburrow Commander"
"220","","en","Ghalta, Primal Hunger","","1","ef6a7dc0-35c2-4300-b0c5-28b04706291f","blc","Bloomburrow Commander"
"219","","en","Garruk's Uprising","","1","0d229647-ffe9-4428-b4d6-a318108fc550","blc","Bloomburrow Commander"
"218","","en","Garruk's Packleader","","1","109dee37-5de5-40fa-9405-8645be6c5076","blc","Bloomburrow Commander"
"306","","en","Game Trail","","1","e42e3260-33d7-4cee-8cac-61ed006abf3e","blc","Bloomburrow Commander"
"305","","en","Forgotten Cave","","1","e8ae2de4-0460-40b4-aa41-70f95919923e","blc","Bloomburrow Commander"
"269","","en","Fellwar Stone","","1","e99c4fec-eb21-4288-a12f-1c58c4946bae","blc","Bloomburrow Commander"
"310","","en","Gruul Turf","","1","32a29fdf-12f0-4932-9a41-faa18cd56b44","blc","Bloomburrow Commander"
"273","","en","Gruul Signet","","1","1e71ad66-28ae-4cd6-ac71-d8710e9ea9cd","blc","Bloomburrow Commander"
"224","","en","Grothama, All-Devouring","","1","08b5301b-9f3c-4fb2-a308-a47a16c08fc0","blc","Bloomburrow Commander"
"253","","en","Grumgully, the Generous","","1","d8d7ac51-450e-473e-93e1-3fa9b3b6e2d4","blc","Bloomburrow Commander"
"223","","en","Greater Good","","1","debe9258-209a-44cb-99e9-49affd02aa32","blc","Bloomburrow Commander"
"197","","en","Gratuitous Violence","","1","bab5985d-636e-41e3-8138-3e108eef8221","blc","Bloomburrow Commander"
"222","","en","Goreclaw, Terror of Qal Sisma","","1","de8a64e5-9986-4692-b173-43475f4b5005","blc","Bloomburrow Commander"
"271","","en","Gilded Lotus","","1","725cb5db-d4b6-453b-9a10-4ab7d98e1023","blc","Bloomburrow Commander"
"275","","en","Hedron Archive","","1","228ce785-033c-4973-89c7-4616a5b9c9d2","blc","Bloomburrow Commander"
"314","","en","Karplusan Forest","","1","bf999ad0-ec64-4bbc-b0c3-fc0946cf65de","blc","Bloomburrow Commander"
"229","","en","Lotus Cobra","","1","3e9cc3c4-82e2-43ba-892d-91836e6ac6fc","blc","Bloomburrow Commander"
"228","","en","Llanowar Loamspeaker","","1","0dba8ffb-b7b1-411e-90c5-070b7a888e3f","blc","Bloomburrow Commander"
"227","","en","Kodama of the East Tree","","1","2ee1d489-0980-444e-8b07-107be791b76e","blc","Bloomburrow Commander"
"280","","en","Mind Stone","","1","5cf95476-27ed-487d-8459-c97a921bb808","blc","Bloomburrow Commander"
"317","","en","Mosswort Bridge","","1","28b0c20f-6727-462a-bdfe-457e487f11d3","blc","Bloomburrow Commander"
"316","","en","Mossfire Valley","","1","ef16ac09-fb6c-41c6-bd81-5074dc30e866","blc","Bloomburrow Commander"
"322","","en","Path of Ancestry","","1","821cb722-146d-447e-907d-dc97baa5bc4f","blc","Bloomburrow Commander"
"199","","en","Outpost Siege","","1","51f8c63e-8778-43c5-9093-f419442295cf","blc","Bloomburrow Commander"
"231","","en","Path of Discovery","","1","5f0dad60-90c2-41e7-bf85-4cb1343b4a9d","blc","Bloomburrow Commander"
"232","","en","Primeval Bounty","","1","5e0577c4-fc62-4222-9e32-b48c58e47462","blc","Bloomburrow Commander"
"132","","en","Reliquary Tower","","1","c4bb10b5-13ee-43b9-8d5f-4ef812373d20","blc","Bloomburrow Commander"
"200","","en","Rain of Riches","","1","299f81b5-20eb-465b-bd36-2acd80a4f37c","blc","Bloomburrow Commander"
"242","","en","Tendershoot Dryad","","1","3a60bdb4-53b3-46f2-b7a1-7954117b42a1","blc","Bloomburrow Commander"
"289","","en","Thought Vessel","","1","b7a24bfc-bae0-4b21-9054-68723a1adeae","blc","Bloomburrow Commander"
"245","","en","Unnatural Growth","","1","5a9d47cc-157b-4070-ae00-da1c5d7b94de","blc","Bloomburrow Commander"
"234","","en","Rampant Growth","","1","d6e4e354-dee5-4c9d-960d-9847fca97c7a","blc","Bloomburrow Commander"
"233","","en","Rampaging Baloths","","1","e738d6f6-2da1-4c53-b32f-65e8a1f806a2","blc","Bloomburrow Commander"
"326","","en","Rootbound Crag","","1","822bb322-1513-4288-befa-a7f27dd14253","blc","Bloomburrow Commander"
"287","","en","Talisman of Impulse","","1","ce42eaf0-dfb5-45b6-9ae9-3a73275fcbbb","blc","Bloomburrow Commander"
"290","","en","Thran Dynamo","","1","6455b185-aa5e-45e1-951e-f6eef517daf2","blc","Bloomburrow Commander"
"324","","en","Raging Ravine","","1","da09a99b-af20-4294-a4a6-cb000dae9d73","blc","Bloomburrow Commander"
"236","","en","Sakura-Tribe Elder","","1","3696297a-b068-4e89-a62c-6cd5ad437618","blc","Bloomburrow Commander"
"285","","en","Spine of Ish Sah","","1","033b1ee0-494f-4881-8bdf-f9436d58fd66","blc","Bloomburrow Commander"
"330","","en","Sheltered Thicket","","1","3bd9e0e1-91b7-4b20-bbd2-f2c8fd064565","blc","Bloomburrow Commander"
"203","","en","Starstorm","","1","a5f3ab82-2a24-4c6c-bdd9-f2bd5adca144","blc","Bloomburrow Commander"
"338","","en","Temple of Abandon","","1","59866586-8a4c-464e-8273-2ec06f29d28e","blc","Bloomburrow Commander"
"350","","en","Tranquil Thicket","","1","bdf8439b-a31e-49d4-981a-d9532f83c370","blc","Bloomburrow Commander"
"353","","en","Wooded Ridgeline","","1","aabe97cd-b627-4620-8051-8f54a5d97328","blc","Bloomburrow Commander"
"378","","en","Forest","","10","bddc66f7-4e94-4857-ba7d-6b0083d0bfa0","blb","Bloomburrow"
"376","","en","Mountain","","8","62aaa129-69ff-4e22-861e-b2efd1cd5a10","blb","Bloomburrow"
"8","foil","en","Wildsear, Scouring Maw","","1","48494ef9-5eb3-4b55-ad1d-b32bbed89ca5","blc","Bloomburrow Commander"
"98","foil","en","Domri, Anarch of Bolas","","1","c3aa2926-050c-460d-b26d-e44a39258dcc","blc","Bloomburrow Commander"
