collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"9","foil","en","Kalamax, the Stormsire","","1","f990cd78-2165-446f-a116-ae55d7a0f00d","c20","Commander 2020"
"237","","en","Arcane Signet","","1","1486170d-4ad3-4318-bf72-f948617d567f","c20","Commander 2020"
"203","","en","Artifact Mutation","","1","b3bbecfc-0983-4ade-b00a-2bac2cad8d2f","c20","Commander 2020"
"67","","en","Bonder's Ornament","","1","5afe425c-50a7-4d29-ac14-0edb094fc770","c20","Commander 2020"
"146","","en","Chaos Warp","","1","c144b325-53a3-4590-beb1-2a39cbced47e","c20","Commander 2020"
"263","","en","Cinder Glade","","1","5a9db48e-9231-4692-9cee-77f2141c63ff","c20","Commander 2020"
"240","","en","Commander's Sphere","","1","89c29c9c-9d4b-4809-9a95-796adfbce22a","c20","Commander 2020"
"206","","en","Crackling Drake","","1","ae3f925c-1906-430e-8991-133d1d1458a3","c20","Commander 2020"
"147","","en","Charmbreaker Devils","","1","38e17f4b-b5a8-468c-8cca-6e722cccdf6b","c20","Commander 2020"
"108","","en","Chemister's Insight","","1","089720bb-f4ce-422f-bb28-6a7a71c32223","c20","Commander 2020"
"148","","en","Comet Storm","","1","066383e2-55c2-433f-8665-f0fd22dfa3f0","c20","Commander 2020"
"264","","en","Command Tower","","1","37691c08-7763-42bd-b882-3cb0624a2098","c20","Commander 2020"
"169","","en","Crop Rotation","","1","4a61749d-a2e5-4da4-96db-e49cbac05d73","c20","Commander 2020"
"149","","en","Commune with Lava","","1","1ef4c8b0-6da7-443d-9c1f-6e83e6831f43","c20","Commander 2020"
"59","","en","Curious Herd","","1","5a20acbc-6ca8-4b0c-ab7e-4bb8d429336b","c20","Commander 2020"
"269","","en","Desolate Lighthouse","","1","8cd0f1da-8100-4bed-8bfc-947c0705c7ce","c20","Commander 2020"
"210","","en","Djinn Illuminatus","","1","7c784b00-dcef-4640-a305-5ff1baf2e6fd","c20","Commander 2020"
"50","","en","Deflecting Swat","","1","84f035e1-6c89-457b-b05f-85680a50ed91","c20","Commander 2020"
"150","","en","Dualcaster Mage","","1","a3508f2a-a800-4e55-8f65-29bd2f0aefb4","c20","Commander 2020"
"151","","en","Etali, Primal Storm","","1","504ad2a4-fb3e-46c4-9b7f-f05c80891cd3","c20","Commander 2020"
"33","","en","Eon Frolicker","","1","acaec4bf-69c8-43c1-960f-cb5b5bff660a","c20","Commander 2020"
"32","","en","Decoy Gambit","","1","39671ac5-c730-4ba2-a2d9-23d5ac13f12b","c20","Commander 2020"
"111","","en","Frantic Search","","1","5b87a025-ab29-4375-9338-536636051640","c20","Commander 2020"
"273","","en","Exotic Orchard","","1","f623a2c3-ebe5-4f43-8b87-59b4d6991ff0","c20","Commander 2020"
"171","","en","Evolution Charm","","1","19c01269-faf0-4c29-bdc4-17f0ba3ee7c8","c20","Commander 2020"
"275","","en","Frontier Bivouac","","1","b5aaaca9-0729-4bb5-96ec-0a1f52e9d90d","c20","Commander 2020"
"280","","en","Halimar Depths","","1","85d0220f-585d-4066-9faa-ec5b520542e1","c20","Commander 2020"
"174","","en","Harrow","","1","a325da33-dd35-4136-9c69-73df82c56fd1","c20","Commander 2020"
"216","","en","Growth Spiral","","1","69625c5a-cf13-4c5d-816c-fd1670685587","c20","Commander 2020"
"279","","en","Gruul Turf","","1","f15671c2-d9a3-459c-9f1e-d110062b2e53","c20","Commander 2020"
"60","","en","Glademuse","","1","89a40dc1-3bd8-4c7e-9446-5abc8c1f6995","c20","Commander 2020"
"153","","en","Goblin Dark-Dwellers","","1","3bb7be0d-1937-4b30-909c-df2b31a921e3","c20","Commander 2020"
"114","","en","Jace, Architect of Thought","","1","736b07e8-4eb4-492d-a323-3125823ae090","c20","Commander 2020"
"283","","en","Izzet Boilerworks","","1","2d96b00c-8b73-4b4a-b784-4c7e779f8fd7","c20","Commander 2020"
