collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"38","foil","en","Inalla, Archmage Ritualist","","1","7c6e803a-451c-4aa6-97a2-400077f32c47","c17","Commander 2017"
"81","","en","Archaeomancer","","1","4a67be8d-5db6-42c3-8c89-f07bfbd2dd51","c17","Commander 2017"
"97","","en","Apprentice Necromancer","","1","d4a7670c-173e-40c4-9896-f4f08dc970fb","c17","Commander 2017"
"82","","en","Azami, Lady of Scrolls","","1","0ad06ad7-0545-4c6f-9b10-4a27fa2e827c","c17","Commander 2017"
"80","","en","Arcanis the Omnipotent","","1","e7a7941b-68bf-48b1-a5ed-2013068b486c","c17","Commander 2017"
"14","","en","Bloodline Necromancer","","1","42bffd03-3821-4b0f-9535-2eb455154587","c17","Commander 2017"
"83","","en","Body Double","","1","747e3598-878d-4f23-bb6c-f169f2ef5ebe","c17","Commander 2017"
"132","","en","Comet Storm","","1","48743445-6e2e-4001-b314-365b9a8b091e","c17","Commander 2017"
"206","","en","Commander's Sphere","","1","5ba31eef-5134-4b7c-bf6c-b325aad7766a","c17","Commander 2017"
"242","","en","Command Tower","","1","d2b1183f-bfc6-425f-9089-8657f7c8822b","c17","Commander 2017"
"131","","en","Chaos Warp","","1","24082362-4ff0-4fa2-8604-f98074517cd4","c17","Commander 2017"
"84","","en","Clone Legion","","1","ecc8a1bb-60f4-44a3-b5f0-a2c004966b57","c17","Commander 2017"
"166","","en","Cauldron Dance","","1","50e70e67-eba0-46f4-97d8-62c249b267c8","c17","Commander 2017"
"244","","en","Crumbling Necropolis","","1","720652e9-834c-4ac0-8008-b2b16c3b7507","c17","Commander 2017"
"106","","en","Corpse Augur","","1","06993813-610a-41ea-843b-7d9e3088eef0","c17","Commander 2017"
"169","","en","Crosis's Charm","","1","b5e1e94d-6876-4351-9c6e-98882e277ccc","c17","Commander 2017"
"16","","en","Curse of Disturbance","","1","d022b7d7-e9f5-4f58-8010-331baaa4e3c4","c17","Commander 2017"
"9","","en","Curse of Verbosity","","1","7999e631-efd0-4901-a43d-9a10d2379684","c17","Commander 2017"
"24","","en","Curse of Opulence","","1","e23db9d3-d11f-4b2c-8349-687bc0e9d4c2","c17","Commander 2017"
"245","","en","Dimir Aqueduct","","1","ec5aec45-9b57-45e1-b4b6-d070ff6e6536","c17","Commander 2017"
"207","","en","Darksteel Ingot","","1","8dba9786-a504-49d0-9558-b70bf05bb694","c17","Commander 2017"
"246","","en","Dismal Backwater","","1","1177fe1f-3d66-4b30-8063-0761d91e7092","c17","Commander 2017"
"111","","en","Decree of Pain","","1","5bf22183-e12c-4358-b34c-52cfc098226f","c17","Commander 2017"
