collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"362","foil","en","Wyleth, Soul of Steel","","1","7c5ada8c-98f2-4f9c-bcb5-dfa4f804fbe6","cmr","Commander Legends"
"350","","en","Command Tower","","1","86424491-a372-40c4-bfb5-faa2b2d41d4c","cmr","Commander Legends"
"30","","en","Kor Cartographer","","1","583ef638-1ea1-4301-bb86-78cb2b5f3aab","cmr","Commander Legends"
"487","","en","Myriad Landscape","","1","5538f54e-81dc-4396-9d47-3087df16b630","cmr","Commander Legends"
"43","","en","Return to Dust","","1","829f5785-36d8-473c-b2de-0b4635388d7e","cmr","Commander Legends"
"442","","en","Boros Charm","","1","36c3288b-ab10-40df-a0ce-17ee4ecdb98e","cmr","Commander Legends"
"474","","en","Swiftfoot Boots","","1","b5c45f3d-cf12-4db7-b161-9539ed969ca7","cmr","Commander Legends"
"375","","en","Generous Gift","","1","26296a96-bdca-405f-ab06-e280b42c4ab9","cmr","Commander Legends"
"410","","en","Abrade","","1","d27d5b87-6dfc-4b99-822b-f6f8489ad275","cmr","Commander Legends"
"417","","en","Temur Battle Rage","","1","d344f38d-0ef2-434b-914c-934c639e7e18","cmr","Commander Legends"
"313","","en","Haunted Cloak","","1","9fc9a637-352a-45bd-a43a-6406f9da56af","cmr","Commander Legends"
"314","","en","Hero's Blade","","1","f5e982c4-19ef-40d6-a807-fd16c31e63db","cmr","Commander Legends"
"355","","en","Rupture Spire","","1","c7ef4b15-efab-4255-ac2d-7794f253aa52","cmr","Commander Legends"
"457","","en","Blackblade Reforged","","1","2f192c3e-34ce-4857-82ef-a0423823220d","cmr","Commander Legends"
"364","","en","Blazing Sunsteel","","1","69d276fe-5f2b-41aa-80fa-64d3b60fd54f","cmr","Commander Legends"
"458","","en","Bonesplitter","","1","690972a8-72df-4050-a353-16e45589167c","cmr","Commander Legends"
"459","","en","Boros Signet","","1","a2ae6081-1876-42ea-a6f8-d18dbe55c4c4","cmr","Commander Legends"
"478","","en","Boros Guildgate","","1","cce912e1-73fe-41f3-a86c-4c19ff3f100f","cmr","Commander Legends"
