collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Galea, Kindler of Hope","","1","1efbea01-c6a1-4380-a14f-6206c7895e48","afc","Forgotten Realms Commander"
"192","","en","Shielding Plax","","1","81e632d8-ee9c-4635-9654-4d6405cb0bf2","afc","Forgotten Realms Commander"
"94","","en","Serum Visions","","1","8405a6c8-1dfb-4ac5-b44c-bce9e4bcc38c","afc","Forgotten Realms Commander"
"93","","en","Riverwise Augur","","1","cc1c3923-aeb0-4f53-a210-10542534b121","afc","Forgotten Realms Commander"
"70","","en","Realm-Cloaked Giant // Cast Off","","1","d6fc6ed9-740a-4726-8f2c-5d662636f687","afc","Forgotten Realms Commander"
"167","","en","Rancor","","1","26ddcdcc-28eb-43ce-b912-499c735491b8","afc","Forgotten Realms Commander"
"69","","en","Puresteel Paladin","","1","6dfd52a8-14c0-4e53-862e-01da4d7823e2","afc","Forgotten Realms Commander"
"92","","en","Psychic Impetus","","1","5840b15e-0787-44ed-a2a7-29d0c8aa1cde","afc","Forgotten Realms Commander"
"90","","en","Prognostic Sphinx","","1","acd9e468-093b-4c88-8bf6-041bee6a1ea2","afc","Forgotten Realms Commander"
"256","","en","Prairie Stream","","1","9b724d9e-89d5-4e2f-9331-a60ee0d1893d","afc","Forgotten Realms Commander"
"255","","en","Port Town","","1","e6a12a68-a88c-440d-a6ee-b235afbbbfb8","afc","Forgotten Realms Commander"
"165","","en","Paradise Druid","","1","187d5819-6a63-4e4f-98c4-18191c03f164","afc","Forgotten Realms Commander"
"254","","en","Path of Ancestry","","1","4ae7a4a1-0da6-44a9-b7e8-a28733580d0c","afc","Forgotten Realms Commander"
"212","","en","Moonsilver Spear","","1","a4ace878-6d15-4276-9bfb-2f23667c6d7e","afc","Forgotten Realms Commander"
"209","","en","Masterwork of Ingenuity","","1","80b38b13-fc19-4ffc-8100-249f9eb8cca6","afc","Forgotten Realms Commander"
"247","","en","Lumbering Falls","","1","f7e9db98-3a2d-46d8-a07f-99d66a4d9f2f","afc","Forgotten Realms Commander"
"248","","en","Mishra's Factory","","1","7c05c946-66c3-4785-90f9-ca0c606e036b","afc","Forgotten Realms Commander"
"187","","en","Knight of Autumn","","1","c9cd7448-6f8b-4ce4-bde5-2c17271dcef7","afc","Forgotten Realms Commander"
"162","","en","Kenrith's Transformation","","1","44d60a41-3f5e-4559-b18c-22c0fe15235e","afc","Forgotten Realms Commander"
"85","","en","Imprisoned in the Moon","","1","1d916675-1e7e-477f-bbb5-bd54fdfd8159","afc","Forgotten Realms Commander"
"244","","en","Halimar Depths","","1","36a04300-764b-4faf-ad46-7516360c9516","afc","Forgotten Realms Commander"
"67","","en","Gryff's Boon","","1","e66702a8-b48d-4c80-9998-a14b094dcf88","afc","Forgotten Realms Commander"
"160","","en","Greater Good","","1","4c73ca01-d8ea-4cd2-af60-b260030967b2","afc","Forgotten Realms Commander"
"242","","en","Grasslands","","1","66de370b-3be5-420b-b619-2709565c7206","afc","Forgotten Realms Commander"
"239","","en","Fortified Village","","1","8788797a-724e-49c7-91b2-67fbb0660fda","afc","Forgotten Realms Commander"
"237","","en","Flood Plain","","1","84503325-1e80-4f29-819d-be1d5eb05bd7","afc","Forgotten Realms Commander"
"185","","en","Fleecemane Lion","","1","ef4e1c37-d520-4025-bd56-15ec452f6842","afc","Forgotten Realms Commander"
"158","","en","Fertile Ground","","1","0ade2db8-482e-42b0-939c-492dfbbe3b68","afc","Forgotten Realms Commander"
"205","","en","Explorer's Scope","","1","1ef03100-f095-43e4-a697-2f473779b5a9","afc","Forgotten Realms Commander"
"236","","en","Exotic Orchard","","1","c5a8de0f-726a-4ea3-9215-5188f7181951","afc","Forgotten Realms Commander"
