collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"5","foil","en","Perrie, the Pulverizer","","1","d438237b-c6f7-44d0-a3e6-6ec7d7465d33","ncc","New Capenna Commander"
"264","","en","Island","","5","2ef2c956-cf03-462c-8981-ae80edfc0c5a","snc","Streets of New Capenna"
"262","","en","Plains","","5","8bbb3646-c427-4302-86ac-9ac28d045959","snc","Streets of New Capenna"
"270","","en","Forest","","5","c086cb5e-3146-4a41-a471-fcbbf8fa4e09","snc","Streets of New Capenna"
"360","","en","Arcane Signet","","1","f3ee9829-f4c0-44a0-8252-4097402e2f8d","ncc","New Capenna Commander"
"395","","en","Command Tower","","1","43a32bdf-c430-46a0-9d23-8b8e8468391b","ncc","New Capenna Commander"
"226","","en","Midnight Clock","","1","c3b04d8a-f651-4538-bc40-6f2c8e13fb99","ncc","New Capenna Commander"
"313","","en","Steelbane Hydra","","1","c091fe70-ade7-43f9-9081-3263a2524d51","ncc","New Capenna Commander"
"386","","en","Ash Barrens","","1","5233b31f-a179-4ae9-95a2-2ff75b374edf","ncc","New Capenna Commander"
"379","","en","Sol Ring","","1","e1187999-521d-4ed0-8673-6eb8f3c58bb8","ncc","New Capenna Commander"
"236","","en","Thrummingbird","","1","669bd3ff-2a78-47ca-87b7-635c6c1d6721","ncc","New Capenna Commander"
"355","","en","Urban Evolution","","1","85df7b1b-7cd6-499d-aa9d-5599a79a3512","ncc","New Capenna Commander"
"309","","en","Scavenging Ooze","","1","67d93e17-13fd-4cf5-a53c-a7b6c57a8351","ncc","New Capenna Commander"
"434","","en","Temple of Mystery","","1","c79d3853-f2a3-4dea-b60f-831e39ecdc44","ncc","New Capenna Commander"
"367","","en","Fellwar Stone","","1","68c3d065-0519-4472-ae6e-23f58af5e859","ncc","New Capenna Commander"
"363","","en","Commander's Sphere","","1","e4330ad8-ce2c-47bd-8956-c5e19bdbf4e0","ncc","New Capenna Commander"
"366","","en","Everflowing Chalice","","1","ba721716-e19a-4ac5-9b44-1a18ad51554b","ncc","New Capenna Commander"
"400","","en","Exotic Orchard","","1","7ebb6c13-e495-4953-a036-b99426e507ef","ncc","New Capenna Commander"
"339","","en","Fathom Mage","","1","22be6c55-f95e-498e-b6d2-65b7ed57d2d3","ncc","New Capenna Commander"
"291","","en","Forgotten Ancient","","1","c23e3732-4589-4ea7-8125-a5434861b9f5","ncc","New Capenna Commander"
"373","","en","Oblivion Stone","","1","f0cd5548-ce7b-493a-8119-62f000839e4d","ncc","New Capenna Commander"
"425","","en","Seaside Citadel","","1","816ce96f-9180-4f95-a7cd-334f4a159fa7","ncc","New Capenna Commander"
"382","","en","Swiftfoot Boots","","1","3cb171ef-42eb-466e-b425-e3c16301c0ca","ncc","New Capenna Commander"
"235","","en","Tezzeret's Gambit","","1","421391da-7435-4364-8d48-009d2c2bdad4","ncc","New Capenna Commander"
"446","","en","Vivid Meadow","","1","625a42b4-d88c-48e0-96b1-77388ca48810","ncc","New Capenna Commander"
"357","","en","Vorel of the Hull Clade","","1","8e7053ff-c825-41bc-9dad-eaf7a37447e5","ncc","New Capenna Commander"
"419","","en","Path of Ancestry","","1","cdeb7d54-053f-45ee-8062-c3c1f40d27ce","ncc","New Capenna Commander"
"416","","en","Myriad Landscape","","1","1577b698-f2e7-448d-b8a8-3d2329dd3f46","ncc","New Capenna Commander"
"421","","en","Prairie Stream","","1","40e52996-863b-46ee-893a-6ecb29f23106","ncc","New Capenna Commander"
"427","","en","Skycloud Expanse","","1","b7709220-02e3-4669-bdda-fd3e04981e1e","ncc","New Capenna Commander"
"413","","en","Llanowar Reborn","","1","1adb1d4a-b8e4-465f-ab1e-691a7c5e89d3","ncc","New Capenna Commander"
"387","","en","Bant Panorama","","1","dc506497-4ecd-41d3-9042-f92f498251b0","ncc","New Capenna Commander"
"444","","en","Vivid Creek","","1","c9082527-aa88-42f7-b2f2-de21878cb179","ncc","New Capenna Commander"
"445","","en","Vivid Grove","","1","12ccc686-bbaa-4c34-a7b8-a1e763fe0ad0","ncc","New Capenna Commander"
"212","","en","Together Forever","","1","4290786d-fbc2-4fdc-8bb1-def8944f0563","ncc","New Capenna Commander"
"389","","en","Canopy Vista","","1","79dffd83-05c8-4698-9677-5decb997e29f","ncc","New Capenna Commander"
