collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Nelly Borca, Impulsive Accuser","","1","2ef59aa9-f5e1-413a-869b-d287db95efd0","mkc","Murders at Karlov Manor Commander"
"284","","en","Mountain","","7","cd8a0cd6-8d3b-44bd-b609-c12fb851d17b","mkm","Murders at Karlov Manor"
"277","","en","Plains","","9","81a1a8a6-916b-4eef-8079-6775afcb63cf","mkm","Murders at Karlov Manor"
"261","","en","Escape Tunnel","","1","93ddde4f-d35e-4128-8f43-d0eadbd715de","mkm","Murders at Karlov Manor"
"15","","en","Trouble in Pairs","","1","0f61e93f-5f97-4c7d-b3d5-0e05242faeb3","mkc","Murders at Karlov Manor Commander"
"43","","en","Take the Bait","","1","97425844-dd1b-4f3c-985c-e198e8b9a16b","mkc","Murders at Karlov Manor Commander"
"34","","en","Prisoner's Dilemma","","1","d678e736-7c29-433a-9a2a-b78749252377","mkc","Murders at Karlov Manor Commander"
"32","","en","Hot Pursuit","","1","bbba7b9f-d944-4987-b60d-34733382ec53","mkc","Murders at Karlov Manor Commander"
"31","","en","Havoc Eater","","1","17054e75-d801-4962-83c1-0b52e7b65f66","mkc","Murders at Karlov Manor Commander"
"10","","en","Immortal Obligation","","1","bdadc60f-942f-47e2-b8fc-51deb3d0b86d","mkc","Murders at Karlov Manor Commander"
"33","","en","Mob Verdict","","1","e9bdc40b-ab7a-44a4-afb5-41b6fc2dffdc","mkc","Murders at Karlov Manor Commander"
"13","","en","Redemption Arc","","1","960b84b6-febf-4926-9c7b-05efa0e0e11f","mkc","Murders at Karlov Manor Commander"
"12","","en","Otherworldly Escort","","1","b50bfde2-6c2d-403e-ab47-c932bcb2116d","mkc","Murders at Karlov Manor Commander"
"45","","en","Ransom Note","","1","88158a11-a44e-49b4-8ae3-d81c14265802","mkc","Murders at Karlov Manor Commander"
"306","","en","Temple of Triumph","","1","fae394de-a46c-4659-b0c6-aaf9f2c8e190","mkc","Murders at Karlov Manor Commander"
"295","","en","Slayers' Stronghold","","1","3b2c82ea-6793-407c-ac9f-5fc14d4d09ea","mkc","Murders at Karlov Manor Commander"
"278","","en","Needle Spires","","1","4a58a287-e4ca-4c6b-8096-142660cee299","mkc","Murders at Karlov Manor Commander"
"263","","en","Furycalm Snarl","","1","bdb27a86-0fbd-4123-9c8e-630c855d5e9e","mkc","Murders at Karlov Manor Commander"
"240","","en","Talisman of Conviction","","1","b0ae2f4d-c0c6-486f-94f6-2375888fcc34","mkc","Murders at Karlov Manor Commander"
"256","","en","Command Tower","","1","96c3244e-930f-498c-959e-0f000151597d","mkc","Murders at Karlov Manor Commander"
