collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","The Fourth Doctor","","1","c84ea0fd-efc7-4614-9f8f-41a3c71fceaa","who","Doctor Who"
"6","foil","en","Sarah Jane Smith","","1","1ba76f68-e647-4786-903c-92dbd3cef05d","who","Doctor Who"
"199","","en","Island","","2","12b2aae2-a0b4-4c52-8a43-a4155527bae9","who","Doctor Who"
"197","","en","Plains","","2","1aaea970-a19c-400a-a8cb-5d30f9cc2672","who","Doctor Who"
"205","","en","Forest","","3","15b3f35e-451e-4de6-a4f7-249287566964","who","Doctor Who"
"187","","en","TARDIS","","1","b059b1d8-3bfb-40c9-9344-addda43509ab","who","Doctor Who"
"99","","en","City of Death","","1","bd4d9b25-02ea-4ce3-a35f-7f427a74f591","who","Doctor Who"
"59","","en","Time Lord Regeneration","","1","2aeba907-5dc7-4dbb-b5a4-c86e8151f2ec","who","Doctor Who"
"132","","en","Gallifrey Stands","","1","dd1f865e-759e-4303-81b5-74a558d270ec","who","Doctor Who"
"15","","en","The Caves of Androzani","","1","7b260c0a-b9dc-4a4f-83ee-5a7fbd9b3f67","who","Doctor Who"
"23","","en","Jo Grant","","1","a4c73220-363e-44d7-b406-436246c02a75","who","Doctor Who"
"24","","en","The Night of the Doctor","","1","513d33fb-becc-4804-806a-764d08fc7b7d","who","Doctor Who"
"26","","en","Peri Brown","","1","b2f81beb-4565-4cfe-80a2-456f3d44f461","who","Doctor Who"
"28","","en","Tegan Jovanka","","1","361769b3-7e10-4e0f-b623-c00e2144463d","who","Doctor Who"
"29","","en","Trial of a Time Lord","","1","52b68ed3-0d26-4334-8d0c-2d28ced8ee4c","who","Doctor Who"
"17","","en","Crisis of Conscience","","1","308d9672-58a7-4ec8-a20d-7054d76fde37","who","Doctor Who"
"30","","en","The War Games","","1","0662fee0-a6bc-4a1c-8a0f-6e7efc6b8a21","who","Doctor Who"
"35","","en","An Unearthly Child","","1","72b20b07-2983-4b5e-9351-b8d7a5bcd72a","who","Doctor Who"
"47","","en","K-9, Mark I","","1","b2e46695-7bd3-448c-a5ea-6d544943ec5f","who","Doctor Who"
"54","","en","Reverse the Polarity","","1","76f3ea66-555c-490d-b34f-12c267bc4e9b","who","Doctor Who"
"98","","en","Ace, Fearless Rebel","","1","75f001a0-8393-4977-84bb-cde39740606c","who","Doctor Who"
"105","","en","Jamie McCrimmon","","1","75cececf-8547-4355-972b-7ffbafcda1c2","who","Doctor Who"
"110","","en","Susan Foreman","","1","ad40ec4f-37e7-4e6d-b47b-8b13ea2c9157","who","Doctor Who"
"118","","en","The Curse of Fenric","","1","0e399b70-d793-4833-8317-557fa98a611c","who","Doctor Who"
"124","","en","The Eighth Doctor","","1","a26bf6fd-ced3-4c37-8adb-9a75c6d6d5cc","who","Doctor Who"
"128","","en","The First Doctor","","1","b0b4d7db-56b1-4110-b4e4-11748201caf9","who","Doctor Who"
"127","","en","The Fifth Doctor","","1","2f548f4b-77b9-47bb-b262-a851fdf0124f","who","Doctor Who"
"156","","en","The Second Doctor","","1","568c2687-4381-4954-9cab-f669d1fe6306","who","Doctor Who"
"158","","en","The Seventh Doctor","","1","8dd6bfb3-1338-4ee6-9281-30a7428200d2","who","Doctor Who"
"159","","en","The Sixth Doctor","","1","c045ccb2-28d1-4bbe-9feb-3e86988fd24d","who","Doctor Who"
"162","","en","The Third Doctor","","1","2934f5e5-2274-4de7-a8c7-ca034f1fec29","who","Doctor Who"
"188","","en","Gallifrey Council Chamber","","1","83d990f5-a7b7-4482-95e6-b03a397192e2","who","Doctor Who"
"239","","en","Arcane Signet","","1","d87d58eb-b95a-48d9-a174-e2d72a29c167","who","Doctor Who"
"190","","en","Trenzalore Clocktower","","1","64444549-1198-4465-91d5-02a7903691dc","who","Doctor Who"
"276","","en","Exotic Orchard","","1","c2bc648d-def5-4442-9cfe-0f93fee631f4","who","Doctor Who"
"244","","en","Mind Stone","","1","6ac8db7a-009a-4141-bba7-b5fdfaf8d245","who","Doctor Who"
"293","","en","Path of Ancestry","","1","30c6f93e-e03f-4749-8b30-9375c79f10f4","who","Doctor Who"
"245","","en","Sol Ring","","1","0f44a54b-512e-45ef-80ee-7982d2eaf762","who","Doctor Who"
"253","","en","Talisman of Progress","","1","c1f67117-3d40-466d-9ea8-f75e1ad10b45","who","Doctor Who"
"331","","en","Waterlogged Grove","","1","46931098-ae3c-409a-8789-7071205e11ee","who","Doctor Who"
"254","","en","Talisman of Unity","","1","a395b259-1f3f-43ab-9636-d1c218661c15","who","Doctor Who"
"184","","en","Sonic Screwdriver","","1","f131027a-9776-41fa-8a5f-d9ef80e0dc2e","who","Doctor Who"
"61","","en","Twice Upon a Time // Unlikely Meeting","","1","9d504a87-f782-4b70-91da-c1944925e86a","who","Doctor Who"
"263","","en","Command Tower","","1","811d6e5d-c8a3-41ae-910e-e0f194f42292","who","Doctor Who"
"270","","en","Deserted Beach","","1","ed66e849-8fc9-46a1-9b8a-6845b5bc0734","who","Doctor Who"
"285","","en","Glacial Fortress","","1","65e28187-fece-4f78-b8fe-43ee6df4d338","who","Doctor Who"
"288","","en","Irrigated Farmland","","1","c1422a65-5bda-4d75-8682-8c7351b3dba6","who","Doctor Who"
"294","","en","Port Town","","1","df58d745-2f08-447f-a7db-41765731e36c","who","Doctor Who"
"295","","en","Prairie Stream","","1","e32fcfa0-50df-4815-ad8f-0e0db32c307b","who","Doctor Who"
"306","","en","Skycloud Expanse","","1","9761639c-8b54-4ef2-83cf-d45f9da33388","who","Doctor Who"
"255","","en","Thought Vessel","","1","84506a3f-46ee-4482-9f7d-0409c2699ae4","who","Doctor Who"
"315","","en","Temple of Enlightenment","","1","c345eb1f-3a44-432c-8bee-39099e1947e6","who","Doctor Who"
"273","","en","Dreamroot Cascade","","1","3a8c7416-c0af-419d-892a-ee989585bf79","who","Doctor Who"
"318","","en","Temple of Mystery","","1","12f1a8ce-a7c2-4e74-a4f2-22c914e998c4","who","Doctor Who"
"329","","en","Vineglimmer Snarl","","1","ee44297b-fd89-4d95-a502-cdd98fd4fbc3","who","Doctor Who"
"100","","en","Displaced Dinosaurs","","1","43319645-53b0-41f6-be90-9690e86e12d3","who","Doctor Who"
"33","","en","Adric, Mathematical Genius","","1","1f290a17-699e-420d-8322-3e28300a0d2e","who","Doctor Who"
"13","","en","Banish to Another Universe","","1","61f39d4c-af2d-486d-9408-b987474f8352","who","Doctor Who"
"112","","en","Alistair, the Brigadier","","1","bf952d23-291d-42fa-8f2a-e4002a04b95f","who","Doctor Who"
"123","","en","Duggan, Private Detective","","1","ad21aafe-c093-40db-830e-da4c87055254","who","Doctor Who"
"14","","en","Barbara Wright","","1","414bdd33-549d-4690-917c-ea48decffbbb","who","Doctor Who"
"22","","en","Ian Chesterton","","1","8bce4bde-33af-4c91-903f-c46218664353","who","Doctor Who"
