collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Clavileño, First of the Blessed","","1","9f55b648-b1ec-407a-a0c7-7647755793d1","lcc","The Lost Caverns of Ixalan Commander"
"393","","en","Plains","","8","4716a32c-91a6-470a-a686-d5eb3d27f46e","lci","The Lost Caverns of Ixalan"
"398","","en","Swamp","","13","ed0b0b4f-2b31-4fe1-aedb-be9d34fce688","lci","The Lost Caverns of Ixalan"
"299","","en","Arcane Signet","","1","fc6c69a0-ac24-4486-8893-a6303d08fc6e","lcc","The Lost Caverns of Ixalan Commander"
"325","","en","Command Tower","","1","d477d733-2360-4f1d-9ecd-cdedc2e8a7ae","lcc","The Lost Caverns of Ixalan Commander"
"320","","en","Bojuka Bog","","1","0c7d4fbe-fa7a-4b34-b339-197f08409cbf","lcc","The Lost Caverns of Ixalan Commander"
"182","","en","Blood Artist","","1","b7f1c316-cf2f-4bbf-89a1-79c8043bdd96","lcc","The Lost Caverns of Ixalan Commander"
"194","","en","Dusk Legion Zealot","","1","72048624-e3fd-4e9b-91a9-996ea3a1a74f","lcc","The Lost Caverns of Ixalan Commander"
"309","","en","Mind Stone","","1","8615e46e-56c3-49f6-b4ad-44ec25be5f05","lcc","The Lost Caverns of Ixalan Commander"
"345","","en","Orzhov Basilica","","1","315107f2-3c1c-43b5-aa23-80ec8f722861","lcc","The Lost Caverns of Ixalan Commander"
"349","","en","Rogue's Passage","","1","a7dc75a8-c500-4b50-aff9-32ce36566104","lcc","The Lost Caverns of Ixalan Commander"
"313","","en","Sol Ring","","1","2d47121d-8b90-4d28-9ffa-0a640b9dd611","lcc","The Lost Caverns of Ixalan Commander"
"137","","en","Swords to Plowshares","","1","7cdee412-3519-4626-80ca-e3e431a604f0","lcc","The Lost Caverns of Ixalan Commander"
"359","","en","Temple of the False God","","1","96a31b2d-ee3f-48e5-b0dd-481a0c3efea2","lcc","The Lost Caverns of Ixalan Commander"
"366","","en","Unclaimed Territory","","1","e7bd3aaa-864c-4cbb-bbab-68d87c824e3d","lcc","The Lost Caverns of Ixalan Commander"
"358","","en","Temple of Silence","","1","dbd36bbb-2d0e-4d81-9646-b8263ef29a8e","lcc","The Lost Caverns of Ixalan Commander"
"212","","en","Village Rites","","1","2841339b-faef-407d-9838-d03fe80e6294","lcc","The Lost Caverns of Ixalan Commander"
"184","","en","Bloodghast","","1","08e01310-d192-41e9-a6f0-0edbd6fb3cfb","lcc","The Lost Caverns of Ixalan Commander"
"187","","en","Butcher of Malakir","","1","9d805499-0739-403e-8447-ed2707dc9eb2","lcc","The Lost Caverns of Ixalan Commander"
"301","","en","Commander's Sphere","","1","c643146f-da7b-4cc0-b874-4accad99ccce","lcc","The Lost Caverns of Ixalan Commander"
