collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"28","foil","en","Atraxa, Praetors' Voice","","1","c34ae834-775e-447a-a330-0270c227c667","c16","Commander 2016"
"281","","en","Arcane Sanctum","","1","d15c35b2-ecec-4b63-afd5-25392bf58486","c16","Commander 2016"
"27","","en","Ancient Excavation","","1","191f2e4f-2441-472a-b660-d20c07aeec20","c16","Commander 2016"
"56","","en","Ash Barrens","","1","9d7ac112-bb20-4ea4-b797-5d21f6b7c121","c16","Commander 2016"
"57","","en","Abzan Falconer","","1","8df1f5ca-b41d-4a8a-b7ba-9ca946ab35e8","c16","Commander 2016"
"282","","en","Azorius Chancery","","1","16389f46-fd96-4a11-ba78-0867cab80282","c16","Commander 2016"
"243","","en","Astral Cornucopia","","1","1c136440-ca0b-4537-bcd0-b650ee7518fe","c16","Commander 2016"
"106","","en","Bane of the Living","","1","d0142478-2c9e-4e23-b27a-0a6347232c6a","c16","Commander 2016"
"61","","en","Cathars' Crusade","","1","91a54f0a-1e6b-4f1e-8109-605c8c2e777c","c16","Commander 2016"
"246","","en","Cauldron of Souls","","1","8a0137d0-d10a-43d4-b174-72ce59d2f2fd","c16","Commander 2016"
"60","","en","Brave the Sands","","1","a4d6211a-c078-4ea9-9c86-c7d048c09425","c16","Commander 2016"
"186","","en","Bred for the Hunt","","1","7b0ed477-b7e6-4070-91f4-8146a9ca6a7e","c16","Commander 2016"
"62","","en","Citadel Siege","","1","44c40250-6f58-4590-b745-1aa95c1da2e8","c16","Commander 2016"
"248","","en","Commander's Sphere","","1","28e23091-dc18-4964-af54-0ab282811a06","c16","Commander 2016"
"286","","en","Command Tower","","1","6a759aca-50a4-44ba-8a9d-a764da55bfb7","c16","Commander 2016"
"144","","en","Champion of Lambholt","","1","fd202cee-7452-4d48-8b96-77b653c689d8","c16","Commander 2016"
"190","","en","Corpsejack Menace","","1","a407215e-6a16-4ce3-931e-226f883467c2","c16","Commander 2016"
"250","","en","Darksteel Ingot","","1","6dab1b10-dbcb-4662-aa63-f394613c1c57","c16","Commander 2016"
"289","","en","Darkwater Catacombs","","1","6f610716-cda7-40c2-be53-61213282abd9","c16","Commander 2016"
"54","","en","Crystalline Crawler","","1","414d65f0-36a3-42af-997c-af752898c74c","c16","Commander 2016"
"63","","en","Custodi Soulbinders","","1","eb1718cc-1a49-44ab-ac18-42a9af02b62f","c16","Commander 2016"
"7","","en","Deepglow Skate","","1","0f7c787f-2134-4cfd-901f-d5e45e62de1e","c16","Commander 2016"
"88","","en","Disdainful Stroke","","1","2cd04d38-3b51-4eea-a307-9ab95db5b01a","c16","Commander 2016"
"1","","en","Duelist's Heritage","","1","003db299-c62b-405e-9833-5ebaef9c8301","c16","Commander 2016"
"294","","en","Evolving Wilds","","1","2b3c0b62-39d7-4710-b3ce-f9d614a09841","c16","Commander 2016"
"196","","en","Enduring Scalelord","","1","a6f6be06-50df-48fa-bf97-ad8778bfad52","c16","Commander 2016"
"295","","en","Exotic Orchard","","1","a95134ee-68d3-44d8-9098-403f100dc73b","c16","Commander 2016"
"65","","en","Elite Scaleguard","","1","dc5480d8-bd42-4ea3-8602-2e79173f9f4a","c16","Commander 2016"
"293","","en","Dreadship Reef","","1","9c75b5cc-3ece-49dc-ade8-5891ca8a417d","c16","Commander 2016"
"194","","en","Duneblast","","1","64cccde9-5859-48a5-b4b8-8380f4847b12","c16","Commander 2016"
"110","","en","Festercreep","","1","ef212d10-bf33-435a-accc-febbc499d3ca","c16","Commander 2016"
"150","","en","Forgotten Ancient","","1","69150436-51c8-4329-a54d-21c9f7914ed6","c16","Commander 2016"
"198","","en","Fathom Mage","","1","c712dd7a-ba97-4161-9f9b-2405254e0f62","c16","Commander 2016"
"254","","en","Fellwar Stone","","1","d140a606-e9d0-4fda-af38-1fca5d5c8c17","c16","Commander 2016"
"255","","en","Golgari Signet","","1","748931a2-9f30-4820-819a-b048945a27b4","c16","Commander 2016"
"298","","en","Golgari Rot Farm","","1","6dbdf44b-3431-4a9f-b1b9-83d33300a860","c16","Commander 2016"
"9","","en","Grip of Phyresis","","1","d523ec16-46d0-4f80-8df4-30c6c32f3386","c16","Commander 2016"
"152","","en","Hardened Scales","","1","3fc583fb-5387-42a8-ab98-4e38171b05f7","c16","Commander 2016"
"200","","en","Ghave, Guru of Spores","","1","31317da6-83e1-4548-9c10-7f8da9fe2acd","c16","Commander 2016"
"207","","en","Juniper Order Ranger","","1","ed35c306-2439-4f6c-9ea0-3045d0556fc1","c16","Commander 2016"
"114","","en","Languish","","1","7cf7bf85-851c-4bd3-92b7-e1f1601d4a51","c16","Commander 2016"
"154","","en","Kalonian Hydra","","1","17222e1e-879e-4b6a-a160-5443299b4951","c16","Commander 2016"
"153","","en","Inspiring Call","","1","9c11f606-1f18-447c-8b50-405df7cc583a","c16","Commander 2016"
"234","","en","Mirrorweave","","1","d6583c59-4018-436e-92c2-6154005e4938","c16","Commander 2016"
"212","","en","Mortify","","1","9b84fdbf-12fe-40f9-97d1-1941d8a309b7","c16","Commander 2016"
"38","","en","Migratory Route","","1","9006ff3d-446d-411d-948d-9baee8ea9691","c16","Commander 2016"
"211","","en","Merciless Eviction","","1","03569768-e39c-44e7-b0bb-651a7886a508","c16","Commander 2016"
"10","","en","Manifold Insights","","1","ae9b2617-4910-4bde-b07f-dff2ac1f19d6","c16","Commander 2016"
"210","","en","Master Biomancer","","1","a640f364-69f4-4f02-8127-afcbbc7faf6f","c16","Commander 2016"
"308","","en","Murmuring Bosk","","1","d07a08cc-e558-40a5-a10a-b52fd1c877e6","c16","Commander 2016"
"115","","en","Necroplasm","","1","e01e9321-e981-4006-b3c5-bbe14c65b31e","c16","Commander 2016"
"312","","en","Opal Palace","","1","17e02be7-a09d-4d74-a2d0-8f87244fd4bb","c16","Commander 2016"
"313","","en","Opulent Palace","","1","80dbbb02-3361-4b35-b193-9b5752222647","c16","Commander 2016"
"3","","en","Orzhov Advokist","","1","00464232-2594-405a-95bb-f9b2a3287871","c16","Commander 2016"
"266","","en","Orzhov Signet","","1","5453fb4e-533b-4958-911a-d54f445b1b7e","c16","Commander 2016"
"217","","en","Putrefy","","1","5afd1831-f264-422c-a791-dfb701ec03c9","c16","Commander 2016"
"74","","en","Reveillark","","1","bf0f006b-b7d7-4ff2-b7aa-363977575240","c16","Commander 2016"
"320","","en","Sandsteppe Citadel","","1","7d035968-ba49-47c1-b26a-2faead68b2ac","c16","Commander 2016"
"166","","en","Scavenging Ooze","","1","4ad5310b-8756-4644-adc1-9503c6950142","c16","Commander 2016"
"322","","en","Seaside Citadel","","1","a43910f1-303d-4214-9404-cabee59b65bd","c16","Commander 2016"
"168","","en","Solidarity of Heroes","","1","feb6f7a5-976d-4d55-be3e-b4210d383c6e","c16","Commander 2016"
"236","","en","Spitting Image","","1","63aac154-5d93-4e79-b3a9-811330b59b19","c16","Commander 2016"
"5","","en","Sublime Exhalation","","1","ac6d4a9e-a7fd-480e-96cf-5cf6d2390189","c16","Commander 2016"
"270","","en","Simic Signet","","1","62bc39de-573d-4857-a3cc-66fd13095128","c16","Commander 2016"
"272","","en","Sol Ring","","1","0f003fde-be17-4159-a361-711ed0bee911","c16","Commander 2016"
"328","","en","Sungrass Prairie","","1","872d5bdb-1c1d-40dd-9162-d5d216f2656b","c16","Commander 2016"
"44","","en","Sylvan Reclamation","","1","4a2f6fd8-8676-4e26-85d8-964bf3c84ca3","c16","Commander 2016"
"331","","en","Temple of the False God","","1","12c24992-5042-4d98-b326-909832b41f68","c16","Commander 2016"
"100","","en","Thrummingbird","","1","f4f942c2-c148-4f52-a60d-fbbc6b4507dc","c16","Commander 2016"
"99","","en","Tezzeret's Gambit","","1","373a2f6a-a659-4551-8fcd-acf49964f795","c16","Commander 2016"
"101","","en","Treasure Cruise","","1","605804a5-e525-4c70-bcc5-8e4bee784b93","c16","Commander 2016"
"332","","en","Terramorphic Expanse","","1","9b8d7221-b8a8-438e-9ba1-5aa94eeefb84","c16","Commander 2016"
"228","","en","Vulturous Zombie","","1","97271692-561e-4d2c-a0ea-0c68e77d0c26","c16","Commander 2016"
"335","","en","Underground River","","1","351bc970-edd0-49b6-bd5d-3109b96f51d6","c16","Commander 2016"
"173","","en","Tuskguard Captain","","1","b65932c2-726d-4466-8efb-e7af5bd9c474","c16","Commander 2016"
"227","","en","Vorel of the Hull Clade","","1","91bb9c52-2fb5-4b31-ae49-019273aed4d0","c16","Commander 2016"
"350","","en","Forest","","7","6efcdb56-3f56-46dc-9309-9f5be3100f32","c16","Commander 2016"
"341","","en","Island","","4","34052c96-229b-47c3-ada8-b79e622de846","c16","Commander 2016"
"32","foil","en","Ikra Shidiqi, the Usurper","","1","460165df-32db-4773-805e-edd6f18af5d6","c16","Commander 2016"
"33","foil","en","Ishai, Ojutai Dragonspeaker","","1","e2f04b83-da9d-4bb1-99ce-2ff78503c635","c16","Commander 2016"
"40","foil","en","Reyhan, Last of the Abzan","","1","564e116b-4ef0-40a7-bd05-59a667373e43","c16","Commander 2016"
"339","","en","Plains","","5","27f8ed5d-a63f-4e8f-8f1a-10bde4fea710","c16","Commander 2016"
"344","","en","Swamp","","5","c12c03f3-4d4e-426a-92ed-e605d840fbd5","c16","Commander 2016"
