collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"10","foil","en","Atraxa, Praetors' Voice","","1","b2e330dd-7cd3-445d-9c05-56e4a57526e9","cm2","Commander Anthology Volume II"
"15","","en","Abzan Falconer","","1","b52cc391-ea4e-4fe8-aac8-fffa682f290b","cm2","Commander Anthology Volume II"
"235","","en","Ash Barrens","","1","a3c2eb06-5124-417f-b2f7-b05f0f658b47","cm2","Commander Anthology Volume II"
"234","","en","Arcane Sanctum","","1","337c1a26-289f-44bf-8c91-1d704417ac43","cm2","Commander Anthology Volume II"
"150","","en","Ancient Excavation","","1","442f0af0-b745-49f2-9e95-2688403fc995","cm2","Commander Anthology Volume II"
"172","","en","Astral Cornucopia","","1","182864e2-81ef-41bc-94cd-b0ea67f60bda","cm2","Commander Anthology Volume II"
"236","","en","Azorius Chancery","","1","cac2ce0a-cb91-4b47-a340-a63924809bb8","cm2","Commander Anthology Volume II"
"58","","en","Bane of the Living","","1","2f988eb7-ff31-438e-b066-ffa4aa44b4d9","cm2","Commander Anthology Volume II"
"180","","en","Cauldron of Souls","","1","cbd4604e-c21a-42a1-b099-aad7f9263a82","cm2","Commander Anthology Volume II"
"20","","en","Cathars' Crusade","","1","264ea67b-c796-4ecd-a71b-85d67b980056","cm2","Commander Anthology Volume II"
"151","","en","Bred for the Hunt","","1","d11dffef-98c8-400d-98a2-d4fa506f18c7","cm2","Commander Anthology Volume II"
"19","","en","Brave the Sands","","1","09ab8b60-cdb1-43a8-b180-b562bb89b5a1","cm2","Commander Anthology Volume II"
"21","","en","Citadel Siege","","1","871fcb2a-136c-4efe-b5cd-bec102b02e4b","cm2","Commander Anthology Volume II"
"134","","en","Champion of Lambholt","","1","af185b08-4511-4720-b029-4ce01056d8d3","cm2","Commander Anthology Volume II"
"182","","en","Commander's Sphere","","1","559da16a-d68e-4e92-8870-b4759d3bba84","cm2","Commander Anthology Volume II"
"152","","en","Corpsejack Menace","","1","29538ff4-e28f-44d9-af23-6796edd56268","cm2","Commander Anthology Volume II"
"242","","en","Command Tower","","1","57ae67fd-065d-41d1-bd36-966b0070f026","cm2","Commander Anthology Volume II"
"23","","en","Custodi Soulbinders","","1","731dec63-2aae-4256-9d1f-499f89ff0388","cm2","Commander Anthology Volume II"
