collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Kotori, Pilot Prodigy","","1","fea6c1c8-eff9-4b66-b96d-e23016f0bb62","nec","Neon Dynasty Commander"
"260","","en","Surgehacker Mech","","1","3c4bf679-01cc-4786-a3bd-89c8ae70fdfa","neo","Kamigawa: Neon Dynasty"
"231","","en","Prodigy's Prototype","","1","be046e0a-6509-450b-b34f-29d5a5e3472e","neo","Kamigawa: Neon Dynasty"
"65","","en","Mobilizer Mech","","1","cf4bb9de-ba7c-4916-b8ed-e2e644c06b58","neo","Kamigawa: Neon Dynasty"
"18","","en","Imperial Recovery Unit","","1","ac9b2c7b-c93b-4b97-999e-86faed8a26ee","neo","Kamigawa: Neon Dynasty"
"14","","en","Kappa Cannoneer","","1","85a89077-b384-4fca-9d26-7297962c1541","nec","Neon Dynasty Commander"
"13","","en","Imposter Mech","","1","59b7450c-3163-4f12-9af1-2e998a6c36cf","nec","Neon Dynasty Commander"
"11","","en","Access Denied","","1","1642df77-6fe8-47cf-b750-ca4dd9b331ba","nec","Neon Dynasty Commander"
"16","","en","Research Thief","","1","d0ef159d-657a-4566-b9e0-f545df230025","nec","Neon Dynasty Commander"
"12","","en","Cyberdrive Awakener","","1","2a2c0a2f-07fb-4cc0-9b99-e5ff4303028d","nec","Neon Dynasty Commander"
"7","","en","Ironsoul Enforcer","","1","c2c0dfeb-2af0-4c91-bdfe-5270f64dff03","nec","Neon Dynasty Commander"
"17","","en","Universal Surveillance","","1","4b2f5584-df67-439b-b0f0-9c0fdf62f18f","nec","Neon Dynasty Commander"
"15","","en","Katsumasa, the Animator","","1","ab4b5ff5-fd6a-4948-9c54-440bf6324bd1","nec","Neon Dynasty Commander"
"10","","en","Swift Reconfiguration","","1","975dcfab-0281-4fee-92aa-021ea6c524c7","nec","Neon Dynasty Commander"
"6","","en","Drumbellower","","1","718c7383-d2e0-449b-b5b5-378d7c6e1fcb","nec","Neon Dynasty Commander"
"8","","en","Organic Extinction","","1","fea0f8be-c242-49dd-bae3-0b306107ac0b","nec","Neon Dynasty Commander"
"5","","en","Aerial Surveyor","","1","7c474f31-336d-44df-a7da-27aefd220e22","nec","Neon Dynasty Commander"
"9","","en","Release to Memory","","1","b45c4bbf-2c61-4d49-96c8-34a0fb0d6d02","nec","Neon Dynasty Commander"
"177","","en","Skycloud Expanse","","1","8053114b-c8a2-4634-b0e0-79ff6681d4ec","nec","Neon Dynasty Commander"
"92","","en","Etherium Sculptor","","1","ed796f1a-683d-4ac5-af48-ca58a557a74f","nec","Neon Dynasty Commander"
"94","","en","Master of Etherium","","1","ab02f8fb-5d1d-4a65-8283-de70d2a8d048","nec","Neon Dynasty Commander"
"80","","en","Armed and Armored","","1","133424c1-4d10-4da2-9d7c-c6ea00c0c98a","nec","Neon Dynasty Commander"
"79","","en","Aeronaut Admiral","","1","943f7244-aa62-423f-aaaa-680bdfb4f47e","nec","Neon Dynasty Commander"
"83","","en","Dispatch","","1","06bafa7d-1915-487a-96c8-b8aeafed20d4","nec","Neon Dynasty Commander"
"89","","en","Swords to Plowshares","","1","80f46b80-0728-49bf-9d54-801eaa10b9b2","nec","Neon Dynasty Commander"
"148","","en","Colossal Plow","","1","53b1bbce-db5b-41a5-ab0a-22c3cd4cfd8e","nec","Neon Dynasty Commander"
"152","","en","Foundry Inspector","","1","412d8300-926a-4f94-9edf-e45f07349fb9","nec","Neon Dynasty Commander"
"139","","en","Hanna, Ship's Navigator","","1","be21540e-2048-45bf-b029-a6a2112f313a","nec","Neon Dynasty Commander"
"178","","en","Spire of Industry","","1","db4f8604-4c00-4efa-819f-f643a78e4119","nec","Neon Dynasty Commander"
"144","","en","Arcane Signet","","1","7bdf4615-7a08-40fe-9e04-cdbe10a62e06","nec","Neon Dynasty Commander"
"162","","en","Solemn Simulacrum","","1","3a80f639-b3e8-495a-a967-d9ecff80045d","nec","Neon Dynasty Commander"
"167","","en","Command Tower","","1","a5efe226-a6fc-4fdb-a3d4-2b1ae0d667a8","nec","Neon Dynasty Commander"
"161","","en","Sol Ring","","1","3917f744-b876-47ae-94ad-f72b215ff1e7","nec","Neon Dynasty Commander"
"168","","en","Exotic Orchard","","1","d9ed9f21-5dc4-484d-bc31-8efc81254744","nec","Neon Dynasty Commander"
"175","","en","Prairie Stream","","1","71c171ea-e048-4dd5-8357-b905de2b9906","nec","Neon Dynasty Commander"
"180","","en","Temple of Enlightenment","","1","999538db-d65c-481b-82c8-ff7f71736c82","nec","Neon Dynasty Commander"
"145","","en","Azorius Signet","","1","40b0c4e7-1b0f-44ab-ac52-d86d449f555a","nec","Neon Dynasty Commander"
"149","","en","Cultivator's Caravan","","1","c7bddb42-b754-4121-8ff7-e4e50df2eac6","nec","Neon Dynasty Commander"
"136","","en","Dance of the Manse","","1","4b32891f-ea17-4543-92ea-54097996a3cb","nec","Neon Dynasty Commander"
"91","","en","Emry, Lurker of the Loch","","1","20fec02d-77af-4975-b410-7097c7c28e7e","nec","Neon Dynasty Commander"
"101","","en","Whirler Rogue","","1","261dd09a-6a68-4fe1-aed3-0892955e52c3","nec","Neon Dynasty Commander"
"165","","en","Weatherlight","","1","c86cf087-c50a-487a-bc1a-eee5410f14d9","nec","Neon Dynasty Commander"
"90","","en","Teshar, Ancestor's Apostle","","1","c1f5dd1b-bc42-44a7-aabf-b1b9a5db584d","nec","Neon Dynasty Commander"
"98","","en","Thopter Spy Network","","1","e98f6c14-dfc4-41a8-a66f-d98ca10b2dc9","nec","Neon Dynasty Commander"
"99","","en","Thoughtcast","","1","96e109f7-9be2-4ae0-a1e2-cfd296db84f1","nec","Neon Dynasty Commander"
"88","","en","Sram, Senior Edificer","","1","93887cc3-888e-479f-9cc2-a0b908e364a5","nec","Neon Dynasty Commander"
"159","","en","Skysovereign, Consul Flagship","","1","4f8075be-8932-49b3-990b-4b365fa27e94","nec","Neon Dynasty Commander"
"160","","en","Smuggler's Copter","","1","2680ed41-da35-475a-9d80-ae2f4686feed","nec","Neon Dynasty Commander"
"97","","en","Sai, Master Thopterist","","1","2beffa94-862d-4cf1-9272-7fe0425a60e7","nec","Neon Dynasty Commander"
"87","","en","Parhelion II","","1","871279e6-9a59-470e-8acc-fd5fe4fda5b3","nec","Neon Dynasty Commander"
"155","","en","Peacewalker Colossus","","1","e66a27a1-f15d-46d6-8247-f098603957f1","nec","Neon Dynasty Commander"
"154","","en","Mirage Mirror","","1","4eab5ee9-334d-4f0e-8217-c69dc8b2db8f","nec","Neon Dynasty Commander"
"82","","en","Crush Contraband","","1","08c5cdbe-2142-4ddc-b9b5-35ca60eb9970","nec","Neon Dynasty Commander"
"84","","en","Generous Gift","","1","f2bb6b0c-45e8-43ff-8fd6-78fbf6979b68","nec","Neon Dynasty Commander"
"150","","en","Fellwar Stone","","1","bb2f8ecb-a2d6-4500-b3c0-3a8a1c55a9fe","nec","Neon Dynasty Commander"
"95","","en","Reality Shift","","1","363d4c8e-f7bb-4838-a543-625f71a41257","nec","Neon Dynasty Commander"
"157","","en","Shimmer Myr","","1","f5997e2d-a028-4863-801b-133c2e5ad209","nec","Neon Dynasty Commander"
"141","","en","Raff Capashen, Ship's Mage","","1","9250189d-357d-41cb-8dcf-45bed6599b40","nec","Neon Dynasty Commander"
"135","","en","Arcanist's Owl","","1","9849087e-ea39-4667-b879-51ecdff4bf6a","nec","Neon Dynasty Commander"
"81","","en","Cataclysmic Gearhulk","","1","f284c983-6d8e-4aca-85e5-46af8556fb5c","nec","Neon Dynasty Commander"
"153","","en","Gold Myr","","1","12331b1d-a561-4a8c-8e85-ed3a607ce508","nec","Neon Dynasty Commander"
"174","","en","Port Town","","1","df75dbb7-b042-49f9-8c8d-fc81139a9d9c","nec","Neon Dynasty Commander"
"156","","en","Raiders' Karve","","1","a24dfde7-0b29-4adb-914a-90eb2dd09ece","nec","Neon Dynasty Commander"
"85","","en","Indomitable Archangel","","1","23f4b149-fad5-4ba2-a484-dd29d97d120d","nec","Neon Dynasty Commander"
"96","","en","Riddlesmith","","1","640ff8a9-9dff-4fc7-bafa-6afaa3d9c153","nec","Neon Dynasty Commander"
"86","","en","Myrsmith","","1","218a4867-e04f-498a-b384-9d7c6d44fb4f","nec","Neon Dynasty Commander"
"93","","en","Jace, Architect of Thought","","1","c2be221c-76e2-4b18-a3c1-90ced436d01f","nec","Neon Dynasty Commander"
"158","","en","Silver Myr","","1","3ebcc053-21c6-4708-b9fc-532e3749962f","nec","Neon Dynasty Commander"
"100","","en","Vedalken Engineer","","1","2c3bbbe9-91a3-4da5-a1b4-6aed4bd684de","nec","Neon Dynasty Commander"
"285","","en","Island","","15","0f66d573-5da4-4b3c-ab06-bb330cff2c9a","neo","Kamigawa: Neon Dynasty"
"284","","en","Plains","","15","4db21784-e56b-46bd-97a4-3770f2ef5caf","neo","Kamigawa: Neon Dynasty"
"4","foil","en","Shorikai, Genesis Engine","","1","969ac7dd-f3aa-4888-9ff0-d16a31b5e7a9","nec","Neon Dynasty Commander"
