collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"33","","en","Daretti, Scrap Savant","","1","cda40e31-ba99-4565-ad92-7c687ff44bd9","c14","Commander 2014"
"59","","en","Arcane Lighthouse","","1","977e3112-b141-44c0-9e8d-d7a0b93092b9","c14","Commander 2014"
"173","","en","Bogardan Hellkite","","1","49d0aa90-9026-49a8-a9da-3f711b3356c4","c14","Commander 2014"
"231","","en","Bottle Gnomes","","1","2a1eda8a-bb1e-42a5-938a-1d4e8b84624e","c14","Commander 2014"
"286","","en","Buried Ruin","","1","fb89f53a-b74a-4b04-b100-81dbb73ebeba","c14","Commander 2014"
"230","","en","Bosh, Iron Golem","","1","f0b34961-9bcd-4a11-917d-5e41cc9b4b3f","c14","Commander 2014"
"172","","en","Blasphemous Act","","1","bd26e2f4-42d3-4d4c-912e-8c4a7388106d","c14","Commander 2014"
"171","","en","Beetleback Chief","","1","274897aa-fe1a-454a-be66-7c50761c252e","c14","Commander 2014"
"32","","en","Bitter Feud","","1","07d0ebe9-0b58-491e-ab49-ea3934ee389f","c14","Commander 2014"
"233","","en","Caged Sun","","1","09528edc-00aa-40fa-bbfa-f25dfaac8f72","c14","Commander 2014"
"234","","en","Cathodion","","1","0621478c-7e68-40af-aabd-fa4df29f3a20","c14","Commander 2014"
"174","","en","Chaos Warp","","1","cedb38bb-7f4c-4a1f-ae46-fa8d20df5efa","c14","Commander 2014"
"54","","en","Commander's Sphere","","1","61e0a922-1689-484f-abb3-902ce1c964ca","c14","Commander 2014"
"291","","en","Dormant Volcano","","1","e9f9db2d-96bd-42c6-a7cb-5f83a718a269","c14","Commander 2014"
"236","","en","Dreamstone Hedron","","1","873354bb-f13f-4bf7-a699-20cea5cdf641","c14","Commander 2014"
"34","","en","Dualcaster Mage","","1","0b80c8a0-0870-4836-bee1-f4a805d119d6","c14","Commander 2014"
"290","","en","Darksteel Citadel","","1","f07c7dc0-f454-4970-9fa1-a3c8cbcfd564","c14","Commander 2014"
