collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Daretti, Scrap Savant","","1","3f4e6adf-d52f-4087-a919-789a543a9a3e","cm2","Commander Anthology Volume II"
"233","","en","Arcane Lighthouse","","1","fa90e142-15d4-461a-9e57-4a301a5df958","cm2","Commander Anthology Volume II"
"83","","en","Beetleback Chief","","1","3228ed6c-523b-4739-a10a-6867ba4b6c06","cm2","Commander Anthology Volume II"
"177","","en","Bottle Gnomes","","1","fa29a4ce-a8fa-499d-9994-f294c38b2ce5","cm2","Commander Anthology Volume II"
"179","","en","Cathodion","","1","4f8d963e-f210-44ca-a427-6a040cec102d","cm2","Commander Anthology Volume II"
"178","","en","Caged Sun","","1","dfe6f9ec-3b7f-4c11-acd1-440e14217e5d","cm2","Commander Anthology Volume II"
"89","","en","Chaos Warp","","1","33a33b4c-2f3c-4f74-aa5b-ec6eb73ee4e7","cm2","Commander Anthology Volume II"
"241","","en","Buried Ruin","","1","13f13189-7e26-4aeb-b9ca-469239688424","cm2","Commander Anthology Volume II"
"182","","en","Commander's Sphere","","1","559da16a-d68e-4e92-8870-b4759d3bba84","cm2","Commander Anthology Volume II"
"84","","en","Bitter Feud","","1","26387ab4-74da-49d7-965e-352da48d6a90","cm2","Commander Anthology Volume II"
"86","","en","Bogardan Hellkite","","1","412814c8-d6ad-429c-a985-fde809268941","cm2","Commander Anthology Volume II"
"85","","en","Blasphemous Act","","1","fc048207-502a-478c-9195-5e20382652af","cm2","Commander Anthology Volume II"
"243","","en","Darksteel Citadel","","1","bbdbde4e-6868-44e3-9d49-631d41b49a22","cm2","Commander Anthology Volume II"
"96","","en","Faithless Looting","","1","6b79cc4b-55a1-4030-aedb-1840bf0b9794","cm2","Commander Anthology Volume II"
"188","","en","Everflowing Chalice","","1","b2dadc79-855c-447e-a421-a9e16e81d47a","cm2","Commander Anthology Volume II"
"187","","en","Epochrasite","","1","6d4fafc8-3466-42f7-9d8d-8c6250da7bd5","cm2","Commander Anthology Volume II"
"186","","en","Dreamstone Hedron","","1","8ae24944-668f-4572-b15c-9e0fad6057ba","cm2","Commander Anthology Volume II"
"94","","en","Dualcaster Mage","","1","fb883762-6eb7-4d35-9e82-9c32809206cd","cm2","Commander Anthology Volume II"
"246","","en","Dormant Volcano","","1","83f90da4-9b01-431d-83b1-f54c132efec1","cm2","Commander Anthology Volume II"
"99","","en","Flametongue Kavu","","1","da3da672-cf12-4eb9-be68-aaa0e3cbf5d8","cm2","Commander Anthology Volume II"
"190","","en","Fire Diamond","","1","42459fef-8d23-4121-9823-31ab63245364","cm2","Commander Anthology Volume II"
"252","","en","Forgotten Cave","","1","ff15e214-3ffd-4bf4-849b-5e7cf1967f05","cm2","Commander Anthology Volume II"
"251","","en","Flamekin Village","","1","0fe90c85-c9ef-4ceb-9dc3-4d428b4157d5","cm2","Commander Anthology Volume II"
"255","","en","Great Furnace","","1","52fa0f1b-5a9c-41da-a82c-59c010acd1bc","cm2","Commander Anthology Volume II"
"253","","en","Ghost Quarter","","1","12f8071c-8955-4aa2-889c-6043df047223","cm2","Commander Anthology Volume II"
"101","","en","Goblin Welder","","1","17cd920a-de09-454a-a9da-c84512e3aff1","cm2","Commander Anthology Volume II"
"104","","en","Hoard-Smelter Dragon","","1","8492c80b-c38a-44b0-b2a4-9292077a74c7","cm2","Commander Anthology Volume II"
"193","","en","Ichor Wellspring","","1","03c16dfb-7e7a-4372-a1e2-8eb06d890c5c","cm2","Commander Anthology Volume II"
"110","","en","Ingot Chewer","","1","82e21f16-ae06-4af8-9f66-fd9e001e8898","cm2","Commander Anthology Volume II"
