collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Kitt Kanto, Mayhem Diva","","1","9b9850d6-49d3-45ec-9a45-75aa0fce9ee5","ncc","New Capenna Commander"
"173","","en","Cabaretti Charm","","1","08f33c8a-8e93-4296-964b-da132a854b3b","snc","Streets of New Capenna"
"29","","en","Rumor Gatherer","","1","f8b87807-cac5-4e33-a8ed-a9ced0cd83a1","snc","Streets of New Capenna"
"123","","en","Sizzling Soloist","","1","958dfd59-7dbd-45e0-b6e1-e432c78b6878","snc","Streets of New Capenna"
"249","","en","Cabaretti Courtyard","","1","9dda1e1c-b330-42e0-8547-97e2afc7615f","snc","Streets of New Capenna"
"13","","en","Boss's Chauffeur","","1","147a0ccf-3408-48c7-b4a8-6d81aed39f18","ncc","New Capenna Commander"
"16","","en","Grand Crescendo","","1","e09ff04d-cdcc-4798-b89a-9ad08ef52ad9","ncc","New Capenna Commander"
"18","","en","Master of Ceremonies","","1","d152cfa8-00b7-4aa0-855e-bbd57a5f4b23","ncc","New Capenna Commander"
"195","","en","Call the Coppercoats","","1","e203daaf-bd68-4251-9106-00299b3ad662","ncc","New Capenna Commander"
"197","","en","Duelist's Heritage","","1","f942d684-0cf2-472d-a8be-d1a914a753f5","ncc","New Capenna Commander"
"204","","en","Intangible Virtue","","1","7a1572f1-7333-4526-b311-5b0bfe37c053","ncc","New Capenna Commander"
"208","","en","Path to Exile","","1","29a0554d-82ba-4cbb-8114-ed4d1776ef61","ncc","New Capenna Commander"
"199","","en","Felidar Retreat","","1","541b9ee6-4008-4b92-a88f-ff9013048cdd","ncc","New Capenna Commander"
"200","","en","Fell the Mighty","","1","72d1ad18-607f-4fe4-ba72-26ed1da4cd3d","ncc","New Capenna Commander"
"206","","en","Martial Coup","","1","85a09100-e438-4ac0-b6c7-2dfbdf934c8d","ncc","New Capenna Commander"
"207","","en","Orzhov Advokist","","1","99cd8a1a-6f32-47fe-94a6-85cfcd97150f","ncc","New Capenna Commander"
"46","","en","Indulge // Excess","","1","d653b755-1e09-45c4-8d44-8a950151ca51","ncc","New Capenna Commander"
