collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Bright-Palm, Soul Awakener","","1","a485c2c3-c90b-43b4-bb00-c1b811b4b392","moc","March of the Machine Commander"
"280","","en","Mountain","","2","21041ed6-8f13-4909-a2c3-fa4894a2d1e3","mom","March of the Machine"
"277","","en","Plains","","5","00bf269d-aca3-494c-8777-de90ae903af2","mom","March of the Machine"
"281","","en","Forest","","6","80716ed1-8d0e-44e6-8b18-606e80d22181","mom","March of the Machine"
"435","","en","Temple of Plenty","","1","52f06041-0dce-45b2-bb05-833c0ebb438f","moc","March of the Machine Commander"
"430","","en","Temple of Abandon","","1","0203d093-a060-47d7-876b-e7ce8e444bc6","moc","March of the Machine Commander"
"348","","en","Arcane Signet","","1","6fc44891-b291-4234-8e11-a3d86ec26c83","moc","March of the Machine Commander"
"396","","en","Command Tower","","1","91b73884-6850-479d-8531-e17c8531a245","moc","March of the Machine Commander"
"309","","en","Return to Nature","","1","7e99f99a-68a1-4f35-853c-794630d313fc","moc","March of the Machine Commander"
"165","","en","Abzan Falconer","","1","f7e2b0e1-c9ea-4f91-b19e-73b1bd6a0884","moc","March of the Machine Commander"
"295","","en","Cultivate","","1","66a82a81-9b3e-421c-b916-15f40f359bf8","moc","March of the Machine Commander"
"397","","en","Evolving Wilds","","1","c78d5616-32dc-45ca-a1b2-d6b4f7951393","moc","March of the Machine Commander"
"400","","en","Field of Ruin","","1","143147d2-2eec-41e7-b78a-592288b38630","moc","March of the Machine Commander"
"408","","en","Jungle Shrine","","1","24bec77b-a5f4-4f71-a8ca-4f365dc755d8","moc","March of the Machine Commander"
"412","","en","Krosan Verge","","1","dabcee54-dda3-4208-81a8-e1ae3f79acf5","moc","March of the Machine Commander"
"421","","en","Rogue's Passage","","1","25d11ee4-9cb8-4688-8004-d83e00861028","moc","March of the Machine Commander"
"381","","en","Sol Ring","","1","eca9ae7b-a6d9-43ea-92d4-0110fd6643a7","moc","March of the Machine Commander"
"211","","en","Swords to Plowshares","","1","81c31217-7919-40fd-97e7-88431b7bd277","moc","March of the Machine Commander"
"437","","en","Temple of the False God","","1","bb218ee0-24fd-4d23-8135-468f3e4a41be","moc","March of the Machine Commander"
"320","","en","Conclave Mentor","","1","c6d36786-6e36-4a9b-97ad-ad7d9d2b8d92","moc","March of the Machine Commander"
