collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"43","","en","Daxos the Returned","","1","4abe142e-7e87-464b-be2a-ad2fc7aebd51","c15","Commander 2015"
"114","","en","Ancient Craving","","1","c72cf3e0-6049-45e1-8226-e29f847bfeab","c15","Commander 2015"
"57","","en","Ajani's Chosen","","1","3abce159-ec4f-432d-a9fa-00a3d1ae8020","c15","Commander 2015"
"60","","en","Aura of Silence","","1","8223756e-6e63-455d-9e86-5608863b7643","c15","Commander 2015"
"116","","en","Black Market","","1","4e71f0a2-0c22-4be1-b9ba-c4603a5c71e5","c15","Commander 2015"
"61","","en","Banishing Light","","1","974b6f2b-123d-48e3-a9e0-9f764c9e4e9a","c15","Commander 2015"
"277","","en","Barren Moor","","1","acfacd7a-5257-4a33-bd0e-b89acd3d21db","c15","Commander 2015"
"16","","en","Banshee of the Dread Choir","","1","09b7880c-ddd8-481a-9cf5-e39d0b9a48c9","c15","Commander 2015"
"1","","en","Bastion Protector","","1","7530d560-0480-4c67-97a0-3f9106e0b777","c15","Commander 2015"
"248","","en","Burnished Hart","","1","2da133f1-e99d-4020-b4cc-cea6fafb2c5c","c15","Commander 2015"
"62","","en","Cage of Hands","","1","2c81855c-800d-4f4b-9655-af5d320a3098","c15","Commander 2015"
"64","","en","Celestial Archon","","1","88862d96-3249-4faf-a09d-bf888329a6d4","c15","Commander 2015"
"63","","en","Celestial Ancient","","1","a0c6dcc4-2ad4-4f62-882b-01da7ace2591","c15","Commander 2015"
"17","","en","Corpse Augur","","1","3b8443d5-8135-4a91-ba4a-6294fff2d43c","c15","Commander 2015"
"19","","en","Deadly Tempest","","1","b9ca2810-3c1b-43cf-af1e-078015bf3492","c15","Commander 2015"
"215","","en","Death Grasp","","1","7cd6f616-2b22-42ed-818d-02d4a474ca8f","c15","Commander 2015"
"250","","en","Crystal Chimes","","1","17a453d0-c195-47fd-ad6b-d31c86faef71","c15","Commander 2015"
"67","","en","Dawnglare Invoker","","1","ad97e39d-61bc-4008-ad34-cacac37dcec9","c15","Commander 2015"
"66","","en","Dawn to Dusk","","1","605ad738-1f3e-47c2-b6cb-f79d2f6c16f1","c15","Commander 2015"
"18","","en","Daxos's Torment","","1","885284bd-492e-4fc1-921a-a55a069c3fa9","c15","Commander 2015"
