collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"5","foil","en","Sidar Jabari of Zhalfir","","1","5fc707be-9286-4ba1-90f6-475265d19ed2","moc","March of the Machine Commander"
"277","","en","Plains","","8","00bf269d-aca3-494c-8777-de90ae903af2","mom","March of the Machine"
"279","","en","Swamp","","5","888cdb76-d365-41df-8b6a-378ac58ca8b2","mom","March of the Machine"
"278","","en","Island","","6","988bfa94-0c83-4057-a0c7-0ad885b8919c","mom","March of the Machine"
"85","","en","Xerex Strobe-Knight","","1","e38a32bc-133d-43d1-a6e3-80d39fe53d32","mom","March of the Machine"
"46","","en","Ichor Elixir","","1","5ff34beb-9a69-4e15-91d3-be2100b73797","moc","March of the Machine Commander"
"27","","en","Locthwain Lancer","","1","7417067d-de28-404c-981e-e62b05d2bdf1","moc","March of the Machine Commander"
"11","","en","Chivalric Alliance","","1","f96d4b03-e3b0-4b24-869d-4270b813b518","moc","March of the Machine Commander"
"12","","en","Conjurer's Mantle","","1","51ddebe2-aad6-4097-ac02-fa6c99f30de7","moc","March of the Machine Commander"
"26","","en","Exsanguinator Cavalry","","1","efbd35cd-8f5c-4698-b4e2-f6b1f61cd653","moc","March of the Machine Commander"
"22","","en","Herald of Hoofbeats","","1","7beebc99-b027-49e2-95ad-e51ce302457f","moc","March of the Machine Commander"
"43","","en","Vodalian Wave-Knight","","1","9889fe0b-d93f-4f84-9081-4bc4efc4127a","moc","March of the Machine Commander"
"23","","en","Path of the Enigma","","1","0873cc1c-1285-4c39-936b-78fd8f93f3ad","moc","March of the Machine Commander"
"188","","en","Hero of Bladehold","","1","8536e50d-81b3-4b1d-9469-22fad35fe145","moc","March of the Machine Commander"
"211","","en","Swords to Plowshares","","1","81c31217-7919-40fd-97e7-88431b7bd277","moc","March of the Machine Commander"
"198","","en","Path to Exile","","1","5c3a6ce7-1ec7-414f-b6bb-cc604c6d529c","moc","March of the Machine Commander"
"217","","en","Worthy Knight","","1","bdbfe895-f806-4490-9ae6-b39b28ea4e28","moc","March of the Machine Commander"
"167","","en","Adeline, Resplendent Cathar","","1","dd95d377-a61e-4b62-a883-ed491c48da15","moc","March of the Machine Commander"
"220","","en","Distant Melody","","1","e64a8e02-9b2b-4f0b-a500-fe7fd947e608","moc","March of the Machine Commander"
"332","","en","Knights of the Black Rose","","1","ffd1bf4b-3ab0-4ab3-b351-01cc2e857bb6","moc","March of the Machine Commander"
"318","","en","Aryel, Knight of Windgrace","","1","cfa67dd1-8a67-4b63-8a4c-07a5144afa3b","moc","March of the Machine Commander"
"331","","en","Knight of the Last Breath","","1","1438d850-1e08-4d75-a79c-d6a4738d5a67","moc","March of the Machine Commander"
"193","","en","Knight of the White Orchid","","1","f332cd21-46ed-4fff-9fd9-d5975bf0004d","moc","March of the Machine Commander"
"207","","en","Silverwing Squadron","","1","4f674d39-e437-4efb-843b-30b18b567e98","moc","March of the Machine Commander"
"269","","en","Syr Konrad, the Grim","","1","03f16bbd-00d6-43ed-9a11-ebe7fc65933a","moc","March of the Machine Commander"
"377","","en","Sigiled Sword of Valeron","","1","4ce8022a-40f7-4f9d-8d2f-057e21798114","moc","March of the Machine Commander"
"418","","en","Path of Ancestry","","1","f975779d-60d4-4838-ac01-74b958b955a1","moc","March of the Machine Commander"
"420","","en","Prairie Stream","","1","9f1e7a15-c067-4093-bfdb-a6b4efe7c5b9","moc","March of the Machine Commander"
"432","","en","Temple of Enlightenment","","1","a4cb2ae7-da72-4396-9ffc-686d6cd16803","moc","March of the Machine Commander"
"419","","en","Port Town","","1","2bfe2f34-6c9e-4013-9e61-6eb758083f74","moc","March of the Machine Commander"
"369","","en","Orzhov Signet","","1","9325b7d1-d836-479b-a124-2f4eaf7cf1dd","moc","March of the Machine Commander"
"230","","en","Pull from Tomorrow","","1","c88c1fc4-7b87-42b2-a40b-b418b3e1c810","moc","March of the Machine Commander"
"360","","en","Herald's Horn","","1","171df6af-c5a4-425e-bf1b-d07650e90418","moc","March of the Machine Commander"
"381","","en","Sol Ring","","1","eca9ae7b-a6d9-43ea-92d4-0110fd6643a7","moc","March of the Machine Commander"
"388","","en","Vanquisher's Banner","","1","90975dc0-3df9-40b7-ab7d-0283bf64c625","moc","March of the Machine Commander"
"348","","en","Arcane Signet","","1","6fc44891-b291-4234-8e11-a3d86ec26c83","moc","March of the Machine Commander"
"249","","en","Foulmire Knight // Profane Insight","","1","4676c019-886c-4b0d-9849-c044c0e03da3","moc","March of the Machine Commander"
"321","","en","Corpse Knight","","1","7aa3f166-c5d1-40f0-9b23-352424b8e13a","moc","March of the Machine Commander"
"333","","en","Knights' Charge","","1","53d74710-7396-4984-afd8-fe47059e3d12","moc","March of the Machine Commander"
"257","","en","Midnight Reaper","","1","fad2b56b-bedf-4d8e-8e0c-733946e0731b","moc","March of the Machine Commander"
"200","","en","Promise of Loyalty","","1","eb3ae600-6bde-4ef1-92bc-2d678973a9de","moc","March of the Machine Commander"
"390","","en","Arcane Sanctum","","1","bae03b71-7a60-4d8b-a657-d20ef0e1fe98","moc","March of the Machine Commander"
"352","","en","Commander's Sphere","","1","c8ffce25-18a5-4232-aa7c-d5c1a88e6052","moc","March of the Machine Commander"
"253","","en","Josu Vess, Lich Knight","","1","30553f61-6edf-4e7b-b60f-b8f62ca2bcad","moc","March of the Machine Commander"
"252","","en","Haakon, Stromgald Scourge","","1","7e7d463b-e74e-4ebe-9f92-02ccdeadbf96","moc","March of the Machine Commander"
"239","","en","Syr Elenora, the Discerning","","1","3850ac6b-11e6-4367-b3b2-b7a9b2d0403b","moc","March of the Machine Commander"
"342","","en","Vona, Butcher of Magan","","1","1dea34d8-c68f-41b5-8476-fd6128d69576","moc","March of the Machine Commander"
