collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Ixhel, Scion of Atraxa","","1","ab866ec4-dcb4-47ef-8de1-a369986609c0","onc","Phyrexia: All Will Be One Commander"
"274","","en","Swamp","","6","d485c620-f1fb-4715-b7c5-d2d56588308d","one","Phyrexia: All Will Be One"
"272","","en","Plains","","6","db14da86-6721-4e22-9b61-4a5680d4e5a3","one","Phyrexia: All Will Be One"
"276","","en","Forest","","8","9f9e911e-7e12-4d99-806c-5cfba19ea8f3","one","Phyrexia: All Will Be One"
"234","","en","Myr Convert","","1","9df0adcf-7ad0-4d70-8dcd-28f69471495b","one","Phyrexia: All Will Be One"
"20","","en","Glistening Sphere","","1","b825db05-7e95-400b-944b-526cfa6addc0","onc","Phyrexia: All Will Be One Commander"
"17","","en","Contaminant Grafter","","1","0ef2f776-ff35-464b-bfcf-075c9ae4baa7","onc","Phyrexia: All Will Be One Commander"
"12","","en","Phyresis Outbreak","","1","812498c8-974c-460c-b782-506f5f735346","onc","Phyrexia: All Will Be One Commander"
"18","","en","Glissa's Retriever","","1","81836d7f-ba8d-4c52-8b1f-c86b422e23b5","onc","Phyrexia: All Will Be One Commander"
"19","","en","Wurmquake","","1","94f0a15e-9437-4aa9-86c5-482008124617","onc","Phyrexia: All Will Be One Commander"
"8","","en","Norn's Choirmaster","","1","1da10c9f-4c9f-4eee-8480-665c453215d4","onc","Phyrexia: All Will Be One Commander"
"9","","en","Norn's Decree","","1","76f28aa2-1c18-4d58-a3f9-6cd5b49280d8","onc","Phyrexia: All Will Be One Commander"
"4","","en","Vishgraz, the Doomhive","","1","fb1d33b2-9082-4043-8e52-a5c2f3a174ba","onc","Phyrexia: All Will Be One Commander"
"11","","en","Geth's Summons","","1","9cdab166-c0d2-45c4-8326-f4670cd7efd4","onc","Phyrexia: All Will Be One Commander"
"176","","en","Noxious Assault","","1","9649de6c-a9f7-4f0a-8bf7-cacaea60ed54","one","Phyrexia: All Will Be One"
"83","","en","Bilious Skulldweller","","1","dfb81cb1-ac56-4803-a962-359854a447df","one","Phyrexia: All Will Be One"
"191","","en","Unnatural Restoration","","1","4d4e6a91-59cc-4f7f-af25-16acabdafb1a","one","Phyrexia: All Will Be One"
"93","","en","Feed the Infection","","1","9f013a1a-d4b9-4380-9802-c299ee6c4492","one","Phyrexia: All Will Be One"
"168","","en","Expand the Sphere","","1","572e174e-99f7-4b5e-8506-1833adddbf07","one","Phyrexia: All Will Be One"
"85","","en","Blightbelly Rat","","1","9255cd01-a611-4fec-b9ec-b271687740ba","one","Phyrexia: All Will Be One"
"86","","en","Phyrexian Rebirth","","1","9813dc43-ec08-48b8-9a78-aea4c6a26dea","onc","Phyrexia: All Will Be One Commander"
"104","","en","Beast Within","","1","c6a30538-8a7b-425e-a9ae-562e527151ec","onc","Phyrexia: All Will Be One Commander"
"152","","en","Exotic Orchard","","1","5ac74c39-c623-4801-b552-e5f6a64dbf2f","onc","Phyrexia: All Will Be One Commander"
"159","","en","Myriad Landscape","","1","23d33c50-2f61-4183-b64c-25d76121d795","onc","Phyrexia: All Will Be One Commander"
"167","","en","Tainted Field","","1","f7217ee0-622b-49b2-8539-135a8389141e","onc","Phyrexia: All Will Be One Commander"
"140","","en","Sol Ring","","1","c6721419-70aa-4137-98d5-98ef17720c8e","onc","Phyrexia: All Will Be One Commander"
"71","","en","Ghostly Prison","","1","00e7e279-c11b-4978-b75e-9912d08590d2","onc","Phyrexia: All Will Be One Commander"
"91","","en","Windborn Muse","","1","b36755d0-0c5d-437e-ab74-9dd4acdfdee9","onc","Phyrexia: All Will Be One Commander"
"105","","en","Blight Mamba","","1","11803603-eb22-4ec9-b308-5d73d17a6770","onc","Phyrexia: All Will Be One Commander"
"106","","en","Carrion Call","","1","225ff048-fb4b-4801-8db6-b1136a1935a7","onc","Phyrexia: All Will Be One Commander"
"111","","en","Phyrexian Swarmlord","","1","715565be-0c97-4f06-8e89-2ea44c6007c9","onc","Phyrexia: All Will Be One Commander"
"133","","en","Ichorclaw Myr","","1","06ad4974-d806-4417-883a-2e622e909a7b","onc","Phyrexia: All Will Be One Commander"
"109","","en","Mycosynth Fiend","","1","9e60dd79-cc2f-4f53-afe3-cd8ab91005cd","onc","Phyrexia: All Will Be One Commander"
"139","","en","Plague Myr","","1","e74be86a-f52e-4537-8f88-ba52618428ee","onc","Phyrexia: All Will Be One Commander"
"113","","en","Viridian Corrupter","","1","94a1eddc-e5e6-4a4a-a950-13c4bc301c54","onc","Phyrexia: All Will Be One Commander"
"144","","en","Trailblazer's Boots","","1","70e3ce5d-cfb1-4fe9-99b7-9e4f58f892ec","onc","Phyrexia: All Will Be One Commander"
"125","","en","Arcane Signet","","1","ecedbcca-4d71-46ac-a8e5-a1cf8109f4b7","onc","Phyrexia: All Will Be One Commander"
"92","","en","Caress of Phyrexia","","1","0eef764a-a84f-4d2d-a0ee-2af73643c76f","onc","Phyrexia: All Will Be One Commander"
"156","","en","Karn's Bastion","","1","760db1b6-bd2c-4aec-a033-95313c25c962","onc","Phyrexia: All Will Be One Commander"
"121","","en","Moldervine Reclamation","","1","14e0b306-0973-49bc-907d-2f0f2c53b57f","onc","Phyrexia: All Will Be One Commander"
"107","","en","Cultivate","","1","f6eecb56-d5a3-4c2b-a479-dbec61da9fb4","onc","Phyrexia: All Will Be One Commander"
"145","","en","Bojuka Bog","","1","e91d3f87-be99-4f79-a493-52a7cac2d57b","onc","Phyrexia: All Will Be One Commander"
"148","","en","Canopy Vista","","1","ca0a8be8-5d1b-43f6-aeb8-4c7715fa0ad3","onc","Phyrexia: All Will Be One Commander"
"127","","en","Chromatic Lantern","","1","5df8ba21-7522-4163-a801-0e967c0ccf99","onc","Phyrexia: All Will Be One Commander"
"128","","en","Commander's Sphere","","1","ec5fd106-30c2-4845-9678-e0bed7e35ced","onc","Phyrexia: All Will Be One Commander"
"129","","en","Contagion Clasp","","1","1f963550-22b8-412f-9f53-195815328961","onc","Phyrexia: All Will Be One Commander"
"117","","en","Culling Ritual","","1","171424dc-1aad-4bab-9507-f7dd19cb80ae","onc","Phyrexia: All Will Be One Commander"
"151","","en","Command Tower","","1","58109bb0-c8cc-4043-993e-d166581fb316","onc","Phyrexia: All Will Be One Commander"
"108","","en","Evolution Sage","","1","faee8f20-87e8-49f5-8559-8e6032e63965","onc","Phyrexia: All Will Be One Commander"
"130","","en","Fellwar Stone","","1","b1914459-b29f-45c3-8def-39d1790a31c3","onc","Phyrexia: All Will Be One Commander"
"154","","en","Fortified Village","","1","ac54bda0-0ad4-4e21-b766-45c1a70bbe52","onc","Phyrexia: All Will Be One Commander"
"69","","en","Fumigate","","1","46356861-5519-4970-87bf-006100ab9a7f","onc","Phyrexia: All Will Be One Commander"
"73","","en","Grateful Apparition","","1","fc207ec0-549b-4587-8a88-d6f4431bf44d","onc","Phyrexia: All Will Be One Commander"
"132","","en","Grafted Exoskeleton","","1","d9218955-6604-49de-9153-6301d216e3bb","onc","Phyrexia: All Will Be One Commander"
"131","","en","Golgari Signet","","1","a31a1626-73b5-472e-a3ca-45b40b4378cd","onc","Phyrexia: All Will Be One Commander"
"93","","en","Ichor Rats","","1","387e4be7-7e3d-4623-afe6-229f8a9bacd4","onc","Phyrexia: All Will Be One Commander"
"158","","en","Krosan Verge","","1","083fd5cb-0a26-4549-b054-3148d92e0ce9","onc","Phyrexia: All Will Be One Commander"
"122","","en","Mortify","","1","be590aa9-4ea0-41c3-85b0-59c7b594235e","onc","Phyrexia: All Will Be One Commander"
"120","","en","Merciless Eviction","","1","886542b7-55dc-4718-b4d9-fbde26260aad","onc","Phyrexia: All Will Be One Commander"
"160","","en","Necroblossom Snarl","","1","accbaeaf-f6c4-4588-8099-ef91e69a5555","onc","Phyrexia: All Will Be One Commander"
"94","","en","Night's Whisper","","1","37f8b953-731f-4fb8-ad54-f1292779f187","onc","Phyrexia: All Will Be One Commander"
"83","","en","Norn's Annex","","1","98ed8e2e-5519-4872-ba5a-7e2f91d8d619","onc","Phyrexia: All Will Be One Commander"
"110","","en","Noxious Revival","","1","4db5b4cd-3809-4dfe-8b9a-2a25b02e814c","onc","Phyrexia: All Will Be One Commander"
"95","","en","Painful Truths","","1","db05f30f-e06c-4f9d-bf0e-930fbfeab2e7","onc","Phyrexia: All Will Be One Commander"
"161","","en","Path of Ancestry","","1","ad715137-97d0-4fb3-8fa6-09c6d6a72a7d","onc","Phyrexia: All Will Be One Commander"
"96","","en","Plague Stinger","","1","325a8b1b-fa0c-4140-b9e3-a93705b06aa0","onc","Phyrexia: All Will Be One Commander"
"123","","en","Putrefy","","1","c69d4230-7ee6-4401-ba32-73c361a4bd87","onc","Phyrexia: All Will Be One Commander"
"162","","en","Sandsteppe Citadel","","1","ff18cccb-863f-41ad-94b9-2cf643cfe2af","onc","Phyrexia: All Will Be One Commander"
"112","","en","Scavenging Ooze","","1","216b0731-c858-406e-803c-e46f5b66baa6","onc","Phyrexia: All Will Be One Commander"
"164","","en","Shineshadow Snarl","","1","d661c65d-eab3-47d7-8ca7-a9ddda2f6406","onc","Phyrexia: All Will Be One Commander"
"89","","en","Swords to Plowshares","","1","9f083ec7-e589-4415-8c30-1c60cde2ce04","onc","Phyrexia: All Will Be One Commander"
"168","","en","Tainted Wood","","1","3723ae52-dfc2-4547-bc32-d9f88bcf4846","onc","Phyrexia: All Will Be One Commander"
"169","","en","Temple of Malady","","1","6c8172a8-6d79-456c-9245-327e2370b2cd","onc","Phyrexia: All Will Be One Commander"
"166","","en","Sungrass Prairie","","1","5241517e-164a-4e34-98a9-c3a9851b5e5b","onc","Phyrexia: All Will Be One Commander"
"171","","en","Temple of Silence","","1","fbf1b2c3-88ee-4b9b-b589-aa9cd9236117","onc","Phyrexia: All Will Be One Commander"
"170","","en","Temple of Plenty","","1","791ebd6e-54e6-4b1d-b9a0-b1918b968b80","onc","Phyrexia: All Will Be One Commander"
"237","","en","Phyrexian Atlas","","1","b5adb509-6ad3-4838-925d-1cafa926b83a","one","Phyrexia: All Will Be One"
"103","","en","Pestilent Syphoner","","1","947a1e44-3485-4e24-a34d-6c318584743c","one","Phyrexia: All Will Be One"
"112","","en","Vat Emergence","","1","3a2aeaeb-7853-4588-8a5e-cfd997ba8515","one","Phyrexia: All Will Be One"
"161","","en","Cankerbloom","","1","89b39293-6f57-4294-85fc-c718bdbb4d40","one","Phyrexia: All Will Be One"
"193","","en","Venomous Brutalizer","","1","dd9df44a-a0ab-435f-914c-aa11cd88f4ec","one","Phyrexia: All Will Be One"
"116","","en","Vraska's Fall","","1","0173b7b4-2832-4943-ba45-8ba498d7a056","one","Phyrexia: All Will Be One"
"97","","en","Infectious Inquiry","","1","0a10f284-b043-4307-bdc7-6dad47cc9221","one","Phyrexia: All Will Be One"
