collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Leinore, Autumn Sovereign","","1","bd7e1645-ea8f-41c4-b3ee-58f44fc5c574","mic","Midnight Hunt Commander"
"380","","en","Plains","","12","46b94de4-099e-43d7-8f24-d5450b09f1f1","mid","Innistrad: Midnight Hunt"
"384","","en","Forest","","12","ec8de02c-7954-4424-8b95-a21d8e104bd4","mid","Innistrad: Midnight Hunt"
"216","","en","Dawnhart Wardens","","1","7eb2f0a7-f3a6-4487-b847-4ef26ad5ecad","mid","Innistrad: Midnight Hunt"
"255","","en","Moonsilver Key","","1","87778e37-af92-402e-b037-5fbd6112b682","mid","Innistrad: Midnight Hunt"
"24","","en","Celebrate the Harvest","","1","70432583-33c1-4d1a-bb94-765f6d71fed3","mic","Midnight Hunt Commander"
"5","","en","Celestial Judgment","","1","5fd29cd7-9950-49c0-9e71-d6b0f944292c","mic","Midnight Hunt Commander"
"26","","en","Heronblade Elite","","1","36938a8e-8da0-4f27-86c3-6032aa7642b5","mic","Midnight Hunt Commander"
"7","","en","Moorland Rescuer","","1","0c293b8c-3ebc-4d14-b0a6-5e41d966cba1","mic","Midnight Hunt Commander"
"28","","en","Ruinous Intrusion","","1","842bbf88-f579-4f98-a08f-17ae60a6784b","mic","Midnight Hunt Commander"
"8","","en","Sigarda's Vanguard","","1","d81da23b-b0c1-4e28-ab87-2aaac9b12bb3","mic","Midnight Hunt Commander"
"29","","en","Sigardian Zealot","","1","98adcc86-debd-4aa8-86e5-c51ec08dab5a","mic","Midnight Hunt Commander"
"9","","en","Stalwart Pathlighter","","1","a5bf9336-80d6-4751-9630-1d28e24cc0cf","mic","Midnight Hunt Commander"
"30","","en","Somberwald Beastmaster","","1","5a4ba28b-a6c6-4268-8dc2-542d203f91a6","mic","Midnight Hunt Commander"
"10","","en","Wall of Mourning","","1","98692a19-c9d4-48bf-9315-d88c44136f8b","mic","Midnight Hunt Commander"
"27","","en","Kurbis, Harvest Celebrant","","1","5ea94e69-36f0-47a6-b7f7-1379625a6955","mic","Midnight Hunt Commander"
"25","","en","Curse of Clinging Webs","","1","5e2d349e-fe5f-4627-84b7-2f01982603d2","mic","Midnight Hunt Commander"
"6","","en","Curse of Conformity","","1","0a88083d-726a-4239-b849-2a4431ef1cd7","mic","Midnight Hunt Commander"
"82","","en","Cleansing Nova","","1","e75658ef-9ae4-4f4b-ab5d-a7d4b31a9fce","mic","Midnight Hunt Commander"
