collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Satya, Aetherflux Genius","","1","3b964bbe-54cc-425c-9cc6-c877f82af7ba","m3c","Modern Horizons 3 Commander"
"203","","en","Scurry of Gremlins","","1","470ce8e9-64b9-403c-bee0-66a4c47ca6d4","mh3","Modern Horizons 3"
"106","","en","Aether Refinery","","1","aa729c01-bb58-491e-8c68-a7eb6ba883ee","m3c","Modern Horizons 3 Commander"
"191","","en","Izzet Generatorium","","1","c6d9537d-c6b9-46ef-834b-87750d79f1ae","mh3","Modern Horizons 3"
"114","","en","Amped Raptor","","1","1ac0e78b-0fdd-44f9-8b7b-c4f28a32782e","mh3","Modern Horizons 3"
"67","","en","Roil Cartographer","","1","84317f9d-5a24-4f74-9c3e-0a8b5c15bb5f","mh3","Modern Horizons 3"
"142","","en","Unstable Amulet","","1","9d9949f5-8d6c-4ea9-b203-99e8a57a6c60","mh3","Modern Horizons 3"
"211","","en","Solar Transformer","","1","b87315b3-d3a3-4eef-8a20-90587b36f551","mh3","Modern Horizons 3"
"52","","en","Bespoke Battlewagon","","1","3feccebc-c792-420d-b96c-51494b5c41db","mh3","Modern Horizons 3"
"93","","en","Localized Destruction","","1","71337d43-b6b2-4dc6-a980-3f1c4fe5a330","m3c","Modern Horizons 3 Commander"
"107","","en","Blaster Hulk","","1","2995201b-22c7-425f-b793-fac54ad10fff","m3c","Modern Horizons 3 Commander"
"97","","en","Aurora Shifter","","1","90577060-8def-4b50-ae09-6f7a3244e80a","m3c","Modern Horizons 3 Commander"
"127","","en","Sphinx of the Revelation","","1","91cfd84a-6d35-4755-984c-8f8806930a03","m3c","Modern Horizons 3 Commander"
"96","","en","Silverquill Lecturer","","1","507e34d0-cdc5-4226-9664-b725b702044d","m3c","Modern Horizons 3 Commander"
"108","","en","Filigree Racer","","1","1ea6bb35-be74-4d42-96d3-bb7070054140","m3c","Modern Horizons 3 Commander"
"128","","en","Conversion Apparatus","","1","41bcf6d0-4f72-4611-b9fc-2713b70ac618","m3c","Modern Horizons 3 Commander"
"110","","en","Overclocked Electromancer","","1","c32967d4-0ed0-492b-b94f-3b13ea9bf909","m3c","Modern Horizons 3 Commander"
