collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"142","foil","en","Satya, Aetherflux Genius","","1","65a9bda0-80eb-4aa9-ad89-9f73e65dbce3","m3c","Modern Horizons 3 Commander"
"516","foil","en","Scurry of Gremlins","","1","be4a6113-1db4-42d0-92b8-5fdc431d96ea","mh3","Modern Horizons 3"
"54","foil","en","Aether Refinery","","1","94553de8-52e8-4209-919a-cdf9289af116","m3c","Modern Horizons 3 Commander"
"137","foil","en","Cayth, Famed Mechanist","","1","ecc9aa01-0036-453f-938d-8f2f76a7fef5","m3c","Modern Horizons 3 Commander"
"514","foil","en","Unstable Amulet","","1","d2a7c05e-abe8-44fc-b64b-1d59b7629f51","mh3","Modern Horizons 3"
"52","foil","en","Bespoke Battlewagon","","1","3feccebc-c792-420d-b96c-51494b5c41db","mh3","Modern Horizons 3"
"93","foil","en","Localized Destruction","","1","71337d43-b6b2-4dc6-a980-3f1c4fe5a330","m3c","Modern Horizons 3 Commander"
"43","foil","en","Salvation Colossus","","1","3842803c-2d51-4ee0-88c3-800e2948d32c","m3c","Modern Horizons 3 Commander"
"42","foil","en","Razorfield Ripper","","1","2dc5aa4f-90c0-4a14-8a26-33780c7366c8","m3c","Modern Horizons 3 Commander"
"58","foil","en","Overclocked Electromancer","","1","2670583a-bbd9-4e99-86d9-97e06227dc2a","m3c","Modern Horizons 3 Commander"
"77","foil","en","Stone Idol Generator","","1","38c3f277-7cb7-4722-8e04-db8e9eaeabda","m3c","Modern Horizons 3 Commander"
"288","foil","en","Decoction Module","","1","cbe37ca1-de56-496f-8eb7-12af6d6bb087","m3c","Modern Horizons 3 Commander"
"164","foil","en","Aetherstorm Roc","","1","cb39b0ed-75d8-403a-ab0e-3e876ee7a38c","m3c","Modern Horizons 3 Commander"
"215","foil","en","Lightning Runner","","1","090f130e-995b-4097-a391-f4802b98d496","m3c","Modern Horizons 3 Commander"
"183","foil","en","Era of Innovation","","1","0f4f0bdd-f354-4f56-82e7-3465d6316e1c","m3c","Modern Horizons 3 Commander"
"281","foil","en","Aetherworks Marvel","","1","6cfdbd5f-24fe-44c3-aa9e-f14445c16d7a","m3c","Modern Horizons 3 Commander"
"174","foil","en","Aethersquall Ancient","","1","8e1b959f-bc00-422f-b59a-3e9d31ab7c00","m3c","Modern Horizons 3 Commander"
"175","foil","en","Aethertide Whale","","1","b995e52d-c10b-45fb-81b8-bf0cf4890054","m3c","Modern Horizons 3 Commander"
"294","foil","en","Gonti's Aether Heart","","1","b2a3ac21-5e37-40c4-934a-4b00a5562b0e","m3c","Modern Horizons 3 Commander"
"280","foil","en","Aethersphere Harvester","","1","40a3e817-0533-43b9-9350-2872e029ec50","m3c","Modern Horizons 3 Commander"
"178","foil","en","Confiscation Coup","","1","696981e0-85f3-4d0b-8ccd-ecf89f5e10e7","m3c","Modern Horizons 3 Commander"
"278","foil","en","Whirler Virtuoso","","1","d3c3bfe8-d682-4bff-bd4e-fa3acf38d0d9","m3c","Modern Horizons 3 Commander"
"187","foil","en","Glimmer of Genius","","1","8fd9c663-fbde-45f4-9ee4-78cc0b1c1b6a","m3c","Modern Horizons 3 Commander"
"317","foil","en","Aether Hub","","1","bb4436d5-ab12-4e0f-9490-c7a4a62aaa65","m3c","Modern Horizons 3 Commander"
"171","foil","en","Legion Loyalty","","1","928545e5-a9c5-497a-839d-3151f8cafdd3","m3c","Modern Horizons 3 Commander"
"44","foil","en","Silverquill Lecturer","","1","5360b208-76c0-4757-a78f-723662b3353f","m3c","Modern Horizons 3 Commander"
"283","foil","en","Arcane Signet","","1","156a1ca1-e4b1-4e0c-a786-fd80fe189896","m3c","Modern Horizons 3 Commander"
"305","foil","en","Sol Ring","","1","19911e6e-7c35-4281-b31c-266382f052cc","m3c","Modern Horizons 3 Commander"
"216","foil","en","Professional Face-Breaker","","1","5d6789ac-934f-4591-a009-13faa453be05","m3c","Modern Horizons 3 Commander"
"212","foil","en","Goldspan Dragon","","1","39fc364b-f867-4965-98f8-6a7328fea2bc","m3c","Modern Horizons 3 Commander"
"75","foil","en","Sphinx of the Revelation","","1","cde649e6-1582-4f77-8cff-dcc477140d67","m3c","Modern Horizons 3 Commander"
"335","foil","en","Demolition Field","","1","fbb9d61f-6e97-44af-81cf-63b6d3ed969d","m3c","Modern Horizons 3 Commander"
"315","foil","en","Wayfarer's Bauble","","1","45794583-7f65-48e4-8d91-b2f8994c4215","m3c","Modern Horizons 3 Commander"
"306","foil","en","Solemn Simulacrum","","1","6e2389a6-61ba-4254-a59e-05a94b054ef0","m3c","Modern Horizons 3 Commander"
"165","foil","en","Akroma's Will","","1","0663dcc8-2f72-4439-bfa9-06c4ef06c54d","m3c","Modern Horizons 3 Commander"
"316","foil","en","Adarkar Wastes","","1","6be6ebf1-4e4c-4c6f-ace1-3fed55fe5c69","m3c","Modern Horizons 3 Commander"
"166","foil","en","Angel of Invention","","1","37229823-00ce-47db-83e4-cbea90e70534","m3c","Modern Horizons 3 Commander"
"173","foil","en","Swords to Plowshares","","1","ea68cf78-e200-4169-89f4-cdee3aa13592","m3c","Modern Horizons 3 Commander"
"331","foil","en","Command Tower","","1","27e36832-09ca-4070-8511-94580014c3ed","m3c","Modern Horizons 3 Commander"
"40","foil","en","Hourglass of the Lost","","1","15a5bb8f-cfc5-4afa-870d-a7a7117929b2","m3c","Modern Horizons 3 Commander"
"167","foil","en","Austere Command","","1","556ba00c-f0e1-47ce-aea8-c22c4f3f3b05","m3c","Modern Horizons 3 Commander"
"321","foil","en","Battlefield Forge","","1","8ba7cd01-5fa4-40e2-a6d3-fe5e876f69b0","m3c","Modern Horizons 3 Commander"
