collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"7","","en","Winter, Cynical Opportunist","","1","94dc35e4-a492-4019-afcd-cbef6f59a512","dsc","Duskmourn: House of Horror Commander"
"122","","en","Vile Mutilator","","1","383fe040-98bb-40f3-b809-48c429b83f47","dsk","Duskmourn: House of Horror"
"269","","en","Terramorphic Expanse","","1","b379c8f1-817c-4f18-8f58-45c40504433e","dsk","Duskmourn: House of Horror"
"92","","en","Arcane Signet","","1","211a1d86-7257-4621-ae05-c2b235c063f0","dsc","Duskmourn: House of Horror Commander"
"96","","en","Command Tower","","1","129d1bbd-83ad-4953-bf6d-b55989b2529c","dsc","Duskmourn: House of Horror Commander"
"94","","en","Sol Ring","","1","82f1a8a3-7fdb-49a3-9649-b5c0b4755cd5","dsc","Duskmourn: House of Horror Commander"
"260","","en","Ash Barrens","","1","a881be73-7b22-418f-bf20-a07400b3b836","dsc","Duskmourn: House of Horror Commander"
"248","","en","Mind Stone","","1","f1f616f2-d69d-4763-8ff0-3eb05a543926","dsc","Duskmourn: House of Horror Commander"
"274","","en","Evolving Wilds","","1","e524216c-ed35-49a3-868f-7ad0a0027a80","dsc","Duskmourn: House of Horror Commander"
"253","","en","Solemn Simulacrum","","1","916e0c89-5614-4022-b095-9c714c476d13","dsc","Duskmourn: House of Horror Commander"
"37","","en","Convert to Slime","","1","a4dfb147-10f6-49f1-b777-12125e87189b","dsc","Duskmourn: House of Horror Commander"
"31","","en","Demolisher Spawn","","1","16b97600-e4cf-4b9e-8f2d-2eb74298eb54","dsc","Duskmourn: House of Horror Commander"
"23","","en","Polluted Cistern // Dim Oubliette","","1","6a7c3370-6f79-417e-a98e-4341307e151b","dsc","Duskmourn: House of Horror Commander"
"18","","en","Deluge of Doom","","1","948927b2-087a-4f57-844e-68fc8ab01bc0","dsc","Duskmourn: House of Horror Commander"
"19","","en","Demonic Covenant","","1","90e9b488-37fd-42db-b0f2-b6c5a15a6e36","dsc","Duskmourn: House of Horror Commander"
"20","","en","Into the Pit","","1","bf2fe1f5-0df5-4126-b760-8f3fef9c2ccc","dsc","Duskmourn: House of Horror Commander"
"244","","en","Commander's Sphere","","1","a4ce6b63-0b38-4582-94d5-c733af087038","dsc","Duskmourn: House of Horror Commander"
"5","","en","Rendmaw, Creaking Nest","","1","4dc2d415-fdf7-4f2d-95d0-a793ffc26491","dsc","Duskmourn: House of Horror Commander"
"313","","en","Temple of the False God","","1","23d62c88-3a7a-4eef-8ec4-ff1243e6ce93","dsc","Duskmourn: House of Horror Commander"
"34","","en","Formless Genesis","","1","7b8f0323-8027-49cb-962e-a06badb1c41b","dsc","Duskmourn: House of Horror Commander"
"36","","en","Ursine Monstrosity","","1","73cc6df4-3564-4ace-bf8a-eac3e62d725a","dsc","Duskmourn: House of Horror Commander"
"265","","en","Bojuka Bog","","1","e286c618-ef42-433f-ade9-0c1235a295e3","dsc","Duskmourn: House of Horror Commander"
"243","","en","Burnished Hart","","1","185660f1-584a-4098-aacd-df50fe5669d5","dsc","Duskmourn: House of Horror Commander"
"193","","en","Rampant Growth","","1","4614738e-64f8-4ce4-8fbe-add2119c2eef","dsc","Duskmourn: House of Horror Commander"
"194","","en","Sakura-Tribe Elder","","1","7a0dd468-9317-42bd-946d-ef96805fc6a4","dsc","Duskmourn: House of Horror Commander"
"295","","en","Reliquary Tower","","1","78a8c8ed-9afc-4855-bd6a-cf4e2335ecfa","dsc","Duskmourn: House of Horror Commander"
"82","","en","Grapple with the Past","","1","8416e340-ebc9-4ea6-a331-a83baa28201c","dsc","Duskmourn: House of Horror Commander"
"83","","en","Moldgraf Monstrosity","","1","714ba062-f8ae-4ae6-a1c2-8fa093cc0fb2","dsc","Duskmourn: House of Horror Commander"
"86","","en","Deathreap Ritual","","1","4980879b-87a4-4e5a-9f29-9136f022d849","dsc","Duskmourn: House of Horror Commander"
"79","","en","Night's Whisper","","1","8971a739-5e5e-4175-83a1-6af66319a440","dsc","Duskmourn: House of Horror Commander"
"90","","en","Putrefy","","1","7ddfa0e2-3d26-4f61-ba6f-16bb83c8a58e","dsc","Duskmourn: House of Horror Commander"
"95","","en","Suspicious Bookcase","","1","05ccd730-78ab-4d73-98a8-43b05c355690","dsc","Duskmourn: House of Horror Commander"
"155","","en","Reanimate","","1","368b6903-5fc4-43e7-bd44-46b8107c8bb4","dsc","Duskmourn: House of Horror Commander"
"273","","en","Dryad Arbor","","1","e3ddbebf-72cd-4d1b-ba0d-d94934654ab7","dsc","Duskmourn: House of Horror Commander"
"275","","en","Exotic Orchard","","1","a0e58240-0a3e-4abf-b296-b97045de4677","dsc","Duskmourn: House of Horror Commander"
"179","","en","Giant Adephage","","1","893b22a7-b46c-4473-8d88-11ddf4406af1","dsc","Duskmourn: House of Horror Commander"
"173","","en","Crawling Sensation","","1","e1b6af08-5041-4a9f-a61d-aae6ff892ac3","dsc","Duskmourn: House of Horror Commander"
"187","","en","Ishkanah, Grafwidow","","1","2a61bad1-f212-4d9b-8422-8ec548b8155c","dsc","Duskmourn: House of Horror Commander"
"247","","en","Haywire Mite","","1","286f4d3a-6b38-404f-aaea-a1d3694f4fe6","dsc","Duskmourn: House of Horror Commander"
"151","","en","Noxious Gearhulk","","1","77741652-d431-440d-8c47-3f95d68e846e","dsc","Duskmourn: House of Horror Commander"
"180","","en","Gnarlwood Dryad","","1","8eae5e38-49ee-49ef-87ca-7b570d9ca2b8","dsc","Duskmourn: House of Horror Commander"
"218","","en","Grim Flayer","","1","b29e5af4-feb6-485a-a631-bfc42fa1b13a","dsc","Duskmourn: House of Horror Commander"
"175","","en","Deathcap Cultivator","","1","17f9339a-d327-4239-a0d8-12f7ff58982b","dsc","Duskmourn: House of Horror Commander"
"269","","en","Darkmoss Bridge","","1","3ca3ef68-ea62-4098-bd43-4597ff0647d4","dsc","Duskmourn: House of Horror Commander"
"319","","en","Tree of Tales","","1","3b3134b3-1bad-4b41-9e56-700125ff31fa","dsc","Duskmourn: House of Horror Commander"
"322","","en","Vault of Whispers","","1","e85e4098-f872-4aa4-a71a-208b6090be28","dsc","Duskmourn: House of Horror Commander"
"219","","en","Grisly Salvage","","1","1a9efda9-5f19-4e20-b3ec-ca2bd33fd089","dsc","Duskmourn: House of Horror Commander"
"227","","en","Old Stickfingers","","1","329888c6-25d9-4eb9-9308-f979c3859669","dsc","Duskmourn: House of Horror Commander"
"159","","en","Whip of Erebos","","1","b738612f-4e78-4b19-9392-6c074956d6e4","dsc","Duskmourn: House of Horror Commander"
"207","","en","Wrenn and Seven","","1","213ac11e-f28f-46ed-b387-d83f59d2a82e","dsc","Duskmourn: House of Horror Commander"
"246","","en","Golgari Signet","","1","95103b4c-d0c0-40fa-9ddd-c7416455ca0c","dsc","Duskmourn: House of Horror Commander"
"169","","en","Arachnogenesis","","1","f5f18431-64c0-4ae5-bdc1-1e953313f086","dsc","Duskmourn: House of Horror Commander"
"202","","en","Titania, Nature's Force","","1","1230be09-8436-4023-bb8b-d325456c0914","dsc","Duskmourn: House of Horror Commander"
"262","","en","Barren Moor","","1","380eb7fd-bc79-4cad-9c2b-9b2b10761a72","dsc","Duskmourn: House of Horror Commander"
"213","","en","Binding the Old Gods","","1","db91fb6a-6124-411b-8b11-07f31f232f1c","dsc","Duskmourn: House of Horror Commander"
"135","","en","Cemetery Tampering","","1","b6d4cf14-c43e-454b-ae76-3678617067f8","dsc","Duskmourn: House of Horror Commander"
"134","","en","Carrion Grub","","1","74228c50-01d4-4712-9b1d-9c6e8552051d","dsc","Duskmourn: House of Horror Commander"
"85","","en","Culling Ritual","","1","bccb063c-6bd5-411f-86ce-9a7c054e34d3","dsc","Duskmourn: House of Horror Commander"
"215","","en","Deadbridge Chant","","1","e67b8f21-c173-4d1d-8224-2eba4bcc6975","dsc","Duskmourn: House of Horror Commander"
"220","","en","Grist, the Hunger Tide","","1","1925dc45-4dee-4772-aa16-3b4ca54be6c7","dsc","Duskmourn: House of Horror Commander"
"281","","en","Grim Backwoods","","1","e6ee7441-458d-4fb6-8cb7-a331d8bd8e84","dsc","Duskmourn: House of Horror Commander"
"279","","en","Golgari Rot Farm","","1","725fab98-558b-4b0c-a0a4-ef0eec92eebb","dsc","Duskmourn: House of Horror Commander"
