collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"A110","","en","Xira Arien","","1","8c961265-72a8-4521-b413-0d51fd2e10ad","td0","Magic Online Theme Decks"
"A34","","en","Abyssal Gatekeeper","","1","5126e62b-21e7-4135-b08e-4d12176bd815","td0","Magic Online Theme Decks"
"A54","","en","Anger","","1","3dab0f07-7e29-433d-963a-c2378280940e","td0","Magic Online Theme Decks"
"A36","","en","Animate Dead","","1","d39f6116-e685-43d1-9f6b-e7767f90398c","td0","Magic Online Theme Decks"
"A35","","en","All Hallow's Eve","","1","50e504f2-eced-4d38-9741-4d9f2cf9d51d","td0","Magic Online Theme Decks"
"A52","","en","Anarchist","","1","671ae43a-80a0-4114-88fd-f66d65b12f53","td0","Magic Online Theme Decks"
"A37","","en","Ashes to Ashes","","1","2a260426-7c01-496f-a0fb-42630b87270a","td0","Magic Online Theme Decks"
"A38","","en","Avatar of Woe","","1","dd0cb159-414f-477f-b511-30ec4282af16","td0","Magic Online Theme Decks"
"A53","","en","Ancient Grudge","","1","aeeb3ac4-e762-4c6d-93d9-7ab8b5e105f5","td0","Magic Online Theme Decks"
"A63","","en","Brawn","","1","1b1e9fd4-45fb-451f-9410-a318ff8bf69e","td0","Magic Online Theme Decks"
"A123","","en","Barren Moor","","1","b02a1f13-5259-49cc-af3f-6b53786ccc75","td0","Magic Online Theme Decks"
"A40","","en","Carrion Feeder","","1","d9ab8aa7-ab0f-4eca-ab5d-a96960561f87","td0","Magic Online Theme Decks"
"A56","","en","Chartooth Cougar","","1","d7f70ce1-e5de-44aa-9f8d-52f6ba2fb7a6","td0","Magic Online Theme Decks"
"A64","","en","Civic Wayfinder","","1","d15b872c-f1ee-4ebb-89b8-45e2a6c3c2d8","td0","Magic Online Theme Decks"
"A39","","en","Buried Alive","","1","fd9bde00-a7ab-486f-96f1-d55ac5dc5bd9","td0","Magic Online Theme Decks"
"A55","","en","Chain Lightning","","1","1b93acd2-9dbd-4a06-8737-ad78c8309fa1","td0","Magic Online Theme Decks"
"A96","","en","Cauldron Dance","","1","c7f6f8b0-7e56-4b88-b766-9f3245e5bf1d","td0","Magic Online Theme Decks"
"A41","","en","Dread Return","","1","dfecdc2e-5e64-473f-8e46-7a123ff1bf2a","td0","Magic Online Theme Decks"
"A66","","en","Constant Mists","","1","8e1a8567-ce22-43d6-a85d-5eadb1e023e7","td0","Magic Online Theme Decks"
"A125","","en","Darigaaz's Caldera","","1","4156bb53-c92f-4ae5-b0aa-c6b8303cd891","td0","Magic Online Theme Decks"
"A67","","en","Edge of Autumn","","1","2480bf04-0666-45d8-b29d-3c7b62d83a11","td0","Magic Online Theme Decks"
"A68","","en","Elven Cache","","1","9dd8ccfe-9a64-4b5c-b7d7-a36ca99666ef","td0","Magic Online Theme Decks"
"A69","","en","Elvish Visionary","","1","8b58109b-800b-4e73-8a70-b7f6ba60800e","td0","Magic Online Theme Decks"
"A71","","en","Explosive Vegetation","","1","4783eb1e-b67f-40f1-a733-d4542501f07e","td0","Magic Online Theme Decks"
"A70","","en","Eternal Witness","","1","735cf8a5-a275-469f-bb27-b0a0b417b6ef","td0","Magic Online Theme Decks"
"A98","","en","Fires of Yavimaya","","1","d6396106-c639-44f2-a221-0ff563e9a9ba","td0","Magic Online Theme Decks"
"A127","","en","Forgotten Cave","","1","e8891067-68c0-4be6-98de-c26d371c87c2","td0","Magic Online Theme Decks"
"A57","","en","Flametongue Kavu","","1","c7b9b1de-2854-4e9c-a179-6b5ffd689edd","td0","Magic Online Theme Decks"
"A113","","en","Gruul Signet","","1","fa202d2d-4e6d-445f-ad10-3470667827e9","td0","Magic Online Theme Decks"
"A130","","en","Gruul Turf","","1","89e57cdd-b1d2-45c9-9feb-eba40b45256e","td0","Magic Online Theme Decks"
"A58","","en","Hissing Iguanar","","1","b6edfec2-be15-406c-8987-ad865791416b","td0","Magic Online Theme Decks"
"A75","","en","Harmonize","","1","a94a4ee9-a7a9-4609-89fd-183524f395b7","td0","Magic Online Theme Decks"
"A129","","en","Golgari Rot Farm","","1","6ebc4f3c-d298-4284-b6f6-e850cc96d3e7","td0","Magic Online Theme Decks"
"A42","","en","Golgari Thug","","1","d577e43b-e36e-4fbc-8d19-26a18ea2422d","td0","Magic Online Theme Decks"
"A128","","en","Ghost Quarter","","1","bbf4fd36-17b5-44e8-92e4-89e4c6fcdc75","td0","Magic Online Theme Decks"
"A74","","en","Golgari Grave-Troll","","1","60f50bdd-6916-42f6-bc60-d1c1c9000931","td0","Magic Online Theme Decks"
"A112","","en","Golgari Signet","","1","a3d976ed-4dfc-43d7-80d5-5835e9f7bed7","td0","Magic Online Theme Decks"
"A43","","en","Grim Harvest","","1","94d090f5-542d-47e4-a531-93bd20271cbe","td0","Magic Online Theme Decks"
"A73","","en","Genesis","","1","470d6bd7-4b1b-4d9f-8f5b-ddf5e2f60232","td0","Magic Online Theme Decks"
"A77","","en","Kodama's Reach","","1","c42c9251-8340-440b-a3dd-a8c2b6bdb76f","td0","Magic Online Theme Decks"
"A131","","en","Jund Panorama","","1","a649a4ed-c3ca-4d42-8c3f-0884388065af","td0","Magic Online Theme Decks"
"A78","","en","Krosan Tusker","","1","9809c0d6-1e2f-4909-9740-88e8e59a8799","td0","Magic Online Theme Decks"
"A79","","en","Life from the Loam","","1","16dcf743-998d-4351-be9d-7943b5e17fad","td0","Magic Online Theme Decks"
"A59","","en","Keldon Vandals","","1","4fc5c47f-12bb-4eed-8db3-1558495eb2ca","td0","Magic Online Theme Decks"
"A60","","en","Lightning Bolt","","1","dabcac3f-59e9-42e0-8c29-fbfb059a506e","td0","Magic Online Theme Decks"
"A115","","en","Lightning Greaves","","1","0bd4dfbe-8e3b-48dd-86d5-8554e7400105","td0","Magic Online Theme Decks"
"A44","","en","Massacre","","1","4037d22d-3a05-4028-8446-455160beb20c","td0","Magic Online Theme Decks"
"A45","","en","Nezumi Graverobber // Nighteyes the Desecrator","","1","cbbd8a12-d916-4fb1-994a-7d4a3e2ae2ab","td0","Magic Online Theme Decks"
"A81","","en","Penumbra Bobcat","","1","799d5b0d-7521-4e03-8176-11468b6f80e4","td0","Magic Online Theme Decks"
"A133","","en","Rakdos Carnarium","","1","0f818228-4c2f-4d37-b01e-21ade49405f2","td0","Magic Online Theme Decks"
"A102","","en","Putrefy","","1","41ec62e8-a6af-4ff3-a6b9-1eba74a9aaea","td0","Magic Online Theme Decks"
"A116","","en","Rakdos Signet","","1","c33f9273-d38e-4f11-975d-cd78b9ba4c1a","td0","Magic Online Theme Decks"
"A46","","en","Phyrexian Arena","","1","ca3f571a-07b1-4b2e-b93d-b827819fb96e","td0","Magic Online Theme Decks"
"A47","","en","Reaping the Graves","","1","9c008328-deeb-4f93-abe8-ee424d3ab986","td0","Magic Online Theme Decks"
"A84","","en","Recollect","","1","711b5145-0246-4442-8089-321fe5513c89","td0","Magic Online Theme Decks"
"A61","","en","Resounding Thunder","","1","b3f0bc1d-538c-411e-89bd-2cd5b3a0bf94","td0","Magic Online Theme Decks"
"A85","","en","Rootbreaker Wurm","","1","52499405-0046-42a6-8a8a-82bb4a0485fb","td0","Magic Online Theme Decks"
"A134","","en","Rupture Spire","","1","e21e040d-051c-4bbb-a817-1936e7ba42c3","td0","Magic Online Theme Decks"
"A86","","en","Sakura-Tribe Elder","","1","341aae9f-ae72-4f7c-8fc3-6e3d32853e3e","td0","Magic Online Theme Decks"
"A135","","en","Savage Lands","","1","cabc184f-5580-47f1-a31b-3cf890dee7d8","td0","Magic Online Theme Decks"
"A49","","en","Stinkweed Imp","","1","c70b30c6-a639-4f2c-aad0-9bf935101932","td0","Magic Online Theme Decks"
"A120","","en","Skullclamp","","1","a3220730-e81e-4861-8529-09f4c1a752ac","td0","Magic Online Theme Decks"
"A48","","en","Shriekmaw","","1","86630ba2-5093-4122-aed4-d2fc489d9fe9","td0","Magic Online Theme Decks"
"A105","","en","Shambling Shell","","1","1c590b0c-5048-4b05-95ee-f33e5dcae18c","td0","Magic Online Theme Decks"
"A108","","en","Terminate","","1","7595a133-cbec-4173-ace7-2e725cde5d0c","td0","Magic Online Theme Decks"
"A139","","en","Terramorphic Expanse","","1","64a4d933-c440-4179-bf78-8d56b08e0595","td0","Magic Online Theme Decks"
"A89","","en","Wild Mongrel","","1","ed0c0113-de5f-4fa5-a2ea-4bc074be1a93","td0","Magic Online Theme Decks"
"A140","","en","Tranquil Thicket","","1","3c1d2cea-3fa6-488a-bb45-4c1ddd12e48b","td0","Magic Online Theme Decks"
"A51","","en","Twisted Abomination","","1","c6b54af5-97ff-4fcd-8a0d-ac12f2e75c12","td0","Magic Online Theme Decks"
"A50","","en","Terror","","1","1895c00b-a8f4-4c61-a4a8-35e1bbbb1197","td0","Magic Online Theme Decks"
"A109","","en","Vampiric Dragon","","1","3dfc3db3-ae16-4c39-82b7-c78fb37546a5","td0","Magic Online Theme Decks"
"A87","","en","Werebear","","1","a8f83ea2-69be-4f18-bcb9-210645c05bc1","td0","Magic Online Theme Decks"
"A88","","en","Wickerbough Elder","","1","9aef164a-af60-4c88-9f3b-b8d43abd3d85","td0","Magic Online Theme Decks"
"A90","","en","Wirewood Guardian","","1","2ed92284-6d4a-4eee-a916-c999a214cf5b","td0","Magic Online Theme Decks"
"A92","","en","Yavimaya Elder","","1","bc571c48-17f3-4d1b-9921-22b865af5b54","td0","Magic Online Theme Decks"
"A154","","en","Forest","","10","afa769d8-7e58-4e47-a74e-d0b5cd4acb4a","td0","Magic Online Theme Decks"
"A151","","en","Mountain","","7","7faa4ecc-1b0e-4bdf-ac5b-427615cbe21b","td0","Magic Online Theme Decks"
