collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Morska, Undersea Sleuth","","1","ae9ccfec-05c6-469e-b1dd-dfbafa1e927f","mkc","Murders at Karlov Manor Commander"
"255","","en","Magnifying Glass","","1","c606a71f-8fb0-486b-955f-727ebf436946","mkm","Murders at Karlov Manor"
"24","","en","Tangletrove Kelp","","1","7582d7c0-6cb6-47d1-8026-3d661b5a809f","mkc","Murders at Karlov Manor Commander"
"46","","en","Ransom Note","","1","3a16b2f3-2568-4046-8e2f-99af0b6d79ee","mkc","Murders at Karlov Manor Commander"
"11","","en","Merchant of Truth","","1","0f47e29e-54c5-4b1a-b9b9-d5e267a0203a","mkc","Murders at Karlov Manor Commander"
"42","","en","Knowledge Is Power","","1","1afe55c3-53c3-4257-afb6-32a553639f50","mkc","Murders at Karlov Manor Commander"
"23","","en","Follow the Bodies","","1","52ecb9ef-37bc-4327-9ae6-bcef6e2fdb94","mkc","Murders at Karlov Manor Commander"
"39","","en","On the Trail","","1","e5cf1f9f-2e35-49b1-af47-75fbe11f7b7e","mkc","Murders at Karlov Manor Commander"
"9","","en","Armed with Proof","","1","6e75470f-fe57-4b6e-a76b-5daf9d9caf0b","mkc","Murders at Karlov Manor Commander"
"38","","en","Innocuous Researcher","","1","84039704-d7c9-46fd-987e-4b93f812e803","mkc","Murders at Karlov Manor Commander"
"21","","en","Detective of the Month","","1","e63e381d-142c-4622-ad78-8cacd5778355","mkc","Murders at Karlov Manor Commander"
"14","","en","Serene Sleuth","","1","61e691ff-ab3e-42ae-b160-54b53f5f961e","mkc","Murders at Karlov Manor Commander"
"304","","en","Temple of Plenty","","1","36298771-c671-4307-b8b6-31e3ead75be2","mkc","Murders at Karlov Manor Commander"
"303","","en","Temple of Mystery","","1","975dfe13-41a3-476b-9cc6-bf7c82abe31c","mkc","Murders at Karlov Manor Commander"
"302","","en","Temple of Enlightenment","","1","e41a5a3d-5fbb-4dbb-b70d-2a480f18df9f","mkc","Murders at Karlov Manor Commander"
"297","","en","Sungrass Prairie","","1","8af1bed5-fec8-4313-a946-eef9c73e2f87","mkc","Murders at Karlov Manor Commander"
"294","","en","Skycloud Expanse","","1","22f95138-6795-4698-ad58-ed2226242835","mkc","Murders at Karlov Manor Commander"
"286","","en","Scattered Groves","","1","5af79a38-d2e2-4479-ac6e-e34a0dd0bdea","mkc","Murders at Karlov Manor Commander"
"281","","en","Prairie Stream","","1","c649f06f-bad5-499b-b70c-47e52cb4a234","mkc","Murders at Karlov Manor Commander"
"271","","en","Krosan Verge","","1","79ca6f07-7a41-464e-814f-eeaae048d95d","mkc","Murders at Karlov Manor Commander"
"296","","en","Spire of Industry","","1","90b845fd-5b22-4196-9cba-00c7e1b44509","mkc","Murders at Karlov Manor Commander"
"267","","en","Irrigated Farmland","","1","7352e874-d332-4a98-ab3f-513f8cb3a76a","mkc","Murders at Karlov Manor Commander"
"252","","en","Canopy Vista","","1","b76f2de1-ea17-40b0-8d90-4c4369516eff","mkc","Murders at Karlov Manor Commander"
