collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Yuma, Proud Protector","","1","18df72be-07d2-4412-b36d-a45119763db3","otc","Outlaws of Thunder Junction Commander"
"253","","en","Bristling Backwoods","","1","d61dfeb7-7f6b-4601-8396-2cbb98165489","otj","Outlaws of Thunder Junction"
"251","","en","Abraded Bluffs","","1","19e96521-b4ce-4a36-a887-200e05ccc804","otj","Outlaws of Thunder Junction"
"255","","en","Creosote Heath","","1","c5523dac-7aa0-4486-89c8-3b22a1411f26","otj","Outlaws of Thunder Junction"
"6","","en","Bovine Intervention","","1","26c36742-456f-4618-99bc-793ef20b31b0","otj","Outlaws of Thunder Junction"
"26","","en","Requisition Raid","","1","154e9ba9-0d0e-4b0e-acf2-f66a993cf3a2","otj","Outlaws of Thunder Junction"
"170","","en","Map the Frontier","","1","165f4428-e1a1-477d-bd90-138189e88163","otj","Outlaws of Thunder Junction"
"254","","en","Conduit Pylons","","1","5ffa48cc-b991-4d47-b7ec-cf678915c758","otj","Outlaws of Thunder Junction"
"262","","en","Mirage Mesa","","1","c3d2e816-c06d-4c5d-98fe-c350d8cfab27","otj","Outlaws of Thunder Junction"
"35","","en","Vengeful Regrowth","","1","cccb3db6-6ab2-4ce9-beaa-99b352116676","otc","Outlaws of Thunder Junction Commander"
"32","","en","Rumbleweed","","1","fe1ecd63-075b-4eda-a9f7-d7f282c81d3b","otc","Outlaws of Thunder Junction Commander"
"11","","en","Sand Scout","","1","e63ba7e6-87a9-49ef-bddc-60543edfd726","otc","Outlaws of Thunder Junction Commander"
"31","","en","Dune Chanter","","1","cbed084b-c0bc-4c05-9a89-ce4630f0897c","otc","Outlaws of Thunder Junction Commander"
"40","","en","Cactus Preserve","","1","ad9d426f-5870-42bb-a589-9218f7e35d62","otc","Outlaws of Thunder Junction Commander"
"24","","en","Cataclysmic Prospecting","","1","149829e6-94bd-49a0-be35-51f37bea7ffb","otc","Outlaws of Thunder Junction Commander"
"9","","en","Angel of Indemnity","","1","8d8b415e-d077-4548-9738-15d8828e49e3","otc","Outlaws of Thunder Junction Commander"
"86","","en","Sevinne's Reclamation","","1","b61aed9d-81dd-4efc-8769-8307b587289e","otc","Outlaws of Thunder Junction Commander"
"87","","en","Sun Titan","","1","aa8e16fa-30f8-40ac-965d-3d0776dc8f74","otc","Outlaws of Thunder Junction Commander"
"78","","en","Angel of the Ruins","","1","69745222-fc57-4c9d-b48e-15d20800f3bd","otc","Outlaws of Thunder Junction Commander"
"85","","en","Path to Exile","","1","a7aed564-2d2d-42c4-bf11-812bc1a0284c","otc","Outlaws of Thunder Junction Commander"
"80","","en","Descend upon the Sinful","","1","83245e11-a020-4d81-9d83-e1505f1d125e","otc","Outlaws of Thunder Junction Commander"
"28","","en","Embrace the Unknown","","1","5aea4066-4f67-4a3d-b65d-04f74e1aaa76","otc","Outlaws of Thunder Junction Commander"
"82","","en","Marshal's Anthem","","1","7c84cbf6-cab0-4b53-ab60-470ade5c3654","otc","Outlaws of Thunder Junction Commander"
"88","","en","Valorous Stance","","1","f161ad98-877f-4833-a6a1-c15ee3e8ca87","otc","Outlaws of Thunder Junction Commander"
"189","","en","Crawling Sensation","","1","172e0282-0a9b-4067-9c45-5bb0a115081f","otc","Outlaws of Thunder Junction Commander"
"195","","en","Hour of Promise","","1","6a40ae96-60a7-465f-b6d9-87e1e952dcf0","otc","Outlaws of Thunder Junction Commander"
"211","","en","Turntimber Sower","","1","11bdff1d-4542-4c71-af00-731d6651b492","otc","Outlaws of Thunder Junction Commander"
"187","","en","Avenger of Zendikar","","1","cdddf3ca-e378-44cc-83b7-d7917d9cba53","otc","Outlaws of Thunder Junction Commander"
"192","","en","Explore","","1","3976affd-8c2b-499a-a946-b629c2ba59c7","otc","Outlaws of Thunder Junction Commander"
"229","","en","Hazezon, Shaper of Sand","","1","37dd84b4-0b8d-4303-8405-45e2c144f691","otc","Outlaws of Thunder Junction Commander"
"205","","en","Scute Swarm","","1","373f199d-f1a6-4a3d-ac83-28741131f313","otc","Outlaws of Thunder Junction Commander"
"263","","en","Perpetual Timepiece","","1","a2d41001-c6c5-4efd-825b-75c42cc88fbb","otc","Outlaws of Thunder Junction Commander"
"203","","en","Return of the Wildspeaker","","1","2f4e0dac-e0e7-4557-9357-d4df96ed89d7","otc","Outlaws of Thunder Junction Commander"
"220","","en","Decimate","","1","cf0e68bc-8de8-4ff8-a39a-8da95f71d843","otc","Outlaws of Thunder Junction Commander"
"194","","en","Harrow","","1","db4ea599-e9ee-4776-925e-921b8602d503","otc","Outlaws of Thunder Junction Commander"
"267","","en","Sol Ring","","1","6c5c9437-3d99-4a7c-8255-9acdcb1acc40","otc","Outlaws of Thunder Junction Commander"
"202","","en","Ramunap Excavator","","1","3f8a0a0e-81f7-40a2-b393-bdc1423549f6","otc","Outlaws of Thunder Junction Commander"
"186","","en","Ancient Greenwarden","","1","12a0bf5c-a165-48f1-9a57-3a7cc9f3b0f9","otc","Outlaws of Thunder Junction Commander"
"223","","en","Escape to the Wilds","","1","a65916a8-eeb2-4cd8-904c-dae9385e4356","otc","Outlaws of Thunder Junction Commander"
"268","","en","Swiftfoot Boots","","1","04a76643-1703-4fab-8dce-7725490bc2af","otc","Outlaws of Thunder Junction Commander"
"236","","en","Omnath, Locus of Rage","","1","9a0a9d3f-cd75-419b-840f-88b468f71f4a","otc","Outlaws of Thunder Junction Commander"
"176","","en","Nesting Dragon","","1","571e3136-e4f3-412b-bfd4-0eb06d3d723f","otc","Outlaws of Thunder Junction Commander"
"210","","en","Titania, Protector of Argoth","","1","ba7c2249-878b-428a-8670-005c6fbcb516","otc","Outlaws of Thunder Junction Commander"
"266","","en","Scaretiller","","1","23eb0fce-2e69-4280-8ee3-85736765fbbd","otc","Outlaws of Thunder Junction Commander"
"252","","en","Arcane Signet","","1","2bfeb9dc-0bf7-4f19-9714-b14114e4627f","otc","Outlaws of Thunder Junction Commander"
"304","","en","Krosan Verge","","1","19fc5bec-f877-430c-8e83-e6c5fe97f3c4","otc","Outlaws of Thunder Junction Commander"
"250","","en","Wreck and Rebuild","","1","a177ba01-53cd-4223-8f79-9fbeb2b86906","otc","Outlaws of Thunder Junction Commander"
"291","","en","Dunes of the Dead","","1","cd86b0af-9c26-4c3a-8e1e-74a28263bd83","otc","Outlaws of Thunder Junction Commander"
