collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"210","","en","The Mimeoplasm","","1","20ffedd2-0575-4050-b687-fa1212966c46","cmd","Commander 2011"
"140","","en","Acidic Slime","","1","2c5b2de9-ba83-4cae-9088-25268b7a8e13","cmd","Commander 2011"
"1","","en","Artisan of Kozilek","","1","e0d37261-b0a4-49be-b682-3b6d5e8e6bb7","cmd","Commander 2011"
"266","","en","Barren Moor","","1","b5549d92-f27a-4914-a903-e4f452e4e485","cmd","Commander 2011"
"73","","en","Avatar of Woe","","1","1af79737-46ff-48f2-a270-21bd6a05d17e","cmd","Commander 2011"
"74","","en","Buried Alive","","1","1f82e318-ed20-40a1-b9b6-2aad10751e19","cmd","Commander 2011"
"145","","en","Brawn","","1","6c97324b-7403-4efa-85ab-6e6779f6f2b9","cmd","Commander 2011"
"75","","en","Butcher of Malakir","","1","ac1d9632-11f5-4c86-88a9-a3a59664027f","cmd","Commander 2011"
"76","","en","Dark Hatchling","","1","cdc354b3-3ffa-4901-95b6-2e76c4d100b4","cmd","Commander 2011"
"269","","en","Command Tower","","1","46982091-cc78-4171-8b3d-d07592684728","cmd","Commander 2011"
"148","","en","Cultivate","","1","f824aae9-220d-4046-94f8-80e4436b0319","cmd","Commander 2011"
"191","","en","Damia, Sage of Stone","","1","9ecadcd7-f40d-4c4e-b897-366c7bcae5f1","cmd","Commander 2011"
"193","","en","Desecrator Hag","","1","cb431f20-8cfc-487b-a8c6-b004bdeb22d1","cmd","Commander 2011"
"246","","en","Dimir Signet","","1","bb9d1f0a-b206-4f35-bc0f-6c055c8231f4","cmd","Commander 2011"
"271","","en","Dreadship Reef","","1","52137ce1-ebaf-4ffb-a18c-69e47736624b","cmd","Commander 2011"
"44","","en","Dreamborn Muse","","1","2daf8f6a-431d-45dc-8e47-ad554ff76e3e","cmd","Commander 2011"
"270","","en","Dimir Aqueduct","","1","bc6ff991-0a6f-4a7d-9281-6c1b80bbaa6b","cmd","Commander 2011"
"45","","en","Fact or Fiction","","1","966344d2-1f55-44fb-8e78-72225b96c759","cmd","Commander 2011"
"152","","en","Eternal Witness","","1","101cccfb-17c3-4b11-8a3e-c382ec7143c3","cmd","Commander 2011"
"81","","en","Extractor Demon","","1","decdbe5f-a223-402d-933b-0cfd4c738218","cmd","Commander 2011"
