collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","The Mimeoplasm","","1","aedc7a6b-c481-4719-bc83-424eeb216aef","cm2","Commander Anthology Volume II"
"132","","en","Acidic Slime","","1","256b2667-3acd-4848-9302-629d7ae27100","cm2","Commander Anthology Volume II"
"57","","en","Avatar of Woe","","1","7e8e34de-4b0a-48fe-bb13-c7e181d37e6c","cm2","Commander Anthology Volume II"
"237","","en","Barren Moor","","1","5fb8a505-46d3-49c9-b90c-0d6e03e7a4c3","cm2","Commander Anthology Volume II"
"133","","en","Brawn","","1","4e1d2acd-a3ef-4c9a-9346-322a0e16898c","cm2","Commander Anthology Volume II"
"59","","en","Buried Alive","","1","17e943af-a051-4892-bc96-0b8c40e12f19","cm2","Commander Anthology Volume II"
"60","","en","Butcher of Malakir","","1","dce6a712-d638-4d06-b3c6-75e35e4ec46c","cm2","Commander Anthology Volume II"
"242","","en","Command Tower","","1","57ae67fd-065d-41d1-bd36-966b0070f026","cm2","Commander Anthology Volume II"
"135","","en","Cultivate","","1","83d1a3a2-4f2d-4f5f-9270-7c771d2c91b1","cm2","Commander Anthology Volume II"
"61","","en","Dark Hatchling","","1","bdf13504-42e3-44f0-958a-47ccb92a1033","cm2","Commander Anthology Volume II"
"42","","en","Fact or Fiction","","1","99258618-cda0-432f-9614-3c4f27777e78","cm2","Commander Anthology Volume II"
"136","","en","Eternal Witness","","1","ee7d035f-184f-4067-876a-1d26cb8d3fa2","cm2","Commander Anthology Volume II"
"62","","en","Extractor Demon","","1","c8d09723-3729-44b7-8f3d-3de47c135849","cm2","Commander Anthology Volume II"
"247","","en","Dreadship Reef","","1","1eda9aeb-bbce-4c17-8ac5-2bc07d47d090","cm2","Commander Anthology Volume II"
"185","","en","Dimir Signet","","1","3fe2a140-ce80-4517-9550-49d6a2c3eb04","cm2","Commander Anthology Volume II"
"153","","en","Desecrator Hag","","1","1de48517-5993-4d0f-99a5-55f1a4227507","cm2","Commander Anthology Volume II"
"245","","en","Dimir Aqueduct","","1","39c073c2-a588-40ef-9272-5c594b987440","cm2","Commander Anthology Volume II"
"41","","en","Dreamborn Muse","","1","83ad2ba9-ab54-4abc-805d-dc9fe31bac7f","cm2","Commander Anthology Volume II"
"64","","en","Fleshbag Marauder","","1","caf4ba6c-c60f-49fa-a131-53627a45893c","cm2","Commander Anthology Volume II"
"14","","en","Artisan of Kozilek","","1","07daf75f-2e4d-479f-8231-6966335fa32e","cm2","Commander Anthology Volume II"
"66","","en","Gravedigger","","1","cd8d1820-0576-4244-9665-0f2aa34424f7","cm2","Commander Anthology Volume II"
"191","","en","Golgari Signet","","1","6b088a25-e837-44a7-835c-a9899f852f92","cm2","Commander Anthology Volume II"
"65","","en","Grave Pact","","1","b88471f6-ccb3-4129-b7a4-62cee65605ef","cm2","Commander Anthology Volume II"
"254","","en","Golgari Rot Farm","","1","c14934af-a73e-442b-a5be-fa127839c2fb","cm2","Commander Anthology Volume II"
"68","","en","Living Death","","1","80e7d9a3-06a1-400d-958c-9b5302e046a6","cm2","Commander Anthology Volume II"
