collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Kasla, the Broken Halo","","1","a209bda2-f0bf-4417-94f9-b73eff0b4217","moc","March of the Machine Commander"
"278","","en","Island","","8","988bfa94-0c83-4057-a0c7-0ad885b8919c","mom","March of the Machine"
"280","","en","Mountain","","8","21041ed6-8f13-4909-a2c3-fa4894a2d1e3","mom","March of the Machine"
"277","","en","Plains","","8","00bf269d-aca3-494c-8777-de90ae903af2","mom","March of the Machine"
"228","","en","Nadir Kraken","","1","7b527219-1ed6-4977-a48f-56fec984ec43","moc","March of the Machine Commander"
"432","","en","Temple of Enlightenment","","1","a4cb2ae7-da72-4396-9ffc-686d6cd16803","moc","March of the Machine Commander"
"348","","en","Arcane Signet","","1","6fc44891-b291-4234-8e11-a3d86ec26c83","moc","March of the Machine Commander"
"396","","en","Command Tower","","1","91b73884-6850-479d-8531-e17c8531a245","moc","March of the Machine Commander"
"329","","en","Improbable Alliance","","1","29ab3610-342d-4a67-9be8-a7efb89a4b46","moc","March of the Machine Commander"
"218","","en","Chasm Skulker","","1","794e01e7-430c-43cf-ba2b-1028cd088148","moc","March of the Machine Commander"
"184","","en","Ephemeral Shields","","1","60fcd11e-9bc3-4a27-966c-42767bac3223","moc","March of the Machine Commander"
"397","","en","Evolving Wilds","","1","c78d5616-32dc-45ca-a1b2-d6b4f7951393","moc","March of the Machine Commander"
"285","","en","Impact Tremors","","1","46db3811-db1d-4f69-8143-a93f64d0297b","moc","March of the Machine Commander"
"336","","en","Migratory Route","","1","e8c8f35e-faa8-4537-b320-c84ebe8e71e4","moc","March of the Machine Commander"
"421","","en","Rogue's Passage","","1","25d11ee4-9cb8-4688-8004-d83e00861028","moc","March of the Machine Commander"
"379","","en","Skullclamp","","1","a36fd6d8-66a2-49d1-b9f3-b400ebc03674","moc","March of the Machine Commander"
"381","","en","Sol Ring","","1","eca9ae7b-a6d9-43ea-92d4-0110fd6643a7","moc","March of the Machine Commander"
"211","","en","Swords to Plowshares","","1","81c31217-7919-40fd-97e7-88431b7bd277","moc","March of the Machine Commander"
"216","","en","Village Bell-Ringer","","1","b72b39fd-507d-432b-b5b0-5657e5ed0a47","moc","March of the Machine Commander"
"433","","en","Temple of Epiphany","","1","11a9a808-4ad1-45ab-9ef6-b6eb39414e25","moc","March of the Machine Commander"
"438","","en","Temple of Triumph","","1","4f7eb4fa-8950-42e5-8695-b9c3bba91f7d","moc","March of the Machine Commander"
"334","","en","Kykar, Wind's Fury","","1","7b992166-5906-4b29-bade-91566eba530e","moc","March of the Machine Commander"
"352","","en","Commander's Sphere","","1","c8ffce25-18a5-4232-aa7c-d5c1a88e6052","moc","March of the Machine Commander"
"398","","en","Exotic Orchard","","1","2448d4fb-f327-4a68-b5ce-806f63425f0a","moc","March of the Machine Commander"
"439","","en","Terramorphic Expanse","","1","66639e5d-8a74-4d58-a77d-0bb9d6d62bb1","moc","March of the Machine Commander"
"190","","en","Hour of Reckoning","","1","c0ffb58f-459a-4965-b1d6-a25442baf9c2","moc","March of the Machine Commander"
"417","","en","Mystic Monastery","","1","70462786-afed-4277-93c7-3aa150a90060","moc","March of the Machine Commander"
"420","","en","Prairie Stream","","1","9f1e7a15-c067-4093-bfdb-a6b4efe7c5b9","moc","March of the Machine Commander"
"425","","en","Skycloud Expanse","","1","ca912cfa-2fdd-4560-90a5-26a71e1f9c4c","moc","March of the Machine Commander"
"170","","en","Angel of Salvation","","1","9e71046b-1284-4d7f-93dd-a632c74d9cca","moc","March of the Machine Commander"
"173","","en","Banisher Priest","","1","0e518f9e-d74d-4a6f-8fde-5e3ec5834e63","moc","March of the Machine Commander"
"166","","en","Stoke the Flames","","1","04113b3c-cc8f-4b15-9091-f82ea3df2e7c","mom","March of the Machine"
"169","","en","Angel of Finality","","1","907d710c-c54a-4e13-b057-71e4cc73f087","moc","March of the Machine Commander"
"411","","en","Kher Keep","","1","5e75a8b5-45c5-4586-aad8-19370477cbc3","moc","March of the Machine Commander"
"357","","en","Fractured Powerstone","","1","aeaa7115-bebe-4650-9575-f7855c0055cd","moc","March of the Machine Commander"
"419","","en","Port Town","","1","2bfe2f34-6c9e-4013-9e61-6eb758083f74","moc","March of the Machine Commander"
"324","","en","Duergar Hedge-Mage","","1","a55e7048-4532-443b-9480-a139069ecf0a","moc","March of the Machine Commander"
"180","","en","Devouring Light","","1","6a6676da-82d7-4690-ad83-6fda7081517c","moc","March of the Machine Commander"
"178","","en","Conclave Tribunal","","1","600c240b-4a27-4d0b-9a38-92037f724ab0","moc","March of the Machine Commander"
"186","","en","Flight of Equenauts","","1","d8b8aaf0-909e-49b7-9360-a99b68a0f414","moc","March of the Machine Commander"
"215","","en","Venerated Loxodon","","1","d55160fd-a3a7-46b4-9f0d-e3e98cb533d6","moc","March of the Machine Commander"
"354","","en","Cultivator's Caravan","","1","7630d44d-6950-40c8-bc75-d857cdb91dea","moc","March of the Machine Commander"
"335","","en","The Locust God","","1","7e599847-8ab0-4fd6-b2c0-cb44a7669aa5","moc","March of the Machine Commander"
"205","","en","Seraph of the Masses","","1","6bc2ee43-7f99-46d5-b3da-7258d83ab2c4","moc","March of the Machine Commander"
"219","","en","Cloud of Faeries","","1","03aff125-8962-4a0a-a2b4-e5d693b75400","moc","March of the Machine Commander"
"283","","en","Goblin Medics","","1","deda9adf-43db-481b-840d-518a12873782","moc","March of the Machine Commander"
"174","","en","Battle Screech","","1","4782545f-8f3e-473c-bc54-0c237b733797","moc","March of the Machine Commander"
"196","","en","Mentor of the Meek","","1","59c2bacd-09e5-403c-b9a2-722fe6d8062e","moc","March of the Machine Commander"
"172","","en","Austere Command","","1","bce78225-9dbf-46c1-b63d-083c1858eb98","moc","March of the Machine Commander"
"210","","en","Suture Priest","","1","430b96aa-7bb0-4d2b-b265-9c4987db28a2","moc","March of the Machine Commander"
"223","","en","Fallowsage","","1","075b8e5e-464b-4ea6-b380-f73aa9c8e5ab","moc","March of the Machine Commander"
"343","","en","Wear // Tear","","1","e01cc65a-0e38-4f41-b9ed-796ef0355d0b","moc","March of the Machine Commander"
"344","","en","Whirlwind of Thought","","1","90e72f86-9f09-40af-838c-3d344c50f607","moc","March of the Machine Commander"
