collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","","en","Atarka, World Render","","1","719f172b-f9ad-4960-af66-757eb54147f6","scd","Starter Commander Decks"
"172","","en","Beast Within","","1","fb961f73-e352-4373-b2ae-1730b654640c","scd","Starter Commander Decks"
"134","","en","Dragonkin Berserker","","1","dcfd4840-c524-464a-9519-3fb78e6ee8c5","scd","Starter Commander Decks"
"154","","en","Rapacious Dragon","","1","af7d2077-c108-4cb6-af56-3815991439b7","scd","Starter Commander Decks"
"225","","en","Draconic Disciple","","1","8cc56c65-b199-4203-b6f3-d890ab613800","scd","Starter Commander Decks"
"136","","en","Dragonmaster Outcast","","1","e7198cf2-795d-4921-be28-86f208dfe1f3","scd","Starter Commander Decks"
"297","","en","Command Tower","","1","cae0c9e0-3be9-4151-9d59-658a032c30e9","scd","Starter Commander Decks"
"281","","en","Talisman of Impulse","","1","b08ce0bf-ee14-451c-8a77-b0ffffbb3e0d","scd","Starter Commander Decks"
"185","","en","Garruk's Uprising","","1","2b4746f0-233a-4e6f-9054-7a269e36a206","scd","Starter Commander Decks"
"228","","en","Fires of Yavimaya","","1","f8003d09-9c1a-4bd3-8672-f4d7960c972e","scd","Starter Commander Decks"
"261","","en","Commander's Sphere","","1","686b4c7f-5b42-4625-8ff9-782795eec264","scd","Starter Commander Decks"
"312","","en","Path of Ancestry","","1","dbab5b0a-c80f-4604-bec8-04da67ae1691","scd","Starter Commander Decks"
"211","","en","Shamanic Revelation","","1","c2e1151b-9203-4415-802d-1f3c8e4b9d03","scd","Starter Commander Decks"
"276","","en","Sol Ring","","1","1b023575-4cb5-434f-92ef-d3b81aaa3c3e","scd","Starter Commander Decks"
"123","","en","Akoum Hellkite","","1","cc2bff9a-b8a4-49a0-8208-9c6ebc56df14","scd","Starter Commander Decks"
"257","","en","Arcane Signet","","1","02cb9420-fbfb-4123-a830-a992ff470db6","scd","Starter Commander Decks"
"258","","en","Atarka Monument","","1","5e9fc80b-9602-4250-a282-e44aab6f8feb","scd","Starter Commander Decks"
"173","","en","Blossoming Defense","","1","bf65fcd0-5f4e-4e65-ac86-2f14d5c7d527","scd","Starter Commander Decks"
"295","","en","Cinder Glade","","1","6db7c44f-7c15-48e9-8170-43b00c7c11c1","scd","Starter Commander Decks"
"126","","en","Chain Reaction","","1","0609ddd2-1e98-4fe3-855e-c0ba1c365369","scd","Starter Commander Decks"
"220","","en","Clan Defiance","","1","aebd371a-8564-4687-9874-7986fc64ecfe","scd","Starter Commander Decks"
"129","","en","Crucible of Fire","","1","a4cfcb17-6401-4595-82e6-ac1ab2a9e43b","scd","Starter Commander Decks"
"177","","en","Cultivate","","1","ea325c2c-36cb-46c5-b410-a3ee0b15e638","scd","Starter Commander Decks"
"130","","en","Demanding Dragon","","1","f97d0541-f04f-44a6-a20f-4d909ccc90ca","scd","Starter Commander Decks"
"208","","en","Sakura-Tribe Elder","","1","7611e8e3-9529-4d0b-bc23-88ba907c4939","scd","Starter Commander Decks"
"135","","en","Dragonlord's Servant","","1","d746adc2-5844-424e-af19-c7e80498f106","scd","Starter Commander Decks"
"206","","en","Return to Nature","","1","6f68ce77-b581-465c-9532-69df6de7827b","scd","Starter Commander Decks"
"137","","en","Dragonspeaker Shaman","","1","938de396-9701-4737-b913-c3c010f1b142","scd","Starter Commander Decks"
"133","","en","Dragon Tempest","","1","13ad7bb2-e58b-4cd1-9b32-38c7f8589214","scd","Starter Commander Decks"
"132","","en","Dragon Mage","","1","2847214c-f435-42db-80db-f3ca8bfb8567","scd","Starter Commander Decks"
"264","","en","Dragon's Hoard","","1","398748c4-0ca4-4a7e-a7c7-995d5c3fa646","scd","Starter Commander Decks"
"139","","en","Dream Pillager","","1","5284c6db-82f4-4285-ade3-9b136abcedd2","scd","Starter Commander Decks"
"179","","en","Drumhunter","","1","658c6338-2bd4-450a-a2f3-9c57aaaa7739","scd","Starter Commander Decks"
"138","","en","Drakuseth, Maw of Flames","","1","c8b43b68-ee35-4704-9a0f-1df4a42d3791","scd","Starter Commander Decks"
"180","","en","Elemental Bond","","1","b2c1a36e-a17b-4168-9048-4cc02dd464c5","scd","Starter Commander Decks"
"183","","en","Foe-Razer Regent","","1","fde4a5a2-adcc-4011-b866-3bb2161ce966","scd","Starter Commander Decks"
"142","","en","Flameblast Dragon","","1","90390efc-beca-440e-abee-65c1a29223cb","scd","Starter Commander Decks"
"143","","en","Furnace Whelp","","1","396db1ad-e463-49b7-a4da-24302f771441","scd","Starter Commander Decks"
"302","","en","Game Trail","","1","2e53f295-60f6-4c6b-a0a4-304556b4eea0","scd","Starter Commander Decks"
"184","","en","Frontier Siege","","1","25b37249-bf5c-48ad-a5ea-c7538cc46929","scd","Starter Commander Decks"
"187","","en","Harmonize","","1","ada28221-e5be-4d87-9dc7-649e01ca1e24","scd","Starter Commander Decks"
"230","","en","Harbinger of the Hunt","","1","52b7ea31-e853-4e8f-82f8-440388a5b110","scd","Starter Commander Decks"
"147","","en","Hoard-Smelter Dragon","","1","b4487bbe-2bc4-48d9-8a6f-9b0c7555fb47","scd","Starter Commander Decks"
"304","","en","Haven of the Spirit Dragon","","1","f4454c38-a490-4ea7-8525-c695e37b9fc9","scd","Starter Commander Decks"
"191","","en","Hunter's Insight","","1","b2fb825e-0c93-4555-9f6e-9b9d21566c2a","scd","Starter Commander Decks"
"192","","en","Hunter's Prowess","","1","40220c41-f70e-49e8-8885-3525d01e0ff1","scd","Starter Commander Decks"
"307","","en","Kazandu Refuge","","1","304b4d37-53e1-44a3-a892-627439edaf6f","scd","Starter Commander Decks"
"197","","en","Loaming Shaman","","1","595ed9e9-65b3-4dc1-be6b-6bcd4f7ab8a0","scd","Starter Commander Decks"
"149","","en","Magmaquake","","1","dd99b254-3830-4543-a8c7-42899dc6fc65","scd","Starter Commander Decks"
"152","","en","Mordant Dragon","","1","a83a2fe7-36df-4a38-8dd3-605eeb5f58f1","scd","Starter Commander Decks"
"204","","en","Primal Might","","1","2c9ed4cd-260e-4109-a962-44c58ab1b76d","scd","Starter Commander Decks"
"167","","en","Vandalblast","","1","71eb87ef-7e79-4370-a367-f8960cfe188e","scd","Starter Commander Decks"
"153","","en","Provoke the Trolls","","1","964ae341-64eb-4ac1-9fb0-7243d5fe744d","scd","Starter Commander Decks"
"315","","en","Rugged Highlands","","1","a0300df7-54a9-4719-81bb-08e4d7762eac","scd","Starter Commander Decks"
"155","","en","Runehorn Hellkite","","1","932504ec-274e-49e6-ac51-a8ec362e83d5","scd","Starter Commander Decks"
"240","","en","Savage Ventmaw","","1","4e3bd256-09d8-4d13-90fb-dff4aed3f328","scd","Starter Commander Decks"
"156","","en","Sarkhan, the Dragonspeaker","","1","e653b95e-43c8-4cd6-a094-b2cd22d0eda2","scd","Starter Commander Decks"
"157","","en","Scourge of Valkas","","1","02ba0244-b7fa-4090-a1ac-1ba762dd8cc3","scd","Starter Commander Decks"
"318","","en","Shivan Oasis","","1","815fd52c-852a-4eac-8f7c-879f3af5548e","scd","Starter Commander Decks"
"158","","en","Spit Flame","","1","49fed954-0341-4a06-ae34-71e7d8c779ab","scd","Starter Commander Decks"
"278","","en","Steel Hellkite","","1","ef97714b-b0e0-43b4-b2f0-414cc7997ff3","scd","Starter Commander Decks"
"160","","en","Sweltering Suns","","1","7414b8da-abbe-4fba-afaf-2c9ff650a429","scd","Starter Commander Decks"
"279","","en","Swiftfoot Boots","","1","adc02df9-fbe8-4ef9-9bed-a48ea43a9242","scd","Starter Commander Decks"
"323","","en","Temple of Abandon","","1","49dceacc-a71a-4115-b0a9-7c7bd3c9f451","scd","Starter Commander Decks"
"163","","en","Thunderbreak Regent","","1","a985687c-7a3a-4de2-9af3-450cb665d523","scd","Starter Commander Decks"
"164","","en","Thundermaw Hellkite","","1","7a517c33-b516-4ad9-8cd8-d2ca27310252","scd","Starter Commander Decks"
"328","","en","Timber Gorge","","1","dd47ccf1-500c-4553-9f25-d8a192a65c4e","scd","Starter Commander Decks"
"165","","en","Tyrant's Familiar","","1","4f0c7f3b-337e-4b61-8ab9-5e67a0979a9a","scd","Starter Commander Decks"
"166","","en","Unleash Fury","","1","04b1739c-bc65-482c-81fd-fa08d6f29fcd","scd","Starter Commander Decks"
"168","","en","Verix Bladewing","","1","359be9e6-0770-43e3-853c-95e5317e9d30","scd","Starter Commander Decks"
"351","","en","Forest","","12","55b781ec-abed-41e1-85de-a60f6ac9e87e","scd","Starter Commander Decks"
"347","","en","Mountain","","18","63120f1b-8052-49fb-9fc9-09d7746a627f","scd","Starter Commander Decks"
