collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"648","foil","en","Firkraag, Cunning Instigator","","1","b55e624b-6f6a-42ae-89aa-0cc62ee55a31","clb","Commander Legends: Battle for Baldur's Gate"
"351","","en","Command Tower","","1","7eafe88e-ab38-442c-b147-bb01cc81178d","clb","Commander Legends: Battle for Baldur's Gate"
"298","","en","Arcane Signet","","1","5b245a5b-5a99-4d22-99ef-3f5bf49c3262","clb","Commander Legends: Battle for Baldur's Gate"
"344","","en","Wayfarer's Bauble","","1","b865d247-fe0a-4583-b088-ae900ffe521b","clb","Commander Legends: Battle for Baldur's Gate"
"303","","en","Burnished Hart","","1","98c3f711-7191-4621-b36e-6c1e281216e2","clb","Commander Legends: Battle for Baldur's Gate"
"325","","en","Mind Stone","","1","1969ddc0-ee6c-4c3d-a9dd-7f1c491609be","clb","Commander Legends: Battle for Baldur's Gate"
"89","","en","Psychic Impetus","","1","288e811e-7beb-4379-95a3-e5f4e759aa9d","clb","Commander Legends: Battle for Baldur's Gate"
"194","","en","Shiny Impetus","","1","57520d99-744f-41bb-9134-f28397a5cb2a","clb","Commander Legends: Battle for Baldur's Gate"
"679","","en","Spectacular Showdown","","1","d5b1cbee-528f-48f7-b7c9-16aa3dab850a","clb","Commander Legends: Battle for Baldur's Gate"
"664","","en","Astral Dragon","","1","670fbc63-4c9b-4e57-b53e-4ca4d7a224ba","clb","Commander Legends: Battle for Baldur's Gate"
"663","","en","Artificer Class","","1","cf4e9335-06e3-4b27-8fd8-3e44ece89a36","clb","Commander Legends: Battle for Baldur's Gate"
"677","","en","Loot Dispute","","1","0669a2bb-11c7-45d8-9299-09246ff4e72c","clb","Commander Legends: Battle for Baldur's Gate"
"675","","en","Death Kiss","","1","537b9888-70c5-4bee-8f26-d1457fdf1167","clb","Commander Legends: Battle for Baldur's Gate"
"674","","en","Bothersome Quasit","","1","6e9a0a23-cd62-4762-b751-ac0159a1b3c5","clb","Commander Legends: Battle for Baldur's Gate"
"667","","en","Mocking Doppelganger","","1","6c5f81d8-b189-4f6e-872f-a237bb872aa9","clb","Commander Legends: Battle for Baldur's Gate"
"715","","en","Compulsive Research","","1","27bc62c8-c795-4e4a-a57c-a5f34121b5d1","clb","Commander Legends: Battle for Baldur's Gate"
"783","","en","Chain Reaction","","1","92ca793e-a54a-4e8f-a87d-f0dc4f178412","clb","Commander Legends: Battle for Baldur's Gate"
"851","","en","Niv-Mizzet, Parun","","1","3035a97f-5104-4b56-84a4-5206e75607fc","clb","Commander Legends: Battle for Baldur's Gate"
"872","","en","Solemn Simulacrum","","1","5fec09ec-a300-4d3c-8054-0250bb70b93b","clb","Commander Legends: Battle for Baldur's Gate"
"923","","en","Temple of Epiphany","","1","6b3692d4-be30-4b23-b6e7-0c4af8c034a2","clb","Commander Legends: Battle for Baldur's Gate"
"907","","en","Path of Ancestry","","1","43710f35-c43f-48bf-82e1-64ba5c3fa03e","clb","Commander Legends: Battle for Baldur's Gate"
"784","","en","Chaos Dragon","","1","08219fbc-c155-4d1d-a08c-d2546c44bccc","clb","Commander Legends: Battle for Baldur's Gate"
"790","","en","Drakuseth, Maw of Flames","","1","1c8429f1-1a91-4f29-8d56-4c061f21c183","clb","Commander Legends: Battle for Baldur's Gate"
"725","","en","Keiga, the Tide Star","","1","44d544dc-1d2a-4b33-ae62-d0e0217db0a2","clb","Commander Legends: Battle for Baldur's Gate"
"806","","en","Ryusei, the Falling Star","","1","68d57ab8-fbe0-4f01-b7f7-2a5cccd2d13a","clb","Commander Legends: Battle for Baldur's Gate"
"852","","en","Sprite Dragon","","1","361385d8-d9c7-4de8-a5c8-683e682779f4","clb","Commander Legends: Battle for Baldur's Gate"
"810","","en","Thunder Dragon","","1","9ff75ff4-495f-4a0c-9d98-69eff1b3fa32","clb","Commander Legends: Battle for Baldur's Gate"
"809","","en","Territorial Hellkite","","1","21618490-f33b-4607-ac61-25df8cb096a1","clb","Commander Legends: Battle for Baldur's Gate"
"812","","en","Vengeful Ancestor","","1","a5dabc03-a706-4e84-83e4-dbd405dfb025","clb","Commander Legends: Battle for Baldur's Gate"
"814","","en","Warmonger Hellkite","","1","bbedbf64-cd51-4f40-9735-272bd86fdf84","clb","Commander Legends: Battle for Baldur's Gate"
"780","","en","Blasphemous Act","","1","ba975f60-ca29-4fc8-b2f0-416be395f200","clb","Commander Legends: Battle for Baldur's Gate"
"854","","en","Bloodthirsty Blade","","1","bfe00149-b9ca-43d9-aff1-5c2da4dc7753","clb","Commander Legends: Battle for Baldur's Gate"
"876","","en","Talisman of Creativity","","1","28b4fea5-aa7b-40e7-a3c4-cb467af16b42","clb","Commander Legends: Battle for Baldur's Gate"
"782","","en","Brash Taunter","","1","a1480f99-83f8-48e7-ba52-9a3f3a9a24f3","clb","Commander Legends: Battle for Baldur's Gate"
"785","","en","Chaos Warp","","1","8d8ee7b0-ea23-4657-a171-ac8a1308cc4d","clb","Commander Legends: Battle for Baldur's Gate"
