collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"48","foil","en","The Ur-Dragon","","1","7e78b70b-0c67-4f14-8ad7-c9f8e3f59743","c17","Commander 2017"
"161","","en","Atarka, World Render","","1","e748dfb3-7250-450a-8895-741908b6016b","c17","Commander 2017"
"203","","en","Armillary Sphere","","1","57a446d0-7854-4663-b0b1-017207630455","c17","Commander 2017"
"234","","en","Arcane Sanctum","","1","f9d52791-886f-4288-82f9-ba8ff62e323c","c17","Commander 2017"
"163","","en","Bladewing the Risen","","1","2b7c8404-cff9-4973-9716-60249dde389c","c17","Commander 2017"
"15","","en","Boneyard Scourge","","1","55a3a094-48c5-4da5-8626-e30a0e8d8f3a","c17","Commander 2017"
"165","","en","Broodmate Dragon","","1","ea62ec34-be95-4682-a3fd-9a92a89103b5","c17","Commander 2017"
"206","","en","Commander's Sphere","","1","5ba31eef-5134-4b7c-bf6c-b325aad7766a","c17","Commander 2017"
"242","","en","Command Tower","","1","d2b1183f-bfc6-425f-9089-8657f7c8822b","c17","Commander 2017"
"244","","en","Crumbling Necropolis","","1","720652e9-834c-4ac0-8008-b2b16c3b7507","c17","Commander 2017"
"107","","en","Crux of Fate","","1","11721b88-2654-482c-b9d4-80e54efdbf63","c17","Commander 2017"
"168","","en","Crosis, the Purger","","1","be667162-cd28-403c-b65f-dadc5459e757","c17","Commander 2017"
"243","","en","Crucible of the Spirit Dragon","","1","beba6748-1b2c-47db-8e67-b46ba2014295","c17","Commander 2017"
"9","","en","Curse of Verbosity","","1","7999e631-efd0-4901-a43d-9a10d2379684","c17","Commander 2017"
"133","","en","Crucible of Fire","","1","ebf4ddbc-71c9-4dd3-8a29-0bf87f1e61b0","c17","Commander 2017"
"30","","en","Curse of Bounty","","1","2f497641-b73a-4399-bc89-5274c42e17cc","c17","Commander 2017"
"147","","en","Cultivate","","1","4791c571-289e-4c7a-b642-04f12a1c2200","c17","Commander 2017"
"24","","en","Curse of Opulence","","1","e23db9d3-d11f-4b2c-8349-687bc0e9d4c2","c17","Commander 2017"
"207","","en","Darksteel Ingot","","1","8dba9786-a504-49d0-9558-b70bf05bb694","c17","Commander 2017"
"135","","en","Dragonlord's Servant","","1","39e9bfcb-af85-4c4c-95e3-e6460d69719e","c17","Commander 2017"
"136","","en","Dragonspeaker Shaman","","1","bfdedba0-fa73-4087-9daa-2640da27154a","c17","Commander 2017"
"209","","en","Dreamstone Hedron","","1","86182a67-9ff0-4ad1-98c2-443dd6b23b56","c17","Commander 2017"
"110","","en","Deathbringer Regent","","1","63616933-bd19-4f74-abe0-52665a333dc4","c17","Commander 2017"
"134","","en","Dragon Tempest","","1","ac9a03b8-7ba2-476b-864f-c248df900379","c17","Commander 2017"
"148","","en","Elemental Bond","","1","7170ad9e-f43d-46e2-a9dd-97be31099c02","c17","Commander 2017"
