collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Sefris of the Hidden Ways","","1","d30255f6-e058-476a-b377-2ee4c9178ed1","afc","Forgotten Realms Commander"
"273","","en","Swamp","","7","166fc328-20d1-4158-bcb6-3cebcf788ef5","afr","Adventures in the Forgotten Realms"
"265","","en","Plains","","7","86626d69-78e0-42b9-81ed-fef46e3a89f7","afr","Adventures in the Forgotten Realms"
"266","","en","Island","","5","9e70c602-cb80-472b-9c8d-9625de084fe7","afr","Adventures in the Forgotten Realms"
"256","","en","Evolving Wilds","","1","71afb548-691d-4c72-b369-85f9b451c71d","afr","Adventures in the Forgotten Realms"
"242","","en","Dungeon Map","","1","028506ad-ad36-44e5-b488-d038e2d2445f","afr","Adventures in the Forgotten Realms"
"224","","en","Hama Pashar, Ruin Seeker","","1","47b8eb2e-73ac-4ad6-9ab6-4f8da7b41020","afr","Adventures in the Forgotten Realms"
"24","","en","Minimus Containment","","1","0556f0d9-50d2-4c67-8522-de366d96500a","afr","Adventures in the Forgotten Realms"
"57","","en","Bucknard's Everfull Purse","","1","57073533-dcd8-4a86-9aa8-d7205d3799e1","afc","Forgotten Realms Commander"
"58","","en","Clay Golem","","1","3a949c88-07bb-4526-9460-9324574cc466","afc","Forgotten Realms Commander"
"12","","en","Thorough Investigation","","1","a40e6034-aa05-4542-ac12-78e6a76d86e9","afc","Forgotten Realms Commander"
"16","","en","Minn, Wily Illusionist","","1","4eec1d87-1007-44a1-a45d-0623816de681","afc","Forgotten Realms Commander"
"52","","en","Midnight Pathlighter","","1","8eb6f699-1b5d-412b-a697-ee94b7be07a6","afc","Forgotten Realms Commander"
"9","","en","Radiant Solar","","1","fa0e443a-c479-40ab-9702-8beca3e5ab95","afc","Forgotten Realms Commander"
"19","","en","Rod of Absorption","","1","59e9e244-bb8e-4346-b06b-4af987473442","afc","Forgotten Realms Commander"
"10","","en","Revivify","","1","6d21fb27-e821-4ce1-8f34-fc5d6c69d779","afc","Forgotten Realms Commander"
"7","","en","Immovable Rod","","1","214c87be-7ce3-48a0-b2eb-26eff75636c9","afc","Forgotten Realms Commander"
"18","","en","Phantom Steed","","1","64513f0a-067d-4b70-bb23-9ebe606bda1a","afc","Forgotten Realms Commander"
"59","","en","Component Pouch","","1","8aa4eacb-48d8-49a1-90dd-042f3f1f75bb","afc","Forgotten Realms Commander"
"46","","en","Extract Brain","","1","344e9383-5481-4abe-a59d-3a0145b7cca2","afc","Forgotten Realms Commander"
"24","","en","Grave Endeavor","","1","1ef4b0fb-d4a5-43ce-a079-10d346e194d5","afc","Forgotten Realms Commander"
"28","","en","Wand of Orcus","","1","510af4b7-289a-4de7-9a22-00fe1e8aaabf","afc","Forgotten Realms Commander"
"14","","en","Arcane Endeavor","","1","7886d4e9-003c-4978-a48d-4743fbc38985","afc","Forgotten Realms Commander"
"215","","en","Sol Ring","","1","2c52c96d-e20f-4025-b759-674b36cf0db3","afc","Forgotten Realms Commander"
"223","","en","Arcane Sanctum","","1","48d87619-6a6d-42ba-8a69-910d3cc7aede","afc","Forgotten Realms Commander"
"175","","en","Ashen Rider","","1","dae91853-6487-46db-8f09-8aa4c2e19e5f","afc","Forgotten Realms Commander"
"224","","en","Azorius Chancery","","1","cdcce65a-5645-4444-9f49-0270fab0e440","afc","Forgotten Realms Commander"
"177","","en","Baleful Strix","","1","3e417331-84ec-4513-8022-e93ffc260a38","afc","Forgotten Realms Commander"
