collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"143","foil","en","Ulalek, Fused Atrocity","","1","66c46ae5-d83e-41b5-81ab-a3c9c482a44e","m3c","Modern Horizons 3 Commander"
"499","foil","en","Island","","1","5754638d-14ce-452d-bb45-d1d8f1151a96","mh3","Modern Horizons 3"
"503","foil","en","Mountain","","1","8be9bbc9-77f2-4a61-b19f-30f2e61b8e88","mh3","Modern Horizons 3"
"497","foil","en","Plains","","1","96c9319a-a257-472a-9ab3-676d41adf877","mh3","Modern Horizons 3"
"505","foil","en","Forest","","1","1b20aa40-2b88-4cac-ad15-f730fde60643","mh3","Modern Horizons 3"
"501","foil","en","Swamp","","1","9a63c166-93c2-4c56-a202-1f9dc40fd557","mh3","Modern Horizons 3"
"283","foil","en","Arcane Signet","","1","156a1ca1-e4b1-4e0c-a786-fd80fe189896","m3c","Modern Horizons 3 Commander"
"331","foil","en","Command Tower","","1","27e36832-09ca-4070-8511-94580014c3ed","m3c","Modern Horizons 3 Commander"
"242","foil","en","Return of the Wildspeaker","","1","3fd677c8-5989-4b33-9746-539a5dcb6f3a","m3c","Modern Horizons 3 Commander"
"152","foil","en","All Is Dust","","1","600518f5-4598-436d-9513-3d32adfc93f9","m3c","Modern Horizons 3 Commander"
"219","foil","en","Ancient Stirrings","","1","c381f0dd-b009-4405-93f4-75a90bacbfcd","m3c","Modern Horizons 3 Commander"
"153","foil","en","Artisan of Kozilek","","1","c632f5a4-7f5f-4d77-9364-58ea03dfdcad","m3c","Modern Horizons 3 Commander"
"318","foil","en","Ash Barrens","","1","8720542c-965e-4a98-9de8-7e97ac20966f","m3c","Modern Horizons 3 Commander"
"168","foil","en","Crib Swap","","1","31704e73-5168-4880-be9b-ae32b2197d35","m3c","Modern Horizons 3 Commander"
"290","foil","en","Eldrazi Monument","","1","f8ecdf65-c6e6-4dac-899b-55cd80242629","m3c","Modern Horizons 3 Commander"
"296","foil","en","Herald's Horn","","1","2cfafee3-c060-44bd-be6e-8d36501d72d3","m3c","Modern Horizons 3 Commander"
"368","foil","en","Reliquary Tower","","1","43631610-5fad-4b73-a57c-26bf38eff309","m3c","Modern Horizons 3 Commander"
"305","foil","en","Sol Ring","","1","19911e6e-7c35-4281-b31c-266382f052cc","m3c","Modern Horizons 3 Commander"
"384","foil","en","Tectonic Edge","","1","02174040-f292-468b-9aa6-4bd468b38cf9","m3c","Modern Horizons 3 Commander"
"399","foil","en","Unclaimed Territory","","1","951762f1-716c-451c-af0d-c1f6de231a72","m3c","Modern Horizons 3 Commander"
"229","foil","en","Garruk's Uprising","","1","b65810e6-e163-46a9-b2c0-941c53e5255a","m3c","Modern Horizons 3 Commander"
"388","foil","en","Temple of Malady","","1","7e299990-4128-4a9c-9f8c-08838f248094","m3c","Modern Horizons 3 Commander"
"391","foil","en","Temple of Silence","","1","627eb62a-399d-4f2b-9ea1-73ce0396ba1c","m3c","Modern Horizons 3 Commander"
"302","foil","en","Mystic Forge","","1","375e6985-e212-4bd0-b06c-0ca7dc1f68e6","m3c","Modern Horizons 3 Commander"
"291","foil","en","Everflowing Chalice","","1","5261ff88-270b-4ab4-b5c0-e028f2a55ece","m3c","Modern Horizons 3 Commander"
"341","foil","en","Exotic Orchard","","1","89f51c70-fcc8-4d97-94bb-5a75740523ad","m3c","Modern Horizons 3 Commander"
