collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"704","foil","en","Zhulodok, Void Gorger","","1","a015461d-4214-4feb-8b04-519c537759eb","cmm","Commander Masters"
"410","","en","Sol Ring","","1","46ca0b66-a000-4483-b916-f5b89e710244","cmm","Commander Masters"
"2","","en","Kozilek, the Great Distortion","","1","c41554e7-2a07-4cc7-b01b-44deed08e588","cmm","Commander Masters"
"415","","en","Thran Dynamo","","1","7ce5f12e-fc02-42f8-a5ca-b523050d4650","cmm","Commander Masters"
"426","","en","Rogue's Passage","","1","481c877e-0188-427f-8de2-25ad82d7cadb","cmm","Commander Masters"
"425","","en","Reliquary Tower","","1","ec1d8a99-8a06-4e51-9277-96edb6899b29","cmm","Commander Masters"
"995","","en","Forge of Heroes","","1","5f11f053-5150-4a76-b2ca-9df3a0629911","cmm","Commander Masters"
"716","","en","Rise of the Eldrazi","","1","4a4d851b-1fa9-4f5d-a8f6-6967b1ee5b50","cmm","Commander Masters"
"718","","en","Ugin's Mastery","","1","42991890-731c-4e6a-b0c5-57d6217029ab","cmm","Commander Masters"
"717","","en","Skittering Cicada","","1","d3a83be9-856d-4c30-95f5-da72a5ac8263","cmm","Commander Masters"
"714","","en","Desecrate Reality","","1","396db2cb-8fa0-436a-993d-de8bb13b848f","cmm","Commander Masters"
"715","","en","Flayer of Loyalties","","1","33f3ee0c-1e73-42b6-841d-0a878a80002a","cmm","Commander Masters"
"743","","en","Darksteel Monolith","","1","f5b7d3df-4e9b-422b-a88c-43650a67a9c6","cmm","Commander Masters"
"713","","en","Calamity of the Titans","","1","839a3a89-a87e-4108-87c5-74f656a6249f","cmm","Commander Masters"
"712","","en","Abstruse Archaic","","1","1fc2871b-c685-4951-b8e2-7370b9668f7e","cmm","Commander Masters"
"800","","en","All Is Dust","","1","4210c54e-89fd-4971-ab6a-ca8f4e7fe97a","cmm","Commander Masters"
"1034","","en","Shrine of the Forsaken Gods","","1","0467d06a-2218-4824-a89e-7fb4cc9e04eb","cmm","Commander Masters"
"985","","en","Arcane Lighthouse","","1","7c247fd6-09f3-40cd-b3fb-53b6526e1dcf","cmm","Commander Masters"
