collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Galadriel, Elven-Queen","","1","8fa46d54-563d-4b5c-9c69-5ab37dd529b3","ltc","Tales of Middle-earth Commander"
"66","","en","Radagast, Wizard of Wilds","","1","9573ee62-4fdf-4fca-90e2-10a7d8161764","ltc","Tales of Middle-earth Commander"
"284","","en","Sol Ring","","1","5805f64c-dd88-4e94-8f0a-a01dae67e3ba","ltc","Tales of Middle-earth Commander"
"190","","en","Wose Pathfinder","","1","6589b339-9067-4e9b-bfdb-c49f8b3ef2d4","ltr","The Lord of the Rings: Tales of Middle-earth"
"308","","en","Field of Ruin","","1","8d9d6a9d-18a3-4cc8-8276-29fb826ed1fa","ltc","Tales of Middle-earth Commander"
"244","","en","Mirror of Galadriel","","1","bc95036f-98f2-4ea7-93bb-542ad7064540","ltr","The Lord of the Rings: Tales of Middle-earth"
"156","","en","Celeborn the Wise","","1","2daf449a-5f3e-44fd-968e-55d8517ae797","ltr","The Lord of the Rings: Tales of Middle-earth"
"161","","en","Elven Farsight","","1","73d135b2-d2b8-499c-84d9-824370c19ccc","ltr","The Lord of the Rings: Tales of Middle-earth"
"60","","en","Lórien Revealed","","1","0ce44270-a684-4489-9077-521456e6dfaa","ltr","The Lord of the Rings: Tales of Middle-earth"
"23","","en","Raise the Palisade","","1","7966eb7a-0ef7-470f-9769-0d5f45f0395b","ltc","Tales of Middle-earth Commander"
"35","","en","Arwen, Weaver of Hope","","1","4d4f4d41-232d-4377-be69-de590b880edb","ltc","Tales of Middle-earth Commander"
"38","","en","Galadhrim Ambush","","1","e69e06f0-6142-4f80-9208-362b3e74d51d","ltc","Tales of Middle-earth Commander"
"25","","en","Trap the Trespassers","","1","a077a046-300b-41d2-b891-c57ebe983ba2","ltc","Tales of Middle-earth Commander"
"45","","en","Windswift Slice","","1","f8097193-1d32-4235-afd4-f6839602e4fb","ltc","Tales of Middle-earth Commander"
"50","","en","Círdan the Shipwright","","1","c4f23d68-d0de-4b57-b0f9-9c0ca770c3c1","ltc","Tales of Middle-earth Commander"
"41","","en","Mirkwood Elk","","1","1cf84c03-a131-451b-99ee-64330c1f2e26","ltc","Tales of Middle-earth Commander"
"40","","en","Legolas Greenleaf","","1","130237e7-6f45-4b92-b49d-12f10db29bb8","ltc","Tales of Middle-earth Commander"
"44","","en","Travel Through Caradhras","","1","955058b2-9758-4797-8ffc-c5fbee619309","ltc","Tales of Middle-earth Commander"
"39","","en","Haldir, Lórien Lieutenant","","1","440e5796-9264-4649-bf2f-58826dd0352c","ltc","Tales of Middle-earth Commander"
"51","","en","Elrond of the White Council","","1","4cdfb792-fe55-4aa0-88df-4296db794bc5","ltc","Tales of Middle-earth Commander"
"53","","en","Erestor of the Council","","1","de17d520-cb32-4fb1-830b-8494ea118e9b","ltc","Tales of Middle-earth Commander"
"62","","en","Mirkwood Trapper","","1","ca079e59-4433-49c7-9001-abac20b776e4","ltc","Tales of Middle-earth Commander"
"68","","en","Sail into the West","","1","b293d4cb-0920-46ef-bf4e-fc6a796df290","ltc","Tales of Middle-earth Commander"
"69","","en","Song of Eärendil","","1","325bb6b7-6d19-48b5-82dd-2759d4fc3144","ltc","Tales of Middle-earth Commander"
"77","","en","Lothlórien Blade","","1","3f7f1d3b-d6bb-4ddb-81d8-12f7aaaec49e","ltc","Tales of Middle-earth Commander"
"78","","en","Model of Unity","","1","0d804d47-1f7b-47bd-9eac-aa539eda9af7","ltc","Tales of Middle-earth Commander"
"233","","en","Asceticism","","1","bde335c5-0e87-43c9-bef6-423e4d1caf35","ltc","Tales of Middle-earth Commander"
"189","","en","Devastation Tide","","1","c95bc785-6d4a-4157-9a29-270f88db0028","ltc","Tales of Middle-earth Commander"
"192","","en","Learn from the Past","","1","b2462239-1060-46b1-ad20-caf979d73030","ltc","Tales of Middle-earth Commander"
"193","","en","Mystic Confluence","","1","9ba59aaf-d2f8-4f26-a58b-5245d686714d","ltc","Tales of Middle-earth Commander"
"194","","en","Opt","","1","50ee44a3-09b5-491a-ba51-609756020a31","ltc","Tales of Middle-earth Commander"
"195","","en","Plea for Power","","1","7be27ad5-8a7c-42fc-b62b-2586f39255f5","ltc","Tales of Middle-earth Commander"
"196","","en","Preordain","","1","6e681c39-aa00-4c6d-b077-affe3b90bed8","ltc","Tales of Middle-earth Commander"
"197","","en","Swan Song","","1","67c5aa41-9c40-4bd3-8e74-29f216b9bc77","ltc","Tales of Middle-earth Commander"
"237","","en","Elvish Archdruid","","1","34866dd8-661f-40c1-8eb1-b9445ec626ec","ltc","Tales of Middle-earth Commander"
"234","","en","Beast Within","","1","2baf505b-ea99-470b-ac87-fd4fb8f5f322","ltc","Tales of Middle-earth Commander"
"236","","en","Cultivate","","1","3217b813-7c21-473c-b65b-5766b0dc7803","ltc","Tales of Middle-earth Commander"
"232","","en","Arbor Elf","","1","8c61d23e-2be3-4b99-a24c-2a55e29d99d3","ltc","Tales of Middle-earth Commander"
"238","","en","Elvish Mystic","","1","880468be-3f4d-4dbf-92e7-cf212da7f718","ltc","Tales of Middle-earth Commander"
"239","","en","Elvish Piper","","1","94cb4d52-0042-494d-8025-59c1eb0f90e0","ltc","Tales of Middle-earth Commander"
"240","","en","Elvish Visionary","","1","b83c5d22-914b-430a-948f-f076b14c5cff","ltc","Tales of Middle-earth Commander"
"249","","en","Heroic Intervention","","1","4377b09d-08e8-4150-bb84-4a9c00c7af82","ltc","Tales of Middle-earth Commander"
"257","","en","Rampant Growth","","1","ddf4a6bc-8582-4e01-8d50-d3b4eb0c7cf2","ltc","Tales of Middle-earth Commander"
"267","","en","Growth Spiral","","1","f7b59b66-677d-4fd8-b7d7-5135d6622eb9","ltc","Tales of Middle-earth Commander"
