collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Lathril, Blade of the Elves","","1","547888c3-a9a6-4413-b29a-6bcd8a9279bf","khc","Kaldheim Commander"
"378","","en","Canopy Tactician","","1","3eaf48c9-09bc-4d81-a3a5-432219a71754","khm","Kaldheim"
"391","","en","Elven Ambush","","1","70479c44-da7c-48c7-8c6a-47210dc03277","khm","Kaldheim"
"385","","en","Elderfang Ritualist","","1","57348f93-8764-4b1a-b02e-4e7881337fa2","khm","Kaldheim"
"206","","en","Binding the Old Gods","","1","d93ee644-d7d7-48d8-a04b-fb479b74edb0","khm","Kaldheim"
"110","","en","Skemfar Shadowsage","","1","c204130f-0483-49ed-8512-03a74894702e","khm","Kaldheim"
"113","","en","Tergrid's Shadow","","1","417f71d2-d7da-4279-8847-d27c67e9ea9d","khm","Kaldheim"
"212","","en","Harald, King of Skemfar","","1","9eac78a2-599f-4dba-aec7-982c5ae3f75a","khm","Kaldheim"
"190","","en","Roots of Wisdom","","1","734afb5b-3163-47fa-856f-8a85b9da22d3","khm","Kaldheim"
"178","","en","Jaspera Sentinel","","1","1a68615d-9808-479d-aa80-50651246954e","khm","Kaldheim"
"268","","en","Skemfar Elderhall","","1","82c2a0f7-0f53-4627-8be8-227fde331a69","khm","Kaldheim"
"103","","en","Poison the Cup","","1","7fb94456-5266-47db-b514-a0e17e34b771","khm","Kaldheim"
"106","","en","Return Upon the Tide","","1","470601b0-9598-487f-bb14-4bfec7ca6d61","khm","Kaldheim"
"14","","en","Wolverine Riders","","1","70fd0439-294b-454c-b2af-e814b85f4590","khc","Kaldheim Commander"
"9","","en","Pact of the Serpent","","1","c5b3d118-ba4b-4a93-92a2-cd763de49d29","khc","Kaldheim Commander"
"10","","en","Ruthless Winnower","","1","886ef13a-4f9d-425b-a071-6366cdb637c8","khc","Kaldheim Commander"
"15","","en","Elderfang Venom","","1","7d5bbb02-a04e-4add-ae9a-67819cffdb3a","khc","Kaldheim Commander"
"11","","en","Serpent's Soul-Jar","","1","08ae371f-ce62-475f-89a2-1f8a17cf950f","khc","Kaldheim Commander"
"12","","en","Bounty of Skemfar","","1","3185a67e-648c-48a8-9aad-180e1ca0f4ae","khc","Kaldheim Commander"
"13","","en","Crown of Skemfar","","1","e6297586-8953-408e-a38c-2239d45807e1","khc","Kaldheim Commander"
