collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"A104","","en","Rubinia Soulsinger","","1","65a6b9a5-11d6-4f6d-a646-b1ef9c9b68aa","td0","Magic Online Theme Decks"
"A94","","en","Armadillo Cloak","","1","e579ab2b-1e35-49d4-b373-84c10ef543d3","td0","Magic Online Theme Decks"
"A1","","en","Auramancer","","1","469a4285-610e-4366-afe7-38b628b3b88c","td0","Magic Online Theme Decks"
"A95","","en","Azorius Guildmage","","1","dc58f213-bef0-4fbe-a8d2-b2151bef7593","td0","Magic Online Theme Decks"
"A122","","en","Bant Panorama","","1","47af250f-7aa1-4edb-8a89-37b7a5673048","td0","Magic Online Theme Decks"
"A121","","en","Azorius Chancery","","1","7fac595f-4746-4e83-a0af-19f7b70690dd","td0","Magic Online Theme Decks"
"A111","","en","Azorius Signet","","1","c7acfe5b-05ac-4030-b1da-789224fbddcf","td0","Magic Online Theme Decks"
"A62","","en","Borderland Ranger","","1","2f6e74f0-6323-4791-aee1-cd4dd40b9d10","td0","Magic Online Theme Decks"
"A18","","en","Capsize","","1","bdfbb9b9-89ad-4e5b-b5b3-9a08be4f2083","td0","Magic Online Theme Decks"
"A124","","en","Coastal Tower","","1","44cdd3e3-42b6-4660-8513-388b91c5f604","td0","Magic Online Theme Decks"
"A97","","en","Coiling Oracle","","1","79bd0afb-ca32-4a92-9304-9d71f7fb2b83","td0","Magic Online Theme Decks"
"A19","","en","Compulsive Research","","1","e8dfde93-41c6-40b0-aafb-b810e59d1463","td0","Magic Online Theme Decks"
"A2","","en","Condemn","","1","ee59da9e-ee82-4632-8022-79e2fa047851","td0","Magic Online Theme Decks"
"A65","","en","Concordant Crossroads","","1","4448d38f-d482-4cea-8f0f-1b482fc1794f","td0","Magic Online Theme Decks"
"A22","","en","Court Hussar","","1","951a452e-0367-4ba4-bc65-274a6d56f643","td0","Magic Online Theme Decks"
"A126","","en","Elfhame Palace","","1","5d6c87ab-5a8d-4a29-8056-2184c81ea69f","td0","Magic Online Theme Decks"
"A6","","en","Enlightened Tutor","","1","4eef65c6-ce33-48ce-a8c9-aace8b4ca32b","td0","Magic Online Theme Decks"
"A3","","en","Decree of Justice","","1","d9bad627-3e77-4e97-92e4-3c9aeac7cae4","td0","Magic Online Theme Decks"
"A4","","en","Dismantling Blow","","1","77594062-782d-4c65-b23c-954308e4b082","td0","Magic Online Theme Decks"
"A20","","en","Confiscate","","1","0692cdc9-de62-40a6-9134-f84d74c51f04","td0","Magic Online Theme Decks"
"A21","","en","Copy Enchantment","","1","72a5396a-6a87-43b8-a74b-f66fcb566c19","td0","Magic Online Theme Decks"
"A69","","en","Elvish Visionary","","1","8b58109b-800b-4e73-8a70-b7f6ba60800e","td0","Magic Online Theme Decks"
"A5","","en","Empyrial Armor","","1","e7c1f177-9a09-49b3-86eb-0490b850b683","td0","Magic Online Theme Decks"
"A7","","en","Faith's Fetters","","1","cb0bc1dd-0336-4d6f-be5b-9ff1cecc9ff6","td0","Magic Online Theme Decks"
"A23","","en","Fact or Fiction","","1","936b49ae-bb0d-4bed-8029-f32477e6f95e","td0","Magic Online Theme Decks"
"A72","","en","Fertile Ground","","1","bd7466da-dcee-4972-8432-cb66abfc8f8f","td0","Magic Online Theme Decks"
"A24","","en","Hinder","","1","b76adf05-82cf-45e4-8e85-a6ad87ab5d22","td0","Magic Online Theme Decks"
"A114","","en","Illusionary Mask","","1","7244e5ed-e0a9-4624-a09e-f34a7b37f839","td0","Magic Online Theme Decks"
"A8","","en","Ghostly Prison","","1","405ac0c1-dfc6-4b2a-99af-1f5e78c93a25","td0","Magic Online Theme Decks"
"A78","","en","Krosan Tusker","","1","9809c0d6-1e2f-4909-9740-88e8e59a8799","td0","Magic Online Theme Decks"
"A99","","en","Jungle Barrier","","1","a795491d-363c-4e5b-8ce9-5d9cc745dd76","td0","Magic Online Theme Decks"
"A9","","en","Kami of Ancient Law","","1","bd158029-11ac-41d2-aa93-99af286c790d","td0","Magic Online Theme Decks"
"A76","","en","Jungle Lion","","1","c3f391dc-e995-428b-9143-4e51cb6555c4","td0","Magic Online Theme Decks"
"A25","","en","Looter il-Kor","","1","b0da31dc-e594-4dc8-ab27-7fdb53168f3f","td0","Magic Online Theme Decks"
