collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"6","","en","Valgavoth, Harrower of Souls","","1","8d7c1f6c-af45-4449-8cf8-e13830b3df8a","dsc","Duskmourn: House of Horror Commander"
"135","","en","Fear of Burning Alive","","1","b282f8e3-8b79-47e9-8c18-62284211442b","dsk","Duskmourn: House of Horror"
"138","","en","Grab the Prize","","1","50895202-f1a1-4840-a11a-55b78b8b5929","dsk","Duskmourn: House of Horror"
"269","","en","Terramorphic Expanse","","1","b379c8f1-817c-4f18-8f58-45c40504433e","dsk","Duskmourn: House of Horror"
"92","","en","Arcane Signet","","1","211a1d86-7257-4621-ae05-c2b235c063f0","dsc","Duskmourn: House of Horror Commander"
"96","","en","Command Tower","","1","129d1bbd-83ad-4953-bf6d-b55989b2529c","dsc","Duskmourn: House of Horror Commander"
"94","","en","Sol Ring","","1","82f1a8a3-7fdb-49a3-9649-b5c0b4755cd5","dsc","Duskmourn: House of Horror Commander"
"260","","en","Ash Barrens","","1","a881be73-7b22-418f-bf20-a07400b3b836","dsc","Duskmourn: House of Horror Commander"
"248","","en","Mind Stone","","1","f1f616f2-d69d-4763-8ff0-3eb05a543926","dsc","Duskmourn: House of Horror Commander"
"84","","en","Bedevil","","1","7dea7997-546d-474a-b362-31714abe2bb5","dsc","Duskmourn: House of Horror Commander"
"3","","en","The Lord of Pain","","1","494c244e-dcdc-4169-9743-8a61f58e8763","dsc","Duskmourn: House of Horror Commander"
"27","","en","Gleeful Arsonist","","1","bbb2956c-ef76-4e80-81d4-7f1ce6841d37","dsc","Duskmourn: House of Horror Commander"
"22","","en","Persistent Constrictor","","1","0a25d478-84fd-4e4b-abb7-f5f6becf6eb0","dsc","Duskmourn: House of Horror Commander"
"25","","en","Suspended Sentence","","1","38c98aa0-bfa1-42f4-b035-a48dac86f0ce","dsc","Duskmourn: House of Horror Commander"
"24","","en","Sadistic Shell Game","","1","4c5c8eb3-c866-4974-90eb-be99c07af1a1","dsc","Duskmourn: House of Horror Commander"
"89","","en","Mogis, God of Slaughter","","1","521911e5-9ce5-4d55-bfc4-fbfeba4047fe","dsc","Duskmourn: House of Horror Commander"
"28","","en","Spiked Corridor // Torture Pit","","1","b90164a1-8b0a-4445-a0ad-43e4c3324925","dsc","Duskmourn: House of Horror Commander"
"40","","en","Séance Board","","1","65a6c25f-860e-401f-ac01-d16e4327248d","dsc","Duskmourn: House of Horror Commander"
"274","","en","Evolving Wilds","","1","e524216c-ed35-49a3-868f-7ad0a0027a80","dsc","Duskmourn: House of Horror Commander"
"78","","en","Feed the Swarm","","1","a3bad7f1-0b02-4499-a2e2-4625d01e3710","dsc","Duskmourn: House of Horror Commander"
"26","","en","Barbflare Gremlin","","1","825f509c-272e-4c91-a139-da3c67bd6b33","dsc","Duskmourn: House of Horror Commander"
"29","","en","Star Athlete","","1","5c7c23a6-53ff-4588-838c-7936cb9eb86b","dsc","Duskmourn: House of Horror Commander"
"253","","en","Solemn Simulacrum","","1","916e0c89-5614-4022-b095-9c714c476d13","dsc","Duskmourn: House of Horror Commander"
"313","","en","Temple of the False God","","1","23d62c88-3a7a-4eef-8ec4-ff1243e6ce93","dsc","Duskmourn: House of Horror Commander"
"77","","en","Blood Seeker","","1","fe88cbee-5f6c-47e0-8a84-192c4c2ca984","dsc","Duskmourn: House of Horror Commander"
"76","","en","Blood Pact","","1","ee769671-655b-40d6-a6d8-bf8c901df17f","dsc","Duskmourn: House of Horror Commander"
"93","","en","Lightning Greaves","","1","732779aa-3000-4a7b-a155-dbddc7de8d03","dsc","Duskmourn: House of Horror Commander"
"143","","en","Infernal Grasp","","1","d9f2d249-24e5-48de-ad38-3fd3c7c051cc","dsc","Duskmourn: House of Horror Commander"
"230","","en","Rakdos, Lord of Riots","","1","3d0d5a41-8251-437c-a4a0-3b712281ebb0","dsc","Duskmourn: House of Horror Commander"
"132","","en","Blood Artist","","1","cf25a260-009c-44d5-86b5-b027329a6ff8","dsc","Duskmourn: House of Horror Commander"
"140","","en","Falkenrath Noble","","1","f38eac93-3a0e-40e0-84f8-3670fd84ca00","dsc","Duskmourn: House of Horror Commander"
"141","","en","Fate Unraveler","","1","30250c4d-2c16-4d03-874e-aec39d8e72a9","dsc","Duskmourn: House of Horror Commander"
"158","","en","Syr Konrad, the Grim","","1","443a4eac-f972-4027-aed4-552d4edc2ce1","dsc","Duskmourn: House of Horror Commander"
"142","","en","Gray Merchant of Asphodel","","1","00d001d0-fd29-4b7c-9d0e-9131b995f910","dsc","Duskmourn: House of Horror Commander"
"239","","en","Vial Smasher the Fierce","","1","cc7be939-2202-40fe-8899-a05682d76190","dsc","Duskmourn: House of Horror Commander"
"136","","en","Decree of Pain","","1","bd594aeb-f5cc-4435-8ea8-c35c5824b58c","dsc","Duskmourn: House of Horror Commander"
"275","","en","Exotic Orchard","","1","a0e58240-0a3e-4abf-b296-b97045de4677","dsc","Duskmourn: House of Horror Commander"
"225","","en","Mayhem Devil","","1","087ff277-902f-4285-93b6-dc18e6d4fe15","dsc","Duskmourn: House of Horror Commander"
"245","","en","Fellwar Stone","","1","8d73a3c2-ccff-49b6-8e94-7f7d6ad56898","dsc","Duskmourn: House of Horror Commander"
"250","","en","Rakdos Signet","","1","01cc9536-f710-4c47-9e3f-d7e83cc888f2","dsc","Duskmourn: House of Horror Commander"
"256","","en","Thought Vessel","","1","71b11bf4-35ab-4028-961f-5180a12dac82","dsc","Duskmourn: House of Horror Commander"
"241","","en","Basilisk Collar","","1","5092ae84-857d-4396-8ea7-190baae33c52","dsc","Duskmourn: House of Horror Commander"
"310","","en","Temple of Malice","","1","06c0383a-ad82-4a22-8f55-2613048e3275","dsc","Duskmourn: House of Horror Commander"
"131","","en","Bastion of Remembrance","","1","dd5745d4-db9b-4c87-900f-73a606a9c7d0","dsc","Duskmourn: House of Horror Commander"
"166","","en","Light Up the Stage","","1","912b94c9-7200-452d-940f-df0a7cceb377","dsc","Duskmourn: House of Horror Commander"
"296","","en","Shadowblood Ridge","","1","d7af1d6b-ff13-4886-a212-4a6e09153475","dsc","Duskmourn: House of Horror Commander"
"304","","en","Tainted Peak","","1","7e6f1a55-0fec-4b94-9640-9110ca8d0212","dsc","Duskmourn: House of Horror Commander"
"133","","en","Braids, Arisen Nightmare","","1","9f8937d6-a1a0-4930-968f-29fa611528e5","dsc","Duskmourn: House of Horror Commander"
"160","","en","Blasphemous Act","","1","1a70336f-cf41-4b9e-b69a-7ae71ef0bc04","dsc","Duskmourn: House of Horror Commander"
"264","","en","Bloodfell Caves","","1","47746248-1a8f-4123-a0d9-6cb61f4b394f","dsc","Duskmourn: House of Horror Commander"
"263","","en","Blackcleave Cliffs","","1","f75715ce-744f-409c-aeb1-e66eb9186a74","dsc","Duskmourn: House of Horror Commander"
"163","","en","Combustible Gearhulk","","1","c80e620e-bece-4c48-9dd6-7bcdacabf521","dsc","Duskmourn: House of Horror Commander"
"162","","en","Chaos Warp","","1","2501b5b8-32f1-4bac-b186-d9331702226c","dsc","Duskmourn: House of Horror Commander"
"266","","en","Canyon Slough","","1","dee171ce-be99-4a1c-8cd6-3fa66ba6cecc","dsc","Duskmourn: House of Horror Commander"
"161","","en","Brash Taunter","","1","275f8721-a6e5-489b-851f-1676aad5ec39","dsc","Duskmourn: House of Horror Commander"
"164","","en","Enchanter's Bane","","1","3f053af0-9a08-44e5-be57-6d0fabfde31a","dsc","Duskmourn: House of Horror Commander"
"271","","en","Dragonskull Summit","","1","3b96a40e-828a-4cec-99cd-130dbcbdc67c","dsc","Duskmourn: House of Horror Commander"
"278","","en","Geothermal Bog","","1","6da04570-5d3c-4e9f-a9c1-20589a4bcc24","dsc","Duskmourn: House of Horror Commander"
"217","","en","Florian, Voldaren Scion","","1","3377d600-e43f-4cce-ae3f-541e519ee4ad","dsc","Duskmourn: House of Horror Commander"
"277","","en","Foreboding Ruins","","1","e9236b80-fa80-4da3-a357-db7749011499","dsc","Duskmourn: House of Horror Commander"
"280","","en","Graven Cairns","","1","74a13fea-4f48-428b-b42b-4ba63d4752ed","dsc","Duskmourn: House of Horror Commander"
"165","","en","Harsh Mentor","","1","3d440fb1-3e19-4615-a988-558b9d3db179","dsc","Duskmourn: House of Horror Commander"
"286","","en","Leechridden Swamp","","1","a07a0e31-ace6-40ad-8700-2d58135b5320","dsc","Duskmourn: House of Horror Commander"
"144","","en","Kederekt Parasite","","1","bc5da9e8-c070-4cf4-a21b-24ff2178d751","dsc","Duskmourn: House of Horror Commander"
"222","","en","Kaervek the Merciless","","1","95c5bd95-b483-4dfb-9010-cfee47d22468","dsc","Duskmourn: House of Horror Commander"
"223","","en","Kardur, Doomscourge","","1","7c0f7712-7bbf-471b-8107-3a49cf922ad9","dsc","Duskmourn: House of Horror Commander"
"145","","en","Mask of Griselbrand","","1","a8c36e65-395c-4800-bd0a-c444940a9b36","dsc","Duskmourn: House of Horror Commander"
"146","","en","Massacre Girl","","1","59957c45-4672-4650-80b1-70e4a60b429e","dsc","Duskmourn: House of Horror Commander"
"168","","en","Tectonic Giant","","1","4134a2aa-623c-49fc-bd87-26b861860ad5","dsc","Duskmourn: House of Horror Commander"
"300","","en","Spinerock Knoll","","1","11e4ba4b-62d1-43ed-82e8-cd45d7a62c65","dsc","Duskmourn: House of Horror Commander"
"299","","en","Smoldering Marsh","","1","b73bf995-678e-484d-8df8-ae63873f3118","dsc","Duskmourn: House of Horror Commander"
"148","","en","Morbid Opportunist","","1","56f5fd4b-6d16-41e1-96ba-c8874d86072a","dsc","Duskmourn: House of Horror Commander"
"147","","en","Massacre Wurm","","1","721e2879-b9c6-4567-a105-00e1a52e1a0e","dsc","Duskmourn: House of Horror Commander"
"150","","en","Nightshade Harvester","","1","fac55604-3635-4af1-b9ca-10d1f89db504","dsc","Duskmourn: House of Horror Commander"
"167","","en","Rampaging Ferocidon","","1","53c38f4e-81ec-45b3-a6cf-06a65b674978","dsc","Duskmourn: House of Horror Commander"
"229","","en","Rakdos Charm","","1","a99cd459-5434-4e2b-93fb-5e1bc64db3df","dsc","Duskmourn: House of Horror Commander"
"156","","en","Sign in Blood","","1","b89d9372-8682-4a61-a003-8bccfbb6cbb4","dsc","Duskmourn: House of Horror Commander"
"297","","en","Shivan Gorge","","1","c1752b65-dace-4c87-b102-23df276b2e41","dsc","Duskmourn: House of Horror Commander"
"233","","en","Spiteful Visions","","1","3be610eb-790f-4f47-a92a-34fe704cc8e0","dsc","Duskmourn: House of Horror Commander"
"254","","en","Talisman of Indulgence","","1","daf69185-96cf-4523-be1d-1fe90fc63ab7","dsc","Duskmourn: House of Horror Commander"
"301","","en","Sulfurous Springs","","1","49496ac4-347e-4edc-8faa-c5417e7543fb","dsc","Duskmourn: House of Horror Commander"
"234","","en","Stormfist Crusader","","1","0b420ce8-3dd1-430b-a090-4b4e8dcb6aa9","dsc","Duskmourn: House of Horror Commander"
"236","","en","Theater of Horrors","","1","f0b88e4f-070f-48d1-a5f9-c22dfc7ab31b","dsc","Duskmourn: House of Horror Commander"
"325","","en","Witch's Clinic","","1","d2422e3e-a923-4516-b87c-cac748354dca","dsc","Duskmourn: House of Horror Commander"
"282","","en","Swamp","","8","cbd95de0-702a-4b88-a1cc-981cf1d9673e","dsk","Duskmourn: House of Horror"
"284","","en","Mountain","","8","1a44d8a4-21de-497d-9eed-702d7b592728","dsk","Duskmourn: House of Horror"
