collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"705","foil","en","Anikthea, Hand of Erebos","","1","8b796a56-1611-4835-ac5b-48b4e9263685","cmm","Commander Masters"
"410","","en","Sol Ring","","1","46ca0b66-a000-4483-b916-f5b89e710244","cmm","Commander Masters"
"420","","en","Command Tower","","1","14019383-0327-404b-ab4d-c65c3fa8c50d","cmm","Commander Masters"
"367","","en","Arcane Signet","","1","0539b83c-4459-41b5-a001-d15a1c9ddf23","cmm","Commander Masters"
"157","","en","Extinguish All Hope","","1","1888ac60-a885-43a7-8e95-9523a0213644","cmm","Commander Masters"
"300","","en","Kodama's Reach","","1","ababe16b-9359-44cb-81fb-e0b3a42b46bd","cmm","Commander Masters"
"894","","en","Farseek","","1","14b7c0df-5af2-4a01-86b3-b2ed5d60e613","cmm","Commander Masters"
"419","","en","Ash Barrens","","1","df0693ae-55f9-4864-b5db-383715a04d21","cmm","Commander Masters"
"989","","en","Canopy Vista","","1","9b99bb11-bec7-4c50-a0c8-49740655f725","cmm","Commander Masters"
"993","","en","Exotic Orchard","","1","63325755-47d5-4bb2-a21c-f324c27e1bbd","cmm","Commander Masters"
"1024","","en","Sandsteppe Citadel","","1","37f7d30c-91ec-4d02-9ee0-ed4de495cbf5","cmm","Commander Masters"
"723","","en","Ondu Spiritdancer","","1","71991921-a860-44fe-9005-bf604c723167","cmm","Commander Masters"
"742","","en","Nyxborn Behemoth","","1","b9f1dbdc-e590-48a4-bc52-e9e4e907fb82","cmm","Commander Masters"
"731","","en","Demon of Fate's Design","","1","265aac73-bcbb-4332-940b-96e1e312bbf8","cmm","Commander Masters"
"739","","en","Composer of Spring","","1","b57e06f8-e542-47d4-b527-7d8fc3dec38c","cmm","Commander Masters"
"730","","en","Cacophony Unleashed","","1","908d9aa5-818c-4651-b135-cc6d1983ad99","cmm","Commander Masters"
"732","","en","Ghoulish Impetus","","1","bbe9d991-0abb-47c1-810d-fa44c1820063","cmm","Commander Masters"
"720","","en","Boon of the Spirit Realm","","1","a588fc39-ed88-4262-96cd-908fadc7f049","cmm","Commander Masters"
"719","","en","Battle at the Helvault","","1","0de0eaeb-9b62-427d-9873-d84de1740ddc","cmm","Commander Masters"
"891","","en","Dryad of the Ilysian Grove","","1","43be1363-7e73-4862-b45f-07f490ab46be","cmm","Commander Masters"
"840","","en","Starfield of Nyx","","1","bfe4e1cb-ceee-46aa-96d1-f3f26516cd77","cmm","Commander Masters"
"864","","en","Cunning Rhetoric","","1","1873ad15-e633-4858-8f6b-4cc3e561725f","cmm","Commander Masters"
"827","","en","Love Song of Night and Day","","1","1096cb83-a192-406a-9b95-d7cbb1a0df84","cmm","Commander Masters"
"916","","en","Battle for Bretagard","","1","c83e860a-6dd5-4522-8b2b-b730934f59f7","cmm","Commander Masters"
"836","","en","Sigil of the Empty Throne","","1","394fad93-ecdf-4f05-be17-291ca246262f","cmm","Commander Masters"
"831","","en","Omen of the Sun","","1","157e4f28-d1b1-41e4-a2f1-6613a952bca2","cmm","Commander Masters"
"826","","en","Heliod, God of the Sun","","1","b83e9693-4996-498c-95f7-884d40341298","cmm","Commander Masters"
"917","","en","Binding the Old Gods","","1","a0297fc9-9070-41cc-83fd-0dea2a65c263","cmm","Commander Masters"
"885","","en","Arasta of the Endless Web","","1","882be812-fc76-4493-abe2-2101603399ce","cmm","Commander Masters"
"884","","en","Abundance","","1","9bc359b0-8886-415b-a497-e98a2241084e","cmm","Commander Masters"
"814","","en","Archon of Sun's Grace","","1","72d10ba2-0408-47a2-bb6f-9e12541fe100","cmm","Commander Masters"
"918","","en","Calix, Destiny's Hand","","1","53ec142a-81c0-43e3-bf37-bdc18d7b780e","cmm","Commander Masters"
"816","","en","Cast Out","","1","6d7ea506-262b-415f-86f2-d70ddfd15a8d","cmm","Commander Masters"
"888","","en","Courser of Kruphix","","1","dc63d2ea-a980-466e-9ebb-f28008f84c3d","cmm","Commander Masters"
"921","","en","Culling Ritual","","1","1422a569-d94e-41e7-b9e1-78b2e9fe505f","cmm","Commander Masters"
"890","","en","Destiny Spinner","","1","2cc3804b-3304-4add-81b4-0482bfed8074","cmm","Commander Masters"
"865","","en","Doomwake Giant","","1","8082ddc9-f20c-4d33-8db4-baba03ef22b9","cmm","Commander Masters"
"866","","en","Dreadhorde Invasion","","1","241a6a3b-8809-4d22-bf1e-c4620c609aba","cmm","Commander Masters"
"892","","en","Eidolon of Blossoms","","1","f882aa63-d43c-4359-9de6-77231500a08e","cmm","Commander Masters"
"893","","en","Enchantress's Presence","","1","3f50538b-f866-4e75-8856-2ad8af635011","cmm","Commander Masters"
