collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"12","foil","en","Otrimi, the Ever-Playful","","1","639df7bc-b87d-4bf5-8005-8eabc54e955b","c20","Commander 2020"
"237","","en","Arcane Signet","","1","1486170d-4ad3-4318-bf72-f948617d567f","c20","Commander 2020"
"166","","en","Animist's Awakening","","1","ff681dc2-bc62-4934-b936-49af1da4af6c","c20","Commander 2020"
"67","","en","Bonder's Ornament","","1","5afe425c-50a7-4d29-ac14-0edb094fc770","c20","Commander 2020"
"168","","en","Beast Within","","1","3b1244ee-e68b-422d-a723-cb537ad19cce","c20","Commander 2020"
"258","","en","Blighted Woodland","","1","b4073c69-fce0-4755-97f2-0a10fabed3e4","c20","Commander 2020"
"167","","en","Beast Whisperer","","1","0aa99539-0002-4661-85b2-a3d770ff004c","c20","Commander 2020"
"40","","en","Boneyard Mycodrax","","1","f6ac1131-8e96-46be-85e0-55844d0d2935","c20","Commander 2020"
"58","","en","Capricopian","","1","0b81f82a-f004-44f3-9dad-1675941fe57b","c20","Commander 2020"
"204","","en","Cold-Eyed Selkie","","1","7fece0e9-92ac-4fef-9682-6d2797f7c6cb","c20","Commander 2020"
"264","","en","Command Tower","","1","37691c08-7763-42bd-b882-3cb0624a2098","c20","Commander 2020"
"265","","en","Darkwater Catacombs","","1","36eba387-8fdd-4019-ac44-f1fda7677e86","c20","Commander 2020"
"270","","en","Dimir Aqueduct","","1","44dc1e95-ed4e-4807-b530-e863d55aeb39","c20","Commander 2020"
"272","","en","Endless Sands","","1","f436df63-41b9-416d-8e41-035261d4d0cc","c20","Commander 2020"
"43","","en","Dredge the Mire","","1","f57b4b40-bd46-4859-89f0-fa0bd04cc6e9","c20","Commander 2020"
"131","","en","Deadly Tempest","","1","177cc55d-e00d-4246-9191-1b457f92a935","c20","Commander 2020"
"42","","en","Deadly Rollick","","1","c61fa2c0-63c0-4dc2-9f17-5a00530e3348","c20","Commander 2020"
"273","","en","Exotic Orchard","","1","f623a2c3-ebe5-4f43-8b87-59b4d6991ff0","c20","Commander 2020"
"212","","en","Find // Finality","","1","6e740969-4613-49a3-b22f-8254f44bd91b","c20","Commander 2020"
"214","","en","Gaze of Granite","","1","a7b250ab-efe1-42bf-81ac-fd94d6140782","c20","Commander 2020"
"172","","en","Genesis Hydra","","1","bb008ff0-d66d-4c54-9905-4c4307f5e4d1","c20","Commander 2020"
"277","","en","Golgari Rot Farm","","1","4c9d6ad5-fa8a-46a4-87a7-51f2ccb2062c","c20","Commander 2020"
"181","","en","Krosan Grip","","1","f839b862-72f6-4ab8-86b4-0122f29ec53b","c20","Commander 2020"
"113","","en","Illusory Ambusher","","1","50a68135-b7e1-454e-8891-11f00cb79cd2","c20","Commander 2020"
"244","","en","Lifecrafter's Bestiary","","1","52b7e5ee-da53-4d60-9348-072ad218c369","c20","Commander 2020"
"175","","en","Heroes' Bane","","1","247e2b05-b1bb-4ee0-bbac-21e903e51a38","c20","Commander 2020"
"180","","en","Kodama's Reach","","1","a5c73e68-17e8-444b-a294-6ea27b11cf8a","c20","Commander 2020"
"177","","en","Hungering Hydra","","1","cce0561d-252a-499f-bfa0-9de59e4ea5ba","c20","Commander 2020"
"116","","en","Mind Spring","","1","6c5e0d02-4714-4957-97fe-9b457f8c4563","c20","Commander 2020"
"286","","en","Llanowar Wastes","","1","640b3883-4051-4401-9993-03bf8f3812c2","c20","Commander 2020"
"292","","en","Myriad Landscape","","1","42bb5732-5c17-447f-9fcd-dc12136fa145","c20","Commander 2020"
"117","","en","Mulldrifter","","1","d9fb2f2b-ed82-4461-9013-490e8bca89f8","c20","Commander 2020"
"68","","en","Manascape Refractor","","1","7f164226-99e4-474e-a67d-b3fbff015a64","c20","Commander 2020"
"183","","en","Masked Admirers","","1","c5d58f61-465c-4833-b9d0-a4b1c41e4fe9","c20","Commander 2020"
"44","","en","Mindleecher","","1","2bf6b21a-8e18-400c-a39c-d693e487e47b","c20","Commander 2020"
"289","","en","Mortuary Mire","","1","c5b2faa7-1fdc-4c9a-a5ee-4b6c90f18acb","c20","Commander 2020"
"224","","en","Nissa, Steward of Elements","","1","8d64871b-6ee5-426b-9828-125cb9c7746d","c20","Commander 2020"
"295","","en","Opulent Palace","","1","ccef1e71-1484-4e27-b8a4-b5427cdf0193","c20","Commander 2020"
"228","","en","Putrefy","","1","b427f1a9-039f-4d1a-94c6-f9c8044217e1","c20","Commander 2020"
"62","","en","Predatory Impetus","","1","13c29179-99f4-4e02-bc04-2ffe6ca4a7c3","c20","Commander 2020"
"185","","en","Predator Ooze","","1","c32fb53b-7fd7-46a2-b502-93a42cf23fa5","c20","Commander 2020"
"46","","en","Parasitic Impetus","","1","b51e0d11-e970-4535-87ac-49ae8ad594df","c20","Commander 2020"
"123","","en","Propaganda","","1","f74d378d-6a21-474b-a71c-652a1c92b898","c20","Commander 2020"
"186","","en","Reclamation Sage","","1","9b4af9c4-6f0a-4d35-8d8b-b20cd61ce5a3","c20","Commander 2020"
"303","","en","Rogue's Passage","","1","8230642b-865e-4114-87f9-516fb7efa6cd","c20","Commander 2020"
"135","","en","Profane Command","","1","857b6766-4df9-47e7-aa51-8ade7989bf57","c20","Commander 2020"
"37","","en","Psychic Impetus","","1","9440d3f3-f4f4-450b-ab88-0acbaeec972b","c20","Commander 2020"
"64","","en","Sawtusk Demolisher","","1","574d1a02-a403-4b6e-8ce0-a472325c9c2c","c20","Commander 2020"
