collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"50","foil","en","Yidris, Maelstrom Wielder","","1","c219dd22-433c-4f6a-a0c4-fae12239291c","c16","Commander 2016"
"81","","en","Academy Elite","","1","f3728fbb-3a99-443a-b514-40f9990669c5","c16","Commander 2016"
"82","","en","Aeon Chronicler","","1","8d108f7a-d255-424d-8936-340150371e81","c16","Commander 2016"
"27","","en","Ancient Excavation","","1","191f2e4f-2441-472a-b660-d20c07aeec20","c16","Commander 2016"
"56","","en","Ash Barrens","","1","9d7ac112-bb20-4ea4-b797-5d21f6b7c121","c16","Commander 2016"
"105","","en","Army of the Damned","","1","2f9c3dca-4982-4550-82ac-5c4e515b55aa","c16","Commander 2016"
"182","","en","Bituminous Blast","","1","d6f3d13e-14ce-449f-9a08-cd9bef33981a","c16","Commander 2016"
"184","","en","Bloodbraid Elf","","1","81c46232-bfd6-4661-953d-84f31ed94a9a","c16","Commander 2016"
"143","","en","Burgeoning","","1","6da045f8-6278-4c84-9d39-025adf0789c1","c16","Commander 2016"
"183","","en","Blood Tyrant","","1","ac2bfaf0-3b92-44f6-8fc0-f38cc12ba3b1","c16","Commander 2016"
"52","","en","Boompile","","1","e27c6a13-d19f-44c5-9e68-0153a627b343","c16","Commander 2016"
"188","","en","Coiling Oracle","","1","3c426a78-3f0d-4ad7-aa90-0824fc9db962","c16","Commander 2016"
"122","","en","Chaos Warp","","1","2b3e8885-badd-4222-9b46-5a95678cfa45","c16","Commander 2016"
"248","","en","Commander's Sphere","","1","28e23091-dc18-4964-af54-0ab282811a06","c16","Commander 2016"
"286","","en","Command Tower","","1","6a759aca-50a4-44ba-8a9d-a764da55bfb7","c16","Commander 2016"
"84","","en","Chain of Vapor","","1","38f741bf-13ee-4384-98ab-27833ebb9f6d","c16","Commander 2016"
"247","","en","Chromatic Lantern","","1","7ff8e733-877b-46e2-ac80-c51cafe18d3d","c16","Commander 2016"
"189","","en","Consuming Aberration","","1","9b110954-1ebd-4630-a33b-b108fcb549f7","c16","Commander 2016"
"193","","en","Decimate","","1","df69d744-1fbf-4d17-b3a7-fa696e31e84d","c16","Commander 2016"
"287","","en","Crumbling Necropolis","","1","80b0c087-4642-4297-aa1c-27d17fb879b9","c16","Commander 2016"
"11","","en","Cruel Entertainment","","1","3e304424-4a50-43bb-aee0-e9f960583aac","c16","Commander 2016"
"13","","en","Curtains' Call","","1","dd71fd53-5c84-4d08-a7f5-16657413ac4c","c16","Commander 2016"
"124","","en","Dragon Mage","","1","416cfb3f-237b-4516-824e-230e0db64a5d","c16","Commander 2016"
"291","","en","Dismal Backwater","","1","0c1d3747-11ac-4834-92a9-6bfb43d9bf7b","c16","Commander 2016"
"87","","en","Devastation Tide","","1","cac216de-7303-4757-80b9-d1eab9899d76","c16","Commander 2016"
"197","","en","Etherium-Horn Sorcerer","","1","130db905-d2e4-4be9-a4ae-a8aae01a3147","c16","Commander 2016"
"148","","en","Far Wanderings","","1","39b21e5b-b1ab-4570-b9bf-1cf19f8f9043","c16","Commander 2016"
"294","","en","Evolving Wilds","","1","2b3c0b62-39d7-4710-b3ce-f9d614a09841","c16","Commander 2016"
"91","","en","Evacuation","","1","bbf5e27b-b1ab-470c-8204-146032e26b5b","c16","Commander 2016"
"295","","en","Exotic Orchard","","1","a95134ee-68d3-44d8-9098-403f100dc73b","c16","Commander 2016"
"18","","en","Frenzied Fugue","","1","d095412d-874b-4d5d-9672-6074bbc4fcf5","c16","Commander 2016"
"297","","en","Frontier Bivouac","","1","a561361b-990f-4cca-9ba4-3bd4e7a1f8a0","c16","Commander 2016"
"254","","en","Fellwar Stone","","1","d140a606-e9d0-4fda-af38-1fca5d5c8c17","c16","Commander 2016"
"151","","en","Gamekeeper","","1","b4ddb801-06a5-4562-b691-ccf9b55bb064","c16","Commander 2016"
"112","","en","Guiltfeeder","","1","d0df76c1-2bdc-4cdd-a935-fc5b9391f089","c16","Commander 2016"
"111","","en","Ghastly Conscription","","1","c01b492c-391d-413b-9e4d-3f4db9ea9142","c16","Commander 2016"
"19","","en","Goblin Spymaster","","1","bca3cf0f-8c86-4454-bfe5-d2d3bf952550","c16","Commander 2016"
"31","","en","Grave Upheaval","","1","32b25bb5-723d-4af0-8661-60178f00f92b","c16","Commander 2016"
"201","","en","Glint-Eye Nephilim","","1","f4737444-19a0-44ef-9466-ee12b7e248f7","c16","Commander 2016"
"303","","en","Jungle Hollow","","1","08484ded-5982-463d-8a9b-4a33af969f06","c16","Commander 2016"
"204","","en","Horizon Chimera","","1","7022506d-8685-41e0-bd1a-2c27c964128b","c16","Commander 2016"
"113","","en","In Garruk's Wake","","1","8d1a685f-d4ae-4ff0-8170-43e1f9830667","c16","Commander 2016"
"213","","en","Nath of the Gilt-Leaf","","1","294ccc67-6fc9-411b-9100-ae6a9b7fadfc","c16","Commander 2016"
"313","","en","Opulent Palace","","1","80dbbb02-3361-4b35-b193-9b5752222647","c16","Commander 2016"
"15","","en","Parting Thoughts","","1","2e60b5a1-923c-4c67-ae06-2a498dc46506","c16","Commander 2016"
"131","","en","Past in Flames","","1","70521337-ecab-461d-95cf-03024b569fef","c16","Commander 2016"
"218","","en","Rakdos Charm","","1","ff218327-ce37-4eb7-95a5-cc4d038920d9","c16","Commander 2016"
"268","","en","Rakdos Signet","","1","0c2a6b15-e614-4f0b-84e4-8630516f3325","c16","Commander 2016"
"315","","en","Rakdos Carnarium","","1","39b1b219-be35-48af-849f-af0a61c34a1c","c16","Commander 2016"
"132","","en","Reforge the Soul","","1","25ab0711-a06b-4c4c-a49e-d951915d918c","c16","Commander 2016"
