collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"203","","en","Oloro, Ageless Ascetic","","1","abf8df47-405c-42d8-be9e-0f0d0a49589b","c13","Commander 2013"
"3","","en","Ajani's Pridemate","","1","24d4dbde-ff1f-4ffd-9fea-639b7a5bb50b","c13","Commander 2013"
"1","","en","Act of Authority","","1","e107bd35-eddd-40f7-aea8-3a1eec3363c0","c13","Commander 2013"
"273","","en","Arcane Sanctum","","1","9ec9245a-bfd4-4fbd-83da-28c89abad011","c13","Commander 2013"
"227","","en","Augury Adept","","1","a9cf106f-f547-4323-b8bf-0340c6308007","c13","Commander 2013"
"274","","en","Azorius Chancery","","1","7f005c7d-d0c6-4ac7-824c-040916023b75","c13","Commander 2013"
"275","","en","Azorius Guildgate","","1","093bdc0f-bf04-48d3-91d1-28bc8a0f25be","c13","Commander 2013"
"277","","en","Barren Moor","","1","80f4218e-b32e-415e-a240-79a466e04983","c13","Commander 2013"
"6","","en","Azorius Herald","","1","813cea4e-1e87-4d2f-a580-16805ff53ff0","c13","Commander 2013"
"34","","en","Brilliant Plan","","1","4fc6b5a0-9a0f-4934-8a43-a0e5364832ec","c13","Commander 2013"
"281","","en","Command Tower","","1","7b2de1d7-0b13-423b-b0ca-31eb38b5b81f","c13","Commander 2013"
"7","","en","Cradle of Vitality","","1","e15d671d-a48c-4c37-b4d6-eecead82ffb6","c13","Commander 2013"
"240","","en","Crawlspace","","1","97c8e1ed-b3ab-4a08-9336-e513f23d45b3","c13","Commander 2013"
"36","","en","Curse of Inertia","","1","5f6073c3-43aa-441f-98fe-0135f96ffa04","c13","Commander 2013"
"9","","en","Darksteel Mutation","","1","df7d800b-0120-4036-81d7-dec60ccc8057","c13","Commander 2013"
"8","","en","Curse of the Forsaken","","1","5f0ff150-e9cc-4e20-96e4-6d6bce8d83c3","c13","Commander 2013"
"71","","en","Curse of Shallow Graves","","1","849996e2-fb62-428f-88f1-4ac419617395","c13","Commander 2013"
"183","","en","Death Grasp","","1","21c10db9-f496-467b-b3ce-7ee5d0884ba0","c13","Commander 2013"
"38","","en","Deep Analysis","","1","952800af-f52c-44bf-a98b-51c5f8142dc9","c13","Commander 2013"
"284","","en","Dimir Guildgate","","1","deba1271-ca49-4318-b94a-7a6598807dc8","c13","Commander 2013"
"228","","en","Divinity of Pride","","1","2e40c246-276b-45f1-ac86-f15c0df62a08","c13","Commander 2013"
"74","","en","Disciple of Griselbrand","","1","30c9c0f0-2668-4163-8158-fada2d953cb3","c13","Commander 2013"
"40","","en","Diviner Spirit","","1","638d9c6b-d373-4b6d-afd6-7e8234e8f0a5","c13","Commander 2013"
"187","","en","Dromar's Charm","","1","69f752d3-3f42-4275-be09-d257c89da70d","c13","Commander 2013"
"287","","en","Evolving Wilds","","1","f0244872-9cd7-4a23-87a5-7658fd4a8c2e","c13","Commander 2013"
"286","","en","Esper Panorama","","1","be541a79-d118-4484-af86-e7f8e6063f6b","c13","Commander 2013"
"77","","en","Famine","","1","a56410a7-6f99-4bdf-9385-f23571c263c3","c13","Commander 2013"
"189","","en","Filigree Angel","","1","46c0b36c-d2b8-4ed0-b523-3068584c1e71","c13","Commander 2013"
"79","","en","Greed","","1","c39d94fb-a092-4307-b99b-73fb97998cc2","c13","Commander 2013"
"80","","en","Hooded Horror","","1","15414338-506b-458f-a067-1a2053373594","c13","Commander 2013"
"300","","en","Jwar Isle Refuge","","1","d748fbf3-ece2-4f48-9a7e-701a327dd749","c13","Commander 2013"
