collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"186","","en","Derevi, Empyrial Tactician","","1","3d61a4d4-f0d5-4bc4-8977-57bbb3d97776","c13","Commander 2013"
"342","","en","Island","","7","950bb5f0-9aca-4e5c-8523-4ce25b3bb0ef","c13","Commander 2013"
"337","","en","Plains","","7","503dfa54-a99e-40bc-a809-f1b7cb410eab","c13","Commander 2013"
"356","","en","Forest","","6","965e867d-b8e6-4600-a51e-ad313d40beb6","c13","Commander 2013"
"281","","en","Command Tower","","1","7b2de1d7-0b13-423b-b0ca-31eb38b5b81f","c13","Commander 2013"
"319","","en","Secluded Steppe","","1","bd3dc829-f296-43dc-a34a-41511de89445","c13","Commander 2013"
"134","","en","Acidic Slime","","1","533c81d5-c067-435c-9581-e37667f399b1","c13","Commander 2013"
"28","","en","Arcane Denial","","1","ab175817-da6a-4ae7-a016-c3bfb087eae0","c13","Commander 2013"
"33","","en","Borrowing 100,000 Arrows","","1","90727520-1fab-4645-a05e-985e71b531cd","c13","Commander 2013"
"9","","en","Darksteel Mutation","","1","df7d800b-0120-4036-81d7-dec60ccc8057","c13","Commander 2013"
"287","","en","Evolving Wilds","","1","f0244872-9cd7-4a23-87a5-7658fd4a8c2e","c13","Commander 2013"
"288","","en","Faerie Conclave","","1","f85143ec-37d1-43d3-8c65-764e52f9aa15","c13","Commander 2013"
"11","","en","Fiend Hunter","","1","c0037568-4cc0-4af7-a5bd-e51aea9f0e83","c13","Commander 2013"
"230","","en","Mistmeadow Witch","","1","a9537c54-fd84-4a41-b7e2-9af293388950","c13","Commander 2013"
"17","","en","Mirror Entity","","1","295c8a21-7a4e-42cb-9420-9e59a1b75954","c13","Commander 2013"
"253","","en","Pilgrim's Eye","","1","ae9488d9-efeb-45a9-afcd-c5bb386847c8","c13","Commander 2013"
"320","","en","Sejiri Refuge","","1","65d1bf3c-f34a-4203-bae8-a17974f7800a","c13","Commander 2013"
"232","","en","Selesnya Guildmage","","1","f251cd07-d3b8-4a22-a5fb-4a1a98cc6da4","c13","Commander 2013"
"214","","en","Skyward Eye Prophets","","1","430773cb-c2e3-464f-8635-588e112d906e","c13","Commander 2013"
"259","","en","Sol Ring","","1","1b59533a-3e38-495d-873e-2f89fbd08494","c13","Commander 2013"
"327","","en","Temple of the False God","","1","5b25c648-34a7-4293-8f91-1295bcdeceb0","c13","Commander 2013"
"61","","en","Thornwind Faeries","","1","050280f0-97b2-446e-8166-21f434d06e4d","c13","Commander 2013"
"35","","en","Control Magic","","1","d845d044-7457-4015-a893-1b7ca35df889","c13","Commander 2013"
"42","","en","Dungeon Geists","","1","6d2b3b06-af65-4df6-a035-21b61b43b557","c13","Commander 2013"
"274","","en","Azorius Chancery","","1","7f005c7d-d0c6-4ac7-824c-040916023b75","c13","Commander 2013"
"237","","en","Basalt Monolith","","1","7770e48e-72e1-4475-a4b5-c1c561a1beaa","c13","Commander 2013"
