collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"176","foil","en","Derevi, Empyrial Tactician","","1","3a1d0dad-18a8-489e-ac11-08f64b72fda4","cma","Commander Anthology"
"3","","en","Angel of Finality","","1","ba8741f5-f512-4c31-b4ba-3f2ef00b0102","cma","Commander Anthology"
"30","","en","Arcane Denial","","1","2a648138-8be1-4c33-b53c-b95037c6cb4a","cma","Commander Anthology"
"90","","en","Acidic Slime","","1","54f0b514-a85d-4e0c-b331-1dbaa316842d","cma","Commander Anthology"
"1","","en","Aerie Mystics","","1","ac774ed1-75f0-4c22-adf7-73a64183981a","cma","Commander Anthology"
"172","","en","Aethermage's Touch","","1","81a67f10-9b7d-47ba-bcd8-d969e631833e","cma","Commander Anthology"
"239","","en","Azorius Chancery","","1","4ccd100d-3a53-4cfe-8d38-639573547f54","cma","Commander Anthology"
"240","","en","Azorius Guildgate","","1","37f0d5e4-ab57-4ba3-ad89-c4c2ac88e35e","cma","Commander Anthology"
"31","","en","Azami, Lady of Scrolls","","1","fa574ca0-a5a2-4f3d-b95f-5888391d4530","cma","Commander Anthology"
"241","","en","Bant Panorama","","1","a5ded71e-0e8e-49c6-80d8-ce31cb95e0fa","cma","Commander Anthology"
"210","","en","Basalt Monolith","","1","b90331d4-74f0-43bf-8ed2-f8616d782859","cma","Commander Anthology"
"209","","en","Azorius Keyrune","","1","a8755662-b329-4c5b-8bf7-c9e1702e5979","cma","Commander Anthology"
"91","","en","Bane of Progress","","1","66a23edd-96ad-4870-907f-2c332bc2e53b","cma","Commander Anthology"
"32","","en","Blue Sun's Zenith","","1","9d3f1b57-3353-4b88-abe9-98a3234a25f3","cma","Commander Anthology"
"33","","en","Borrowing 100,000 Arrows","","1","4d614db0-3b66-4984-9b21-5e4e6d0d12a0","cma","Commander Anthology"
"245","","en","Command Tower","","1","5f66d99c-7c2d-40b9-ae07-c3a84f018a0d","cma","Commander Anthology"
"35","","en","Curse of Inertia","","1","32d0c2a7-4277-43eb-bb09-5ca0c27edee4","cma","Commander Anthology"
"215","","en","Darksteel Ingot","","1","9285e6d5-39cc-4750-96cc-98830d11ed10","cma","Commander Anthology"
"8","","en","Curse of the Forsaken","","1","9af69b5e-f713-4af6-9990-f99be7801f73","cma","Commander Anthology"
