collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"647","foil","en","Faldorn, Dread Wolf Herald","","1","213e530e-33a9-4358-b43b-4a276a7e7190","clb","Commander Legends: Battle for Baldur's Gate"
"351","","en","Command Tower","","1","7eafe88e-ab38-442c-b147-bb01cc81178d","clb","Commander Legends: Battle for Baldur's Gate"
"298","","en","Arcane Signet","","1","5b245a5b-5a99-4d22-99ef-3f5bf49c3262","clb","Commander Legends: Battle for Baldur's Gate"
"244","","en","Nature's Lore","","1","543d1e79-cac6-455c-9fda-f13c849579d6","clb","Commander Legends: Battle for Baldur's Gate"
"685","","en","Sarevok's Tome","","1","5a470690-a05d-4311-963c-50cbf779846d","clb","Commander Legends: Battle for Baldur's Gate"
"683","","en","Venture Forth","","1","bb4db814-3821-47ea-9e33-0e9f49128a36","clb","Commander Legends: Battle for Baldur's Gate"
"678","","en","Nalfeshnee","","1","b7717617-706a-4338-a207-dd8c08feb1c3","clb","Commander Legends: Battle for Baldur's Gate"
"676","","en","Delayed Blast Fireball","","1","e59903e3-a344-4218-9d41-8b19a9bc8311","clb","Commander Legends: Battle for Baldur's Gate"
"680","","en","Green Slime","","1","b1beaaae-9406-4beb-8e74-d278822434c7","clb","Commander Legends: Battle for Baldur's Gate"
"681","","en","Journey to the Lost City","","1","967b19ce-062d-470c-8716-425a8dec0e18","clb","Commander Legends: Battle for Baldur's Gate"
"682","","en","Tlincalli Hunter // Retrieve Prey","","1","45b5d677-ff77-47ce-8612-bae70c326e4e","clb","Commander Legends: Battle for Baldur's Gate"
"837","","en","Three Visits","","1","cad698c3-687e-4b73-88d2-fd0ac7d755c5","clb","Commander Legends: Battle for Baldur's Gate"
"826","","en","Kodama's Reach","","1","979741db-e720-4efd-bc8e-2bf47e777ab3","clb","Commander Legends: Battle for Baldur's Gate"
"821","","en","Cultivate","","1","8960ee5f-1109-4569-9191-be68a2c0f7d5","clb","Commander Legends: Battle for Baldur's Gate"
"799","","en","Jeska's Will","","1","3308993d-8bfb-477a-887a-89ed35577f57","clb","Commander Legends: Battle for Baldur's Gate"
"791","","en","Dream Pillager","","1","68c8d00f-23f3-429a-a99a-a6f3ec21c137","clb","Commander Legends: Battle for Baldur's Gate"
"781","","en","Bonecrusher Giant // Stomp","","1","b5b71cd2-de35-451f-b16e-2e3936169407","clb","Commander Legends: Battle for Baldur's Gate"
"792","","en","Embereth Shieldbreaker // Battle Display","","1","e2f789b3-3274-4a93-b44b-fabc44c1833c","clb","Commander Legends: Battle for Baldur's Gate"
"887","","en","Cinder Glade","","1","801b5a17-491e-416f-990d-187fce6c4ce4","clb","Commander Legends: Battle for Baldur's Gate"
"855","","en","Chaos Wand","","1","e065e040-80c1-47d3-a425-28381e5a29f2","clb","Commander Legends: Battle for Baldur's Gate"
"823","","en","Explore","","1","f7a70945-8f8b-4dc7-a78b-d285694f9f50","clb","Commander Legends: Battle for Baldur's Gate"
"832","","en","Sakura-Tribe Elder","","1","ec23f98d-1bfd-4957-92b6-0a1da823db0f","clb","Commander Legends: Battle for Baldur's Gate"
"787","","en","Demon Bolt","","1","3c43bf24-399e-407a-a563-bb04f93a0497","clb","Commander Legends: Battle for Baldur's Gate"
