collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Hakbal of the Surging Soul","","1","e738e675-4fd1-4bc3-97f5-71d0e2fc3f2e","lcc","The Lost Caverns of Ixalan Commander"
"395","","en","Island","","13","23e3ed2c-342b-44aa-8e3e-0c53602397c3","lci","The Lost Caverns of Ixalan"
"401","","en","Forest","","7","f954219a-fd4b-4fb1-945f-7950efc1d975","lci","The Lost Caverns of Ixalan"
"299","","en","Arcane Signet","","1","fc6c69a0-ac24-4486-8893-a6303d08fc6e","lcc","The Lost Caverns of Ixalan Commander"
"325","","en","Command Tower","","1","d477d733-2360-4f1d-9ecd-cdedc2e8a7ae","lcc","The Lost Caverns of Ixalan Commander"
"165","","en","Merrow Reejerey","","1","6ae8ea86-46c3-4855-92e9-7906e554becb","lcc","The Lost Caverns of Ixalan Commander"
"233","","en","Beast Within","","1","eb40c41c-f5f9-4323-b6ac-e28e405909d0","lcc","The Lost Caverns of Ixalan Commander"
"147","","en","Commit // Memory","","1","855af9a8-31fc-4290-8204-04ee026f8853","lcc","The Lost Caverns of Ixalan Commander"
"241","","en","Explore","","1","e547fc28-970a-4910-94da-dff5acef3285","lcc","The Lost Caverns of Ixalan Commander"
"273","","en","Kiora's Follower","","1","3666d3eb-fc62-4966-9149-aa3435650c29","lcc","The Lost Caverns of Ixalan Commander"
"348","","en","Reliquary Tower","","1","ca7704cf-0e13-42fa-9e79-41eb94febedd","lcc","The Lost Caverns of Ixalan Commander"
"349","","en","Rogue's Passage","","1","a7dc75a8-c500-4b50-aff9-32ce36566104","lcc","The Lost Caverns of Ixalan Commander"
"313","","en","Sol Ring","","1","2d47121d-8b90-4d28-9ffa-0a640b9dd611","lcc","The Lost Caverns of Ixalan Commander"
"290","","en","Tatyova, Benthic Druid","","1","fe05dc69-8dde-485e-9e55-da729db50205","lcc","The Lost Caverns of Ixalan Commander"
"359","","en","Temple of the False God","","1","96a31b2d-ee3f-48e5-b0dd-481a0c3efea2","lcc","The Lost Caverns of Ixalan Commander"
"366","","en","Unclaimed Territory","","1","e7bd3aaa-864c-4cbb-bbab-68d87c824e3d","lcc","The Lost Caverns of Ixalan Commander"
"357","","en","Temple of Mystery","","1","698fa422-f2e2-4890-9a32-4c6517372213","lcc","The Lost Caverns of Ixalan Commander"
"176","","en","Thassa, God of the Sea","","1","9f9db424-e668-48b4-b275-7b35be4e1bf8","lcc","The Lost Caverns of Ixalan Commander"
"301","","en","Commander's Sphere","","1","c643146f-da7b-4cc0-b874-4accad99ccce","lcc","The Lost Caverns of Ixalan Commander"
"243","","en","Hardened Scales","","1","fc69ad56-9ae2-4eb5-b7e2-558524f6cbcc","lcc","The Lost Caverns of Ixalan Commander"
"244","","en","Inspiring Call","","1","6c3dd578-15c9-46c9-9dbd-330e86df8cae","lcc","The Lost Caverns of Ixalan Commander"
"352","","en","Simic Growth Chamber","","1","0e8f3aa0-c557-4cc7-9b5f-1d2288b5b11f","lcc","The Lost Caverns of Ixalan Commander"
"312","","en","Simic Signet","","1","92650d2e-64c0-418d-a5e9-2534ad45e426","lcc","The Lost Caverns of Ixalan Commander"
"314","","en","Swiftfoot Boots","","1","a3b1da84-9c26-4c3c-b90f-43a0b2b20103","lcc","The Lost Caverns of Ixalan Commander"
"294","","en","Vorel of the Hull Clade","","1","82c8cac8-29ce-43cc-bdb4-428c614d8545","lcc","The Lost Caverns of Ixalan Commander"
"159","","en","Kindred Discovery","","1","8d264ad1-10a3-41ba-9740-48f2c07a0ec3","lcc","The Lost Caverns of Ixalan Commander"
"346","","en","Path of Ancestry","","1","f30552a5-db59-4164-bbd2-44bf7ae1e91e","lcc","The Lost Caverns of Ixalan Commander"
"343","","en","Myriad Landscape","","1","92a45243-2ea9-4da1-984b-287a555a51f4","lcc","The Lost Caverns of Ixalan Commander"
"245","","en","Kodama's Reach","","1","29fc8594-931f-4cf6-95b8-9b589d6cbcf9","lcc","The Lost Caverns of Ixalan Commander"
