collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"44","foil","en","Saheeli, the Gifted","","1","ca095559-ac77-4186-8d9b-b75ce0607582","c18","Commander 2018"
"53","","en","Ancient Stone Idol","","1","d3975f5c-5dcd-40b8-9311-01a173c40381","c18","Commander 2018"
"80","","en","Aether Gale","","1","e89f2a37-9e8e-4291-9595-3c20b00444b0","c18","Commander 2018"
"120","","en","Blasphemous Act","","1","a09bb94a-1e47-43e7-a7e8-627c10cf8c1f","c18","Commander 2018"
"197","","en","Blinkmoth Urn","","1","3879faf0-6e39-4275-82f6-7fb5c70fc6ce","c18","Commander 2018"
"122","","en","Chaos Warp","","1","80cb5b8e-e410-42e0-813e-c54903130cf5","c18","Commander 2018"
"199","","en","Chief of the Foundry","","1","145ae70d-8d0d-4bf2-b50c-af75b6874899","c18","Commander 2018"
"198","","en","Bosh, Iron Golem","","1","fb87532e-9d81-444d-b3ef-69b2528b6311","c18","Commander 2018"
"239","","en","Buried Ruin","","1","fdad59a0-9743-4164-b9ed-bf3df70f0c68","c18","Commander 2018"
"200","","en","Commander's Sphere","","1","8b991b05-60e4-49a6-9024-3465082d4932","c18","Commander 2018"
"54","","en","Coveted Jewel","","1","f83ed433-fae3-4fa5-acad-bb8a5b535ce3","c18","Commander 2018"
"240","","en","Command Tower","","1","6d28946e-a478-4e0b-b39b-ec0236ddc9a5","c18","Commander 2018"
"241","","en","Darksteel Citadel","","1","d61ecc3f-8c76-43e6-8f16-4863b2ea25fb","c18","Commander 2018"
"202","","en","Darksteel Juggernaut","","1","22c4148a-477d-419e-8d6b-5d558048e0db","c18","Commander 2018"
"7","","en","Echo Storm","","1","546da0df-db26-4f50-8b5e-eb09782dd1d1","c18","Commander 2018"
"204","","en","Dreamstone Hedron","","1","df32fd76-5f14-4000-beb1-4933d0675fbc","c18","Commander 2018"
"205","","en","Duplicant","","1","ea87504f-b373-448b-8444-46fdc3d93250","c18","Commander 2018"
"55","","en","Endless Atlas","","1","d2547a42-b2b9-4887-8671-4cf63a7b0eff","c18","Commander 2018"
"21","","en","Enchanter's Bane","","1","bd5663b1-aa19-44d5-9f8d-fd174954889d","c18","Commander 2018"
"90","","en","Etherium Sculptor","","1","3d800fe1-4b53-4002-9a0a-1f0b2461b800","c18","Commander 2018"
"248","","en","Foundry of the Consuls","","1","09d83c1d-6916-48e7-8a0d-b5abadc34b2a","c18","Commander 2018"
"56","","en","Geode Golem","","1","05faf1a6-df6b-49fa-bbba-aaf52c39643f","c18","Commander 2018"
