collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"45","foil","en","Kadena, Slinking Sorcerer","","1","68a144f1-df18-4dc5-81c3-dff2af27527f","c19","Commander 2019"
"227","","en","Ash Barrens","","1","d78e34c2-6a1e-4559-9b3f-ac45d330d515","c19","Commander 2019"
"156","","en","Ainok Survivalist","","1","db1a9d18-93ae-4ff9-99dd-569cf2e9f62a","c19","Commander 2019"
"31","","en","Apex Altisaur","","1","5f8b022e-3e7a-40e6-99a0-53e5adbdafc5","c19","Commander 2019"
"232","","en","Bojuka Bog","","1","3fe2e358-4175-4cd6-9aa1-e54898df31f2","c19","Commander 2019"
"104","","en","Bane of the Living","","1","946a0fb7-0e36-47d5-8083-09f48725dff1","c19","Commander 2019"
"187","","en","Biomass Mutation","","1","2267c580-b641-4d6f-8bd9-deb1c6393d14","c19","Commander 2019"
"189","","en","Bounty of the Luxa","","1","921b65f2-dd91-41a4-990c-0886712f1e1a","c19","Commander 2019"
"81","","en","Chromeshell Crab","","1","c91cf95f-5007-409c-b891-00e10a3477e0","c19","Commander 2019"
"159","","en","Cultivate","","1","faf2ef91-fb95-4cc0-a2a6-53fac5cd807d","c19","Commander 2019"
"237","","en","Command Tower","","1","c328d8ac-97df-4240-ac38-7cab363c5da1","c19","Commander 2019"
"238","","en","Darkwater Catacombs","","1","04360f65-bfed-4e3f-8733-11ad586d3c5f","c19","Commander 2019"
"239","","en","Dimir Aqueduct","","1","c7aa0279-14ad-483a-b3c7-891d70cec7d8","c19","Commander 2019"
"160","","en","Deathmist Raptor","","1","1c73f83d-ee8f-48eb-9c3d-170f13062c74","c19","Commander 2019"
"161","","en","Den Protector","","1","f6c1c367-35a9-4932-86a6-d63d3b9b326a","c19","Commander 2019"
"242","","en","Exotic Orchard","","1","23de2dc2-348f-4eeb-ae0c-dda422d654b0","c19","Commander 2019"
"241","","en","Evolving Wilds","","1","b6f4f0c7-63c8-4d43-9ccb-920733980de0","c19","Commander 2019"
"164","","en","Explore","","1","da397007-e9a8-4228-a35d-a606e93e37be","c19","Commander 2019"
"84","","en","Echoing Truth","","1","55cd75bc-5ec7-45b2-9231-85a321ecd786","c19","Commander 2019"
"165","","en","Farseek","","1","061f0032-eb14-4c63-8231-aa61472396c2","c19","Commander 2019"
"244","","en","Foul Orchard","","1","7b6ead34-e2c3-40c5-9d33-c653a6daae32","c19","Commander 2019"
"248","","en","Golgari Rot Farm","","1","3c57438b-59d4-4040-b2bf-1eea33318761","c19","Commander 2019"
"247","","en","Golgari Guildgate","","1","9baed2e6-687f-4ab4-b378-4282f3a43c9c","c19","Commander 2019"
"115","","en","Ghastly Conscription","","1","8495d903-ef30-4aaa-9fe6-239dc0e34977","c19","Commander 2019"
"17","","en","Gift of Doom","","1","ad6e1ba7-047b-41a3-8ab4-17a5c5476749","c19","Commander 2019"
"44","","en","Grismold, the Dreadsower","","1","8df64c80-9e98-4429-b869-7ac824fe9580","c19","Commander 2019"
"118","","en","Grim Haruspex","","1","358ade1a-375d-44b4-910f-21d53c7498bb","c19","Commander 2019"
"170","","en","Great Oak Guardian","","1","65d36326-897e-4207-909a-8d1323d6c8e7","c19","Commander 2019"
"120","","en","Hex","","1","ea5685ef-684b-4426-bab7-710a51f994f8","c19","Commander 2019"
"172","","en","Hooded Hydra","","1","aecc699c-c955-4167-b8cf-35faa7ce94b4","c19","Commander 2019"
"194","","en","Icefeather Aven","","1","dc8b7dc7-b7a2-40fe-823c-642d8867973c","c19","Commander 2019"
"87","","en","Ixidron","","1","c30ec372-5cf7-471c-b3fd-411095fc249a","c19","Commander 2019"
"254","","en","Jungle Hollow","","1","7fc11a2d-7592-46ca-9e9c-fa14c21dc38c","c19","Commander 2019"
"258","","en","Llanowar Wastes","","1","ec5506fe-695a-4747-b377-4d806215e121","c19","Commander 2019"
"89","","en","Kheru Spellsnatcher","","1","dd8ac93b-0658-4fc5-819c-77ba0260142e","c19","Commander 2019"
"8","","en","Kadena's Silencer","","1","cfe101fc-0c3d-461b-8c46-bb1bef97e739","c19","Commander 2019"
"9","","en","Leadership Vacuum","","1","4fa953a9-171c-4532-a352-40ce27eed3c4","c19","Commander 2019"
"19","","en","Mire in Misery","","1","37b2cc43-307c-429f-a4f7-ac339a97e0bb","c19","Commander 2019"
"261","","en","Myriad Landscape","","1","3a1c15b9-8039-4de3-a060-d1c38f9e5518","c19","Commander 2019"
"174","","en","Nantuko Vigilante","","1","e1d83ff7-ed79-4334-a396-28f140d43012","c19","Commander 2019"
"264","","en","Opulent Palace","","1","2ab5ad38-6415-42b5-b250-3cfdf36e00ef","c19","Commander 2019"
"56","","en","Pendant of Prosperity","","1","531f70f5-b667-436f-9a45-41dd08439191","c19","Commander 2019"
"175","","en","Overwhelming Stampede","","1","50846a7b-d174-439e-9ffb-31b50bb3a84f","c19","Commander 2019"
"197","","en","Putrefy","","1","4ff773ac-ba7a-45da-a912-07222f7bf781","c19","Commander 2019"
"92","","en","Reality Shift","","1","4ecd1ce5-9906-4806-9782-addbf771e531","c19","Commander 2019"
"177","","en","Sakura-Tribe Elder","","1","114328dd-6c4f-4b6b-b9b7-dfa8c9b79495","c19","Commander 2019"
"268","","en","Reliquary Tower","","1","140bf4c1-750d-4e14-b73b-40b17939a49d","c19","Commander 2019"
"200","","en","Sagu Mauler","","1","23de1159-4466-432d-917c-0f77d0610b4e","c19","Commander 2019"
"58","","en","Scroll of Fate","","1","a25ffab0-1119-4eca-9abe-077a699f19d0","c19","Commander 2019"
"57","","en","Scaretiller","","1","7729fb41-3025-4e7b-8cf3-003fdc10300b","c19","Commander 2019"
"34","","en","Road of Return","","1","e718b21b-46d1-4844-985c-52745657b1ac","c19","Commander 2019"
"274","","en","Simic Growth Chamber","","1","43ebad71-4740-4da4-a6aa-7f6fa1a2858a","c19","Commander 2019"
"179","","en","Seedborn Muse","","1","e3174fb4-5ce1-4594-b338-e301228e6484","c19","Commander 2019"
"275","","en","Simic Guildgate","","1","d4e7b715-38c5-406f-883c-9c174f87944e","c19","Commander 2019"
"201","","en","Secret Plans","","1","b223d673-79da-4e2e-84a4-db917fbbd7dd","c19","Commander 2019"
"273","","en","Shrine of the Forsaken Gods","","1","40838c37-3a23-4639-b3ff-879cf4b73d7a","c19","Commander 2019"
"128","","en","Silumgar Assassin","","1","818034cf-8b55-4c9b-b265-b08c23fb0aef","c19","Commander 2019"
"129","","en","Skinthinner","","1","e0c9b43c-e544-47eb-98f5-45d1b57aabb4","c19","Commander 2019"
"202","","en","Sultai Charm","","1","0f53f04d-aaa5-4cd1-8717-08aa9724b919","c19","Commander 2019"
"221","","en","Sol Ring","","1","e672d408-997c-4a19-810a-3da8411eecf2","c19","Commander 2019"
"96","","en","Stratus Dancer","","1","82fb8b0c-b86e-4915-b72d-9a6b5c1368c7","c19","Commander 2019"
"224","","en","Strionic Resonator","","1","88326f60-1c86-4aca-8e6a-b1882a048635","c19","Commander 2019"
"11","","en","Sudden Substitution","","1","9f7983bf-2a3b-4428-8c01-35285f589da8","c19","Commander 2019"
"280","","en","Temple of the False God","","1","22c66095-ee5d-4258-8e24-78e81b64a519","c19","Commander 2019"
"98","","en","Tezzeret's Gambit","","1","1beea6e6-d201-4f6a-ab06-e5a3d04db123","c19","Commander 2019"
"183","","en","Tempt with Discovery","","1","79248b68-4fab-46da-ab15-5c71c1f68d4b","c19","Commander 2019"
"281","","en","Terramorphic Expanse","","1","9acbdb64-fa26-4c77-b513-33e44ac86e20","c19","Commander 2019"
"278","","en","Sunken Hollow","","1","dddcc5e9-6f19-4fb5-9d79-a49ad71bf0c4","c19","Commander 2019"
"184","","en","Thelonite Hermit","","1","e523d19f-ab72-43f3-b25a-d434e77cd732","c19","Commander 2019"
"225","","en","Thran Dynamo","","1","907801dd-179c-4669-b608-d810a7f608fd","c19","Commander 2019"
"12","","en","Thought Sponge","","1","70406543-ba78-4dd8-8f16-3c5a9ee458a1","c19","Commander 2019"
"283","","en","Thornwood Falls","","1","0790db38-d4bf-4feb-bcba-0b534c8975cf","c19","Commander 2019"
"100","","en","Thousand Winds","","1","f73d6480-2ddb-465d-8d21-11163744378d","c19","Commander 2019"
"282","","en","Thespian's Stage","","1","954c7792-c147-401d-bbe5-f1773ae3b301","c19","Commander 2019"
"186","","en","Trail of Mystery","","1","396ba16d-4d8f-4610-a946-394d1e88a62e","c19","Commander 2019"
"21","","en","Thieving Amalgam","","1","06ed7c94-ed3c-427a-b62a-32e91e054671","c19","Commander 2019"
"205","","en","Urban Evolution","","1","ccad9db2-19e3-4ed9-8dda-9badf510e945","c19","Commander 2019"
"101","","en","Vesuvan Shapeshifter","","1","1fe9eaf6-8f48-4b97-a6f8-a22a63225ed6","c19","Commander 2019"
"36","","en","Voice of Many","","1","f82328e9-fb4b-4dc9-afd6-fa210e4330bf","c19","Commander 2019"
"207","","en","Vraska the Unseen","","1","a6ab9d2b-6cb3-4477-8d0e-712c530383bd","c19","Commander 2019"
"102","","en","Willbender","","1","6e6a3551-250c-4563-8c30-6d8f49e6429f","c19","Commander 2019"
"287","","en","Yavimaya Coast","","1","2f68a254-e104-42c6-954c-390a8b8f9558","c19","Commander 2019"
"286","","en","Woodland Stream","","1","d996a106-40b1-43fe-b7b9-359620c3794c","c19","Commander 2019"
"300","","en","Forest","","7","afa69d38-3344-425e-88ff-0155d8bfc1f0","c19","Commander 2019"
"292","","en","Island","","5","8cf9b48e-cf58-43a9-94ff-2d50846c3386","c19","Commander 2019"
"48","foil","en","Rayami, First of the Fallen","","1","6997ad62-f34c-4490-aee4-6d5c08e14709","c19","Commander 2019"
"51","foil","en","Volrath, the Shapestealer","","1","a149d6a5-c865-475a-87b7-596a19f6c80d","c19","Commander 2019"
"294","","en","Swamp","","3","f5a65d3b-83e7-4f32-89b3-d152e66f1868","c19","Commander 2019"
