collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Zinnia, Valley's Voice","","1","dfe36901-5841-4942-8b61-c273111f715e","blc","Bloomburrow Commander"
"65","","en","Plumecreed Escort","","1","f71320ed-2f30-49ce-bcb0-19aebba3f0e8","blb","Bloomburrow"
"127","","en","Arcane Signet","","1","28180667-cc1e-4f64-9a69-00425ef85ba0","blc","Bloomburrow Commander"
"130","","en","Command Tower","","1","63a39996-48b7-42bb-9759-a42382ee0468","blc","Bloomburrow Commander"
"129","","en","Sol Ring","","1","fff440c0-7e6a-46c2-9989-f1b5af20fd44","blc","Bloomburrow Commander"
"21","","en","Agate Instigator","","1","9f838603-f7cd-497d-8d2b-d4cca03c1af7","blc","Bloomburrow Commander"
"14","","en","Fortune Teller's Talent","","1","a1d43877-20ab-4e84-a597-4b5e03a6bf90","blc","Bloomburrow Commander"
"345","","en","Terramorphic Expanse","","1","21bb96d8-483c-4fde-97ea-08be9570c289","blc","Bloomburrow Commander"
"9","","en","Jacked Rabbit","","1","2c695df6-6bf2-4e6b-8500-e3116137ca27","blc","Bloomburrow Commander"
"38","","en","Rapid Augmenter","","1","c4643565-a462-45ce-b5ed-f19b796a64c5","blc","Bloomburrow Commander"
"10","","en","Murmuration","","1","561c9c4e-942e-40e8-b5f2-ac709a502f18","blc","Bloomburrow Commander"
"15","","en","Pollywog Prodigy","","1","94a020df-714b-4465-bfa2-ac15f27d8412","blc","Bloomburrow Commander"
"23","","en","Calamity of Cinders","","1","97c72d4b-a5d4-4f68-bbcd-b7ed0326fc1c","blc","Bloomburrow Commander"
"105","","en","Cut a Deal","","1","27a233b3-aeb3-4bc4-8c81-fcca514c3eb5","blc","Bloomburrow Commander"
"97","","en","Elspeth, Sun's Champion","","1","6f816d97-10f0-4d92-aa21-254754530554","blc","Bloomburrow Commander"
"111","","en","Rapid Hybridization","","1","213bdaac-8044-4af3-b568-2859e3087082","blc","Bloomburrow Commander"
"131","","en","Exotic Orchard","","1","e6d8d98d-29b2-4ca2-bbda-4db2e8f6ae0b","blc","Bloomburrow Commander"
"128","","en","Boros Signet","","1","03c9e279-861a-416b-99fb-68f752882ac2","blc","Bloomburrow Commander"
"110","","en","Chart a Course","","1","b005b866-b83c-4413-9db7-465f614a4029","blc","Bloomburrow Commander"
"107","","en","Loyal Warhound","","1","1d01ce54-3f64-465e-835a-27c55753926b","blc","Bloomburrow Commander"
"24","","en","Echoing Assault","","1","3213bfee-c0a0-49a2-9080-cdaa09b414c5","blc","Bloomburrow Commander"
"291","","en","Adarkar Wastes","","1","d501527c-1bf5-4b59-9bff-e4562181a096","blc","Bloomburrow Commander"
"162","","en","Bident of Thassa","","1","60a9018a-24a9-4c25-89ca-4ac52a60fbf1","blc","Bloomburrow Commander"
"161","","en","Aetherize","","1","468aeb4d-d970-4332-8e8b-a3d57cb661a9","blc","Bloomburrow Commander"
"160","","en","Aether Channeler","","1","213df60e-5ada-41ff-98e6-0ba094a6bed2","blc","Bloomburrow Commander"
"139","","en","Hanged Executioner","","1","2791a28a-30fa-4f1a-9f05-f3db155b6f06","blc","Bloomburrow Commander"
"134","","en","Angel of the Ruins","","1","dd6a9c1c-b484-49c5-aa0f-ca2fb1e6a3ef","blc","Bloomburrow Commander"
"293","","en","Battlefield Forge","","1","24323a73-8c9a-4cd4-a98f-9ea0d1f33bf6","blc","Bloomburrow Commander"
"265","","en","Azorius Signet","","1","0c9d0822-a6df-4cd4-80d6-520ea627791d","blc","Bloomburrow Commander"
"136","","en","Blade Splicer","","1","8ea1a510-ec87-4c93-bcf2-0c91738b008f","blc","Bloomburrow Commander"
"137","","en","Boss's Chauffeur","","1","8936a2b6-4b00-4d74-bebb-a76d6f6b09b1","blc","Bloomburrow Commander"
"298","","en","Castle Ardenvale","","1","d2b011b0-3e44-4796-bb0a-615e259184db","blc","Bloomburrow Commander"
"297","","en","Cascade Bluffs","","1","7acefadf-c856-455d-8647-7fa24c24b79b","blc","Bloomburrow Commander"
"267","","en","Circuit Mender","","1","e572c156-3b1b-4b89-b9aa-5992aaa01d4c","blc","Bloomburrow Commander"
"300","","en","Clifftop Retreat","","1","42ca7627-965e-4594-a871-d8d137d6b9a9","blc","Bloomburrow Commander"
"165","","en","Curiosity Crafter","","1","34473117-ede4-492d-bdd1-e89818cfbf5c","blc","Bloomburrow Commander"
"194","","en","Combat Celebrant","","1","3e611db6-0819-487c-bc05-17c92d79c75b","blc","Bloomburrow Commander"
"249","","en","Cloudblazer","","1","0a346703-7ba4-4a4e-af14-7d4d1022ea93","blc","Bloomburrow Commander"
"302","","en","Evolving Wilds","","1","516d6669-929e-4884-ae92-9a98cb7f9376","blc","Bloomburrow Commander"
"138","","en","Dusk // Dawn","","1","00bbcc83-7307-46cc-b164-e1ff502d18a3","blc","Bloomburrow Commander"
