collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"35","foil","en","Arahbo, Roar of the World","","1","81dc3d00-97cd-4549-b5a4-15a1e08767f5","c17","Commander 2017"
"145","","en","Abundance","","1","7f3fff7e-f34d-4a99-a805-bd66c4e9f0cb","c17","Commander 2017"
"162","","en","Behemoth Sledge","","1","c86f0453-f4ea-4f31-8076-e01c118b0f3d","c17","Commander 2017"
"1","","en","Alms Collector","","1","9fe88f96-fd3a-44e5-aa05-3bc63581e33d","c17","Commander 2017"
"2","","en","Balan, Wandering Knight","","1","5d0b279c-9a6d-4a56-878e-0ebf3f609f65","c17","Commander 2017"
"202","","en","Argentum Armor","","1","d2d72bc2-92c4-4525-b89f-25aa236fade8","c17","Commander 2017"
"50","","en","Bloodforged Battle-Axe","","1","b7f22249-579f-433d-9422-29d4e82ddc49","c17","Commander 2017"
"235","","en","Blighted Woodland","","1","d77eda51-6433-433f-8070-ab4a2ac01e2f","c17","Commander 2017"
"237","","en","Blossoming Sands","","1","8577b07c-c3e8-4492-8eaf-0281a4a0ceb9","c17","Commander 2017"
"58","","en","Condemn","","1","a2f1cba7-04ea-4009-9bf2-40d0d291475d","c17","Commander 2017"
"242","","en","Command Tower","","1","d2b1183f-bfc6-425f-9089-8657f7c8822b","c17","Commander 2017"
"146","","en","Crushing Vines","","1","8db0fd01-a3f0-41e4-a378-0f307a201ad3","c17","Commander 2017"
"30","","en","Curse of Bounty","","1","2f497641-b73a-4399-bc89-5274c42e17cc","c17","Commander 2017"
"147","","en","Cultivate","","1","4791c571-289e-4c7a-b642-04f12a1c2200","c17","Commander 2017"
"59","","en","Divine Reckoning","","1","8ac97124-eac7-49f9-b221-301a59d2c360","c17","Commander 2017"
"209","","en","Dreamstone Hedron","","1","86182a67-9ff0-4ad1-98c2-443dd6b23b56","c17","Commander 2017"
"3","","en","Curse of Vitality","","1","c1a80504-d991-4eef-8407-2acf444401f0","c17","Commander 2017"
"247","","en","Elfhame Palace","","1","1ddd0084-349d-4d5f-86af-a3a65dcce73a","c17","Commander 2017"
"248","","en","Evolving Wilds","","1","1d8bbc93-4bb8-4cba-b284-5149ac71767d","c17","Commander 2017"
"172","","en","Fleecemane Lion","","1","e5c834ad-14d4-4c2f-88d3-a6a892299c4c","c17","Commander 2017"
"253","","en","Graypelt Refuge","","1","7f19981b-c9cf-42ac-99cf-6957ff47f6bd","c17","Commander 2017"
"252","","en","Grasslands","","1","47e0ca2f-6059-44e4-996d-e243edbfbd79","c17","Commander 2017"
"212","","en","Grappling Hook","","1","acfbfddd-1535-477d-8bf4-5afd2648ac81","c17","Commander 2017"
"151","","en","Harmonize","","1","fcc39244-3c5e-491e-9b40-dfeed0cb62c8","c17","Commander 2017"
"51","","en","Hammer of Nazahn","","1","fa055f1f-be94-4682-8e4f-f022c95e6d58","c17","Commander 2017"
"213","","en","Hedron Archive","","1","f2dfe2d4-57a4-4136-a272-fd22896c8105","c17","Commander 2017"
"52","","en","Heirloom Blade","","1","aae598eb-871d-45af-b12c-346c344ae74b","c17","Commander 2017"
"214","","en","Hero's Blade","","1","6b945607-e775-48bf-acf1-72b90aeca6cf","c17","Commander 2017"
"31","","en","Hungry Lynx","","1","c0ad6f84-8ede-4411-9979-cefee255fa70","c17","Commander 2017"
"152","","en","Hunter's Prowess","","1","64e0f9db-fd82-44d0-9d98-12275e2f05e8","c17","Commander 2017"
"53","","en","Herald's Horn","","1","07b06421-778a-4d23-862b-30fc5fa25928","c17","Commander 2017"
"61","","en","Jareth, Leonine Titan","","1","a2d609fd-d401-4731-886d-e6ff8abf75f5","c17","Commander 2017"
"63","","en","Kemba, Kha Regent","","1","4876ec2f-6c54-41df-8a7b-9c33d952ff12","c17","Commander 2017"
"62","","en","Jazal Goldmane","","1","22641d54-f16c-417d-b6e0-a77e8f56e31c","c17","Commander 2017"
"153","","en","Jedit Ojanen of Efrava","","1","aba23c7b-27c0-440b-b9b2-f1cd3892ba7b","c17","Commander 2017"
"32","","en","Kindred Summons","","1","2138a618-8ee7-4965-b597-d3e6339a3a6f","c17","Commander 2017"
"260","","en","Krosan Verge","","1","0992a101-775e-4950-b4be-1b2dec96674f","c17","Commander 2017"
"64","","en","Leonin Arbiter","","1","85431851-36c6-4515-8000-d0b9a268b4c9","c17","Commander 2017"
"65","","en","Leonin Relic-Warder","","1","c938a21a-ea74-4cc1-a175-08b9b98b2e4e","c17","Commander 2017"
"216","","en","Loxodon Warhammer","","1","08417d60-0896-40b4-8dab-f36c65df67df","c17","Commander 2017"
"66","","en","Leonin Shikari","","1","47db94ce-e9f3-4bc3-b05f-17fde1d91329","c17","Commander 2017"
"215","","en","Lightning Greaves","","1","ccff131c-2a66-4ebf-97f1-774c9f41b222","c17","Commander 2017"
"181","","en","Mirari's Wake","","1","0b461cce-02c7-4c93-afaa-32400ff82942","c17","Commander 2017"
"262","","en","Myriad Landscape","","1","7c63114c-0324-4bca-8d7d-0f83f3b5c0eb","c17","Commander 2017"
"261","","en","Mosswort Bridge","","1","f1bc3755-054d-4037-aea2-7376c0b865c8","c17","Commander 2017"
"266","","en","Opal Palace","","1","c7d25e91-a1a4-4c64-bb4e-3aac8145d885","c17","Commander 2017"
"155","","en","Nissa's Pilgrimage","","1","ccf744d0-4349-4338-99aa-db0780c7296f","c17","Commander 2017"
"68","","en","Oreskos Explorer","","1","c1a0c5b4-8988-4bef-8922-730df8bd73a2","c17","Commander 2017"
"56","","en","Path of Ancestry","","1","70e70720-f0b9-4ad7-9366-927d6798d31e","c17","Commander 2017"
"188","","en","Phantom Nishoba","","1","8288050c-8074-4a44-803c-8ef6427ec038","c17","Commander 2017"
"157","","en","Relic Crush","","1","c5847d69-bab0-43ff-8068-ecf87aa01d98","c17","Commander 2017"
