collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","","en","Isperia, Supreme Judge","","1","de3278de-a045-4290-b05f-3b19e7055091","scd","Starter Commander Decks"
"310","","en","Moorland Haunt","","1","df8bbd04-981e-45ec-a835-7237350630cf","scd","Starter Commander Decks"
"25","","en","Hanged Executioner","","1","eb405cb1-3643-417c-b27f-4b6c3dca3a96","scd","Starter Commander Decks"
"23","","en","Generous Gift","","1","cd0f77d1-dd28-41c2-a508-4a8c9e3262ef","scd","Starter Commander Decks"
"36","","en","Storm Herd","","1","cd96606b-b6f5-4caf-81c4-1676a1090ae4","scd","Starter Commander Decks"
"27","","en","Kangee's Lieutenant","","1","d0caf32b-ab0e-4207-9aaa-75c19f88cdd9","scd","Starter Commander Decks"
"237","","en","Migratory Route","","1","4356ddc7-32d3-4b46-88b0-5a4fe7fd2c46","scd","Starter Commander Decks"
"21","","en","Emeria Angel","","1","a30852be-473c-40f3-98bf-2d48fcde0239","scd","Starter Commander Decks"
"55","","en","Inspired Sphinx","","1","21522dff-8a65-4816-8b6e-b71270fda3cd","scd","Starter Commander Decks"
"297","","en","Command Tower","","1","cae0c9e0-3be9-4151-9d59-658a032c30e9","scd","Starter Commander Decks"
"38","","en","True Conviction","","1","e3afc893-58bb-4620-94e9-ed544e93d830","scd","Starter Commander Decks"
"59","","en","Sharding Sphinx","","1","2861e7a8-0cf5-4b65-adf9-5e7863032c9c","scd","Starter Commander Decks"
"51","","en","Faerie Formation","","1","854c4251-c07b-4886-ae12-2b3b61ca2807","scd","Starter Commander Decks"
"285","","en","Thought Vessel","","1","b54a2a39-83ec-4dd8-8599-6ce7ca338bb3","scd","Starter Commander Decks"
"259","","en","Azorius Signet","","1","7a9492ab-04a3-4251-a47e-b51eaba0b909","scd","Starter Commander Decks"
"45","","en","Counterspell","","1","52042404-12db-4914-bfa0-8249a5942088","scd","Starter Commander Decks"
"325","","en","Temple of Enlightenment","","1","cd3b17ec-662e-4c84-bd35-dfa00944ff32","scd","Starter Commander Decks"
"37","","en","Swords to Plowshares","","1","57c2632e-5181-43e4-8744-baafb8f7d213","scd","Starter Commander Decks"
"314","","en","Prairie Stream","","1","88b20980-f672-41f6-97ab-f8353d2bbbae","scd","Starter Commander Decks"
"261","","en","Commander's Sphere","","1","686b4c7f-5b42-4625-8ff9-782795eec264","scd","Starter Commander Decks"
"276","","en","Sol Ring","","1","1b023575-4cb5-434f-92ef-d3b81aaa3c3e","scd","Starter Commander Decks"
"43","","en","Angler Turtle","","1","01c029b2-dbe8-477e-9b61-6df666978444","scd","Starter Commander Decks"
"42","","en","Aetherize","","1","ead56c6e-889c-48d9-87bb-9f80e5bac9b3","scd","Starter Commander Decks"
"216","","en","Absorb","","1","3364dd1b-df21-48a9-9059-f26b992ce7af","scd","Starter Commander Decks"
"257","","en","Arcane Signet","","1","02cb9420-fbfb-4123-a830-a992ff470db6","scd","Starter Commander Decks"
"7","","en","Archon of Redemption","","1","2243270a-2e7c-4239-af2e-9b6b47124237","scd","Starter Commander Decks"
"9","","en","Banishing Light","","1","078a222f-2efb-44ed-95d8-6435bd026611","scd","Starter Commander Decks"
"8","","en","Aven Gagglemaster","","1","a07568b2-5a1f-4aaf-bd71-57b41bae925d","scd","Starter Commander Decks"
"44","","en","Bident of Thassa","","1","0a024104-3d51-438e-9e72-a2e727450b7d","scd","Starter Commander Decks"
"10","","en","Cartographer's Hawk","","1","c72102e8-3bcf-4164-a41a-43e3cf1b4b72","scd","Starter Commander Decks"
"221","","en","Cloudblazer","","1","a5164d21-7c2a-4a6f-a22f-114e3dd29579","scd","Starter Commander Decks"
"12","","en","Cleansing Nova","","1","31619741-1899-4503-bc1c-176a3248df86","scd","Starter Commander Decks"
"296","","en","Coastal Tower","","1","11721250-c377-475c-86b7-78be44153114","scd","Starter Commander Decks"
"15","","en","Condemn","","1","8554c243-b300-47c2-8dbb-f6a054b894f9","scd","Starter Commander Decks"
"16","","en","Crush Contraband","","1","0bdf1bc0-116e-4fd0-bbc8-1e284b92d7c0","scd","Starter Commander Decks"
"47","","en","Diluvian Primordial","","1","5a12f12c-90d0-4abe-afaa-44f9cdda5648","scd","Starter Commander Decks"
"20","","en","Disenchant","","1","d32a8448-de76-4d1e-a3dd-8fffeab71216","scd","Starter Commander Decks"
"226","","en","Empyrean Eagle","","1","3eb10702-c72b-4c31-8db2-f8e17d9708e0","scd","Starter Commander Decks"
"52","","en","Favorable Winds","","1","cc11f0f5-ecdc-42a7-9f6a-ecdd44dbc0a2","scd","Starter Commander Decks"
"50","","en","Ever-Watching Threshold","","1","1fb0d8fa-48d0-4143-b8c4-d3b01a0bd7cc","scd","Starter Commander Decks"
"24","","en","Gideon Jura","","1","df0d1217-4d83-4292-80e2-f2d86e82aae4","scd","Starter Commander Decks"
"54","","en","Gravitational Shift","","1","86463838-81d0-464d-84ba-37fa1c76bbea","scd","Starter Commander Decks"
"266","","en","Hedron Archive","","1","7e93db59-2554-4477-a18a-7c2ae4f8d30f","scd","Starter Commander Decks"
"232","","en","Jubilant Skybonder","","1","d8a649ec-4f64-4b50-a96c-ac967502b3a2","scd","Starter Commander Decks"
"234","","en","Kangee, Sky Warden","","1","2f146425-749c-47f1-ae79-1c6cb113f425","scd","Starter Commander Decks"
"308","","en","Meandering River","","1","01c4f4c9-4f3d-4b4a-86e3-1d4c49da2de8","scd","Starter Commander Decks"
"58","","en","Negate","","1","cfc1c914-fa52-4492-8dee-0c35bebc3766","scd","Starter Commander Decks"
"271","","en","Pilgrim's Eye","","1","3f1f7a03-97a6-4238-9add-4947e784fd08","scd","Starter Commander Decks"
"313","","en","Port Town","","1","2d26f878-60a5-428e-ba27-18321f22811d","scd","Starter Commander Decks"
"30","","en","Rally of Wings","","1","6209f8ce-651a-450d-a7fb-37d09144e70a","scd","Starter Commander Decks"
"31","","en","Remorseful Cleric","","1","9058aa42-96bb-4a8e-a2b9-a1a0905de99e","scd","Starter Commander Decks"
"317","","en","Sejiri Refuge","","1","fa5affde-a4ce-4adb-97aa-8f0b14087523","scd","Starter Commander Decks"
"33","","en","Sephara, Sky's Blade","","1","33777ebf-bc27-4e87-bdd6-69dfc979b91f","scd","Starter Commander Decks"
"274","","en","Skyscanner","","1","c8ab2d4a-9559-46e8-b393-ad5a4189f74e","scd","Starter Commander Decks"
"243","","en","Skycat Sovereign","","1","8276bec2-1a3c-425c-928f-866b8ef05e97","scd","Starter Commander Decks"
"273","","en","Sky Diamond","","1","1ee51c34-0e2e-4c91-8de8-7d5f4633b567","scd","Starter Commander Decks"
"34","","en","Soul Snare","","1","05cde3d4-de11-4f25-ac06-c6ffebc4615d","scd","Starter Commander Decks"
"244","","en","Sphinx's Revelation","","1","ebdf5426-a8c7-462e-924a-fd8f4cca4559","scd","Starter Commander Decks"
"246","","en","Staggering Insight","","1","fe50be3b-7d22-49c1-a2f1-b2c5786090be","scd","Starter Commander Decks"
"35","","en","Steel-Plume Marshal","","1","d35353c1-65a9-4ddc-b7c7-f15b93a7f21c","scd","Starter Commander Decks"
"283","","en","Talisman of Progress","","1","61e49bfe-e1af-4919-8134-b87995ca9073","scd","Starter Commander Decks"
"251","","en","Thunderclap Wyvern","","1","b162acd7-3a19-4a7a-a9bc-d65c92062ab8","scd","Starter Commander Decks"
"252","","en","Time Wipe","","1","f7663ff4-dd25-4259-bf82-8bbb5c384051","scd","Starter Commander Decks"
"62","","en","Tide Skimmer","","1","c5708b3b-103a-40f3-a4bb-73a499277611","scd","Starter Commander Decks"
"329","","en","Tranquil Cove","","1","00c7fcad-7f53-479b-bbce-9d56e2507d91","scd","Starter Commander Decks"
"40","","en","Vow of Duty","","1","2348be2b-2d33-4214-8f80-cf17c9619eb5","scd","Starter Commander Decks"
"63","","en","Warden of Evos Isle","","1","2efe4dc9-915b-4715-8fff-1862682a7305","scd","Starter Commander Decks"
"64","","en","Windreader Sphinx","","1","2a36def6-60a5-49c7-bb4f-4f0960ab8f3b","scd","Starter Commander Decks"
"65","","en","Winged Words","","1","75fc5499-ed62-4de4-a9bc-72b47f72bd2e","scd","Starter Commander Decks"
"337","","en","Island","","15","e3de0391-c658-4dab-bef1-2aaf4eae7720","scd","Starter Commander Decks"
"336","","en","Plains","","15","b18fb598-90bf-41fa-ab53-a182580296e5","scd","Starter Commander Decks"
"61","foil","en","Sphinx of Enlightenment","","1","0c681f35-e584-45a0-aa4d-bc8955ab1a8a","scd","Starter Commander Decks"
