collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Frodo, Adventurous Hobbit","","1","328df403-7428-4b17-bdd1-9759fc0f32d8","ltc","Tales of Middle-earth Commander"
"7","foil","en","Sam, Loyal Attendant","","1","687a2b76-3f05-4732-bd9b-513d06d16300","ltc","Tales of Middle-earth Commander"
"284","","en","Sol Ring","","1","5805f64c-dd88-4e94-8f0a-a01dae67e3ba","ltc","Tales of Middle-earth Commander"
"95","","en","Mirkwood Bats","","1","15f035df-784a-4dc8-b7f5-77139a4e6e99","ltr","The Lord of the Rings: Tales of Middle-earth"
"261","","en","Shire Terrace","","1","25932483-58cd-4ae5-82bf-ab455177d117","ltr","The Lord of the Rings: Tales of Middle-earth"
"27","","en","Rosie Cotton of South Lane","","1","75338f49-1f02-4333-87e4-5779ef14e688","ltr","The Lord of the Rings: Tales of Middle-earth"
"169","","en","Generous Ent","","1","85d22d5d-3875-42ff-b51e-c6e21db201f5","ltr","The Lord of the Rings: Tales of Middle-earth"
"197","","en","Butterbur, Bree Innkeeper","","1","f3fd9ff1-278b-4e6a-b30b-90250d8b5762","ltr","The Lord of the Rings: Tales of Middle-earth"
"48","","en","Bilbo, Birthday Celebrant","","1","4cf6c13b-d898-4066-b006-9a7fa896d55a","ltc","Tales of Middle-earth Commander"
"21","","en","Landroval, Horizon Witness","","1","5684483b-9a6a-499b-a5e1-e2815ee03cdb","ltr","The Lord of the Rings: Tales of Middle-earth"
"306","","en","Evolving Wilds","","1","e24ec4c1-5a28-450d-8e37-62a154749ee6","ltc","Tales of Middle-earth Commander"
"316","","en","Graypelt Refuge","","1","07e81ace-4d75-4d79-ab99-c42288580def","ltc","Tales of Middle-earth Commander"
"30","","en","Shire Shirriff","","1","444b687f-2571-4c55-a497-d24b9e18bc0f","ltr","The Lord of the Rings: Tales of Middle-earth"
"185","","en","Revive the Shire","","1","46b7f493-1b57-4b07-8510-30703282f879","ltr","The Lord of the Rings: Tales of Middle-earth"
"7","","en","Eagles of the North","","1","c1bd3bc0-77bd-40fe-b4f1-835a04cb6e41","ltr","The Lord of the Rings: Tales of Middle-earth"
"61","","en","Merry, Warden of Isengard","","1","56a66d3b-3308-4db7-8fc1-97bb85bdcbf3","ltc","Tales of Middle-earth Commander"
"65","","en","Pippin, Warden of Isengard","","1","a0a7a648-125a-4cf4-bf8b-e1773d8723ff","ltc","Tales of Middle-earth Commander"
"12","","en","The Gaffer","","1","863ed552-dc6d-4910-b188-3cefc3ebf0ed","ltc","Tales of Middle-earth Commander"
"17","","en","Of Herbs and Stewed Rabbit","","1","c58623cb-8b49-470c-9622-dd6e09d47599","ltc","Tales of Middle-earth Commander"
"11","","en","Field-Tested Frying Pan","","1","1d770a59-1c54-407e-9c58-8d8b6f44c90a","ltc","Tales of Middle-earth Commander"
"15","","en","Gwaihir, Greatest of the Eagles","","1","9c17c3bb-aa20-43b0-8a28-b46a18b060ef","ltc","Tales of Middle-earth Commander"
"36","","en","Assemble the Entmoot","","1","409c226b-ef01-4ccd-b23e-d94bdc1e4aa5","ltc","Tales of Middle-earth Commander"
"42","","en","Motivated Pony","","1","9be4f8b6-90ef-4c77-ae70-bffae229d243","ltc","Tales of Middle-earth Commander"
"37","","en","Feasting Hobbit","","1","17662301-7284-40d4-af51-45a496c0eac0","ltc","Tales of Middle-earth Commander"
"28","","en","Rapacious Guest","","1","ff9dfba4-07d2-4407-a441-88acc7284d43","ltc","Tales of Middle-earth Commander"
"47","","en","Banquet Guests","","1","f4994a52-667f-46cf-9893-2f18b1f8bea2","ltc","Tales of Middle-earth Commander"
"27","","en","Lobelia, Defender of Bag End","","1","6d67a523-bda9-4f8b-bd50-dc015f9b4b7a","ltc","Tales of Middle-earth Commander"
"55","","en","Farmer Cotton","","1","25b49eaa-13e7-4f4e-b0dc-56ebd28a4a22","ltc","Tales of Middle-earth Commander"
"43","","en","Prize Pig","","1","a0b202d8-3c25-467e-86ed-6bea19bb869f","ltc","Tales of Middle-earth Commander"
"26","","en","Gollum, Obsessed Stalker","","1","e5a43cf0-60b3-4770-945c-41ee3ec54d5a","ltc","Tales of Middle-earth Commander"
"73","","en","Treebeard, Gracious Host","","1","cf6be41a-1acd-4668-8f13-ccd495fbc7bd","ltc","Tales of Middle-earth Commander"
"76","","en","Hithlain Rope","","1","bbe6e907-eafb-402c-8b8f-4c01fb168a0b","ltc","Tales of Middle-earth Commander"
"175","","en","Path to Exile","","1","58237803-5afc-445f-ba95-2233935fdac1","ltc","Tales of Middle-earth Commander"
"235","","en","Birds of Paradise","","1","45835349-99c3-4071-95d1-7191110bfd9f","ltc","Tales of Middle-earth Commander"
