collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Inquisitor Greyfax","","1","86a4afac-69fd-46e9-8009-58de59bf3f5c","40k","Warhammer 40,000 Commander"
"8","foil","en","Marneus Calgar","","1","e7517e8e-b424-4731-ba9d-6132bdefa6bf","40k","Warhammer 40,000 Commander"
"184★","foil","en","Deploy to the Front","","1","24370b34-b127-47f3-a298-5ae06e9ccd0a","40k","Warhammer 40,000 Commander"
"185★","foil","en","Entrapment Maneuver","","1","cf3b5214-040e-4ff1-acf5-671004b94be6","40k","Warhammer 40,000 Commander"
"189★","foil","en","Martial Coup","","1","f06e7b7e-bd02-4e57-af3c-63daa0be7c2e","40k","Warhammer 40,000 Commander"
"188★","foil","en","Launch the Fleet","","1","ad04603a-1c0d-4c28-8d1e-f039d59e2367","40k","Warhammer 40,000 Commander"
"113★","foil","en","Company Commander","","1","5572531d-155e-4833-a42c-565beb018705","40k","Warhammer 40,000 Commander"
"283★","foil","en","Memorial to Glory","","1","e70f0ef5-1086-4b3d-8c63-3614d43d19eb","40k","Warhammer 40,000 Commander"
"157★","foil","en","The Golden Throne","","1","b9110c5b-bfe5-4164-ba26-7a7f01dabf4d","40k","Warhammer 40,000 Commander"
"10★","foil","en","Celestine, the Living Saint","","1","6a5bd8cd-8f5c-4a92-bdfc-9798c1731c2d","40k","Warhammer 40,000 Commander"
"127★","foil","en","Inquisitor Eisenhorn","","1","9780ef78-4177-4e19-81d1-a69b8f2dad3d","40k","Warhammer 40,000 Commander"
"29★","foil","en","Arco-Flagellant","","1","b6e2a217-a857-4c62-aa39-e72a95094ddb","40k","Warhammer 40,000 Commander"
"104★","foil","en","Assault Intercessor","","1","99a383e9-e9d9-42f6-b0bd-bfca17df82d2","40k","Warhammer 40,000 Commander"
"182★","foil","en","Bastion Protector","","1","caa14743-b3cd-4b8d-9a31-3da9550d1b4e","40k","Warhammer 40,000 Commander"
"278★","foil","en","Exotic Orchard","","1","6380eae9-9839-4b89-9b5f-cfdb8fad6b6b","40k","Warhammer 40,000 Commander"
"163★","foil","en","Reaver Titan","","1","494556e9-06e7-40fd-b967-cd2631b5b91a","40k","Warhammer 40,000 Commander"
"159★","foil","en","Inquisitorial Rosette","","1","dae655f8-8e3f-4466-86d3-1bba13665370","40k","Warhammer 40,000 Commander"
"114★","foil","en","Cybernetica Datasmith","","1","a4622095-adf4-4f83-83e7-fbc4ce12c471","40k","Warhammer 40,000 Commander"
"25★","foil","en","Sicarian Infiltrator","","1","8e4ad023-6672-4f6f-838a-7f923ef44a80","40k","Warhammer 40,000 Commander"
"14★","foil","en","Space Marine Devastator","","1","8e1f69b0-ad8c-4b6a-907a-2d84a44ba408","40k","Warhammer 40,000 Commander"
"106★","foil","en","Belisarius Cawl","","1","2dc4a3de-e9ae-4023-9cac-d9043fe3d3ca","40k","Warhammer 40,000 Commander"
