collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"173","foil","en","Inquisitor Greyfax","","1","1956cebe-bb71-45cc-b4ff-72ee3bb95c81","40k","Warhammer 40,000 Commander"
"307","","en","Island","","5","bcddeb71-3109-4a08-852f-b437c0a0c4ab","40k","Warhammer 40,000 Commander"
"306","","en","Plains","","8","3cf6c0d0-5de8-4909-aaaa-be46466fb370","40k","Warhammer 40,000 Commander"
"314","","en","Swamp","","7","575fadbe-75a6-4183-be46-53de6af74790","40k","Warhammer 40,000 Commander"
"229","","en","Arcane Signet","","1","8191befc-dcf7-4cb8-89ca-3461d55e4682","40k","Warhammer 40,000 Commander"
"272","","en","Command Tower","","1","c1bda37b-7702-462e-8851-af6917b78ee1","40k","Warhammer 40,000 Commander"
"264","","en","Arcane Sanctum","","1","fa675944-8400-4468-bacc-a0d63c767e01","40k","Warhammer 40,000 Commander"
"265","","en","Ash Barrens","","1","2816a820-bde0-404a-ba2c-86fbe461e01b","40k","Warhammer 40,000 Commander"
"276","","en","Dismal Backwater","","1","8c8099d6-44c1-48c7-ae87-985160eee63c","40k","Warhammer 40,000 Commander"
"277","","en","Evolving Wilds","","1","184e5367-e901-4a0b-a2f5-06db42e6cf31","40k","Warhammer 40,000 Commander"
"244","","en","Mind Stone","","1","c729606e-5b13-4699-b7c8-feca69c91f62","40k","Warhammer 40,000 Commander"
"225","","en","Mortify","","1","02040930-4446-4c95-947b-9685c068ce4f","40k","Warhammer 40,000 Commander"
"293","","en","Scoured Barrens","","1","2b7d85b4-3abc-49a8-8ff2-715ad8cbf4ab","40k","Warhammer 40,000 Commander"
"248","","en","Skullclamp","","1","04733881-38a3-404c-837f-fad3fc5a5647","40k","Warhammer 40,000 Commander"
"251","","en","Sol Ring","","1","ebfcda26-1f28-4d60-bc7b-8c0bafc6b132","40k","Warhammer 40,000 Commander"
"190","","en","Swords to Plowshares","","1","99263917-25ca-4d54-b1f9-d6d316747088","40k","Warhammer 40,000 Commander"
"303","","en","Tranquil Cove","","1","c3fb0661-5df4-4935-8f44-a0f83a22a81c","40k","Warhammer 40,000 Commander"
"233","","en","Commander's Sphere","","1","790882a8-a1b7-421a-b840-045bd12a0a55","40k","Warhammer 40,000 Commander"
"274","","en","Darkwater Catacombs","","1","a05ba40c-d2d9-47e0-824c-e1b1c8e27dd9","40k","Warhammer 40,000 Commander"
"238","","en","Everflowing Chalice","","1","65412ea8-d9c4-481f-ad9e-5fd589bdb2f7","40k","Warhammer 40,000 Commander"
"278","","en","Exotic Orchard","","1","ec9c7011-694b-4705-b85c-bf4edf26e437","40k","Warhammer 40,000 Commander"
"301","","en","Terramorphic Expanse","","1","67161521-aae6-4017-abf8-46f3a41b59bc","40k","Warhammer 40,000 Commander"
"185","","en","Entrapment Maneuver","","1","7643bb9a-49b3-4163-9b24-0fefffc69b56","40k","Warhammer 40,000 Commander"
"287","","en","Path of Ancestry","","1","5410dbe8-006d-4267-92f1-b9bd7b1069e3","40k","Warhammer 40,000 Commander"
"187","","en","Hour of Reckoning","","1","8d787021-6a02-4394-875d-ef529fa3d38e","40k","Warhammer 40,000 Commander"
"290","","en","Prairie Stream","","1","59dd0b5a-db67-4d77-8450-382212009cf4","40k","Warhammer 40,000 Commander"
"295","","en","Sunken Hollow","","1","8b195fba-e0e0-4f89-b667-8d54286dd6fe","40k","Warhammer 40,000 Commander"
"294","","en","Skycloud Expanse","","1","2f829053-b1db-4e64-b243-5be6c93f8af7","40k","Warhammer 40,000 Commander"
