collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"10","","en","Nahiri, the Lithomancer","","1","9a226eae-1c77-45a9-9115-f846b76681a3","c14","Commander 2014"
"64","","en","Afterlife","","1","258946f2-294a-4ddf-be91-9ff4c94e4bdb","c14","Commander 2014"
"59","","en","Arcane Lighthouse","","1","977e3112-b141-44c0-9e8d-d7a0b93092b9","c14","Commander 2014"
"228","","en","Argentum Armor","","1","c5247934-554a-44fb-ad5c-0e581c4421a6","c14","Commander 2014"
"1","","en","Angel of the Dire Hour","","1","842a5729-8df4-448a-a763-14a48e5b504a","c14","Commander 2014"
"53","","en","Assault Suit","","1","5074e318-ef4e-4779-988c-d2e043c41cfb","c14","Commander 2014"
"66","","en","Brave the Elements","","1","4c8ff6cd-e3ac-4024-aacb-86f7e1f43ba0","c14","Commander 2014"
"65","","en","Armistice","","1","b09148ec-cb92-4240-b446-135036174abc","c14","Commander 2014"
"2","","en","Angelic Field Marshal","","1","4e8185b9-f559-47e8-ae90-d62396b4aa6b","c14","Commander 2014"
"229","","en","Bonehoard","","1","75dc1b48-7d49-45ac-b345-988392183ff0","c14","Commander 2014"
"3","","en","Benevolent Offering","","1","2a1603aa-bf6f-4a9d-b370-22f2286d0d36","c14","Commander 2014"
"63","","en","Adarkar Valkyrie","","1","742cd669-c570-4f14-9bce-acfd08a27ed5","c14","Commander 2014"
"67","","en","Cathars' Crusade","","1","9cddd843-78c6-4d47-8137-cd17e559ddd2","c14","Commander 2014"
"54","","en","Commander's Sphere","","1","61e0a922-1689-484f-abb3-902ce1c964ca","c14","Commander 2014"
"69","","en","Condemn","","1","97eb5d19-8e8f-4102-9faa-87f01d81491f","c14","Commander 2014"
"68","","en","Celestial Crusader","","1","147dc9b4-5fa6-4477-b3ea-40f09026efdf","c14","Commander 2014"
"4","","en","Comeuppance","","1","92d59c06-41f7-4009-9157-70ba90cc978b","c14","Commander 2014"
"292","","en","Drifting Meadow","","1","eb41cf1c-6774-4624-be01-206b568030de","c14","Commander 2014"
"70","","en","Decree of Justice","","1","312e1aee-3aa5-49e0-ac56-c4865854aa77","c14","Commander 2014"
"5","","en","Containment Priest","","1","c2c794b9-09da-49be-b258-b0e21f1663e3","c14","Commander 2014"
"6","","en","Deploy to the Front","","1","10744088-b028-43aa-8a77-cd2a430fbfb6","c14","Commander 2014"
"293","","en","Emeria, the Sky Ruin","","1","bb89c14b-028a-4bef-ae94-703198ef0376","c14","Commander 2014"
"7","","en","Fell the Mighty","","1","d4e999d3-c2d7-47dc-81ad-a2baf6cc4757","c14","Commander 2014"
"72","","en","Geist-Honored Monk","","1","83d2a36f-7932-4336-937a-757ad8a3ae62","c14","Commander 2014"
"71","","en","Flickerwisp","","1","d319c24e-ce54-4e1f-96cc-488adc377015","c14","Commander 2014"
"298","","en","Ghost Quarter","","1","ccc1c460-64c5-47be-a633-439863baa6a1","c14","Commander 2014"
"74","","en","Grand Abolisher","","1","aba5b9a4-c4d8-40c1-8351-7eb4c0bcc4a5","c14","Commander 2014"
"73","","en","Gift of Estates","","1","561e1994-0b8d-436c-9934-41c486dc8ff8","c14","Commander 2014"
"8","","en","Hallowed Spiritkeeper","","1","94ebd5bd-99b3-4371-9ca2-e0504db1458e","c14","Commander 2014"
"9","","en","Jazal Goldmane","","1","c410d530-e9fc-4dc0-a4bd-70bd70aaf0c7","c14","Commander 2014"
"56","","en","Loreseeker's Stone","","1","0adf38d1-6eaa-49e8-a3fb-5c03b2150fd8","c14","Commander 2014"
"247","","en","Loxodon Warhammer","","1","9b62d153-fb1b-47f1-91d5-d33455d9e65e","c14","Commander 2014"
"80","","en","Midnight Haunting","","1","4399dcc7-7684-4345-9f74-318c3ec9af82","c14","Commander 2014"
"303","","en","Karoo","","1","a0eeca39-6f76-488e-b3c0-99441539705f","c14","Commander 2014"
"75","","en","Kemba, Kha Regent","","1","c9436a44-e813-4c7b-9bd8-37055f9f7030","c14","Commander 2014"
"76","","en","Kor Sanctifiers","","1","b3261dee-7905-4995-bbf1-a5390fb13b2b","c14","Commander 2014"
"77","","en","Marshal's Anthem","","1","1610a880-8f2f-4a13-a683-f51f5f149f9e","c14","Commander 2014"
"78","","en","Martial Coup","","1","f4503a5c-f3ef-41a6-807d-f335b1a15638","c14","Commander 2014"
"79","","en","Mentor of the Meek","","1","8bc89664-c84d-42cb-9686-28fbc85add8f","c14","Commander 2014"
"248","","en","Marble Diamond","","1","36b75938-31d9-4851-a409-e60b605927c6","c14","Commander 2014"
"249","","en","Mask of Memory","","1","56193a7e-013d-41d3-ac3b-5151e7457768","c14","Commander 2014"
"57","","en","Masterwork of Ingenuity","","1","09686fb3-ae0f-481a-aee6-3fd75fa43557","c14","Commander 2014"
"251","","en","Moonsilver Spear","","1","e5b2a74d-ee03-402d-a7c4-d9363e72c971","c14","Commander 2014"
"81","","en","Mobilization","","1","fc25a245-4d47-45fe-82ae-4e0ecd4ed34e","c14","Commander 2014"
"83","","en","Oblation","","1","eef5ee96-baeb-4d9d-b963-25adf106f572","c14","Commander 2014"
"260","","en","Pearl Medallion","","1","989e1802-1581-402b-a2c6-3ac14121b09a","c14","Commander 2014"
"82","","en","Nomads' Assembly","","1","00afdd58-a6e3-490c-8ff5-3d761fcd3885","c14","Commander 2014"
"85","","en","Return to Dust","","1","ce20eb8c-2815-4dd4-829f-0fda0d865204","c14","Commander 2014"
"84","","en","Requiem Angel","","1","ad135475-d1f6-4e78-a536-6bf61204c739","c14","Commander 2014"
"310","","en","Secluded Steppe","","1","ace0885b-1e7e-4b9d-9f66-36af6b4d8c87","c14","Commander 2014"
"86","","en","Sacred Mesa","","1","377b2bc1-c710-439d-96d2-beef72ae80a7","c14","Commander 2014"
"87","","en","Serra Avatar","","1","4c185a87-1bc6-436b-bfb5-3bcfd676848d","c14","Commander 2014"
"88","","en","Silverblade Paladin","","1","79c43502-5b82-43b6-a62d-162b49667f39","c14","Commander 2014"
"268","","en","Skullclamp","","1","005dae9a-dddc-4a11-95bb-cce319edcce4","c14","Commander 2014"
"89","","en","Skyhunter Skirmisher","","1","42093a3e-772b-4248-892d-ad045e2c5ca4","c14","Commander 2014"
"270","","en","Sol Ring","","1","b79cb394-eb91-4b3b-91d4-c6a0f723feb1","c14","Commander 2014"
"90","","en","Spectral Procession","","1","fbafbfe0-50c0-46a3-8a47-188857e3cb42","c14","Commander 2014"
"274","","en","Strata Scythe","","1","4d623951-3896-494d-bcc5-6caf3cc74bc6","c14","Commander 2014"
"92","","en","Sunblast Angel","","1","f6dea195-3da3-47b4-9a33-5b859881bc01","c14","Commander 2014"
