collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1155","foil","en","Esika, God of the Tree // The Prismatic Bridge","","1","46d43696-3c63-4c55-bc61-e1560c8b8201","sld","Secret Lair Drop"
"AKH-258","","en","Island","","1","4ab864fb-ac47-4dcb-95a8-26174a20afe3","plst","The List"
"AKH-264","","en","Mountain","","1","e705bad9-1c4d-44e2-89ee-9a5824e2effa","plst","The List"
"AKH-256","","en","Plains","","1","0d124ab7-0e37-45e2-988f-c98324bf8d9e","plst","The List"
"HOU-195","","en","Swamp","","1","dd391ae7-5414-4541-ab2a-f148f66dccc8","plst","The List"
"ELD-331","","en","Arcane Signet","","1","db6cdee9-dc3a-450c-a5a6-b34f021939ca","plst","The List"
"CMD-269","","en","Command Tower","","1","96b9b04d-a486-40e6-8d2c-eaaa74668b8c","plst","The List"
"NPH-103","","en","Beast Within","","1","78dc4043-5eba-4917-bb95-3b624fa26c3a","plst","The List"
"RTR-226","","en","Chromatic Lantern","","1","e6ff2c0b-8b01-407f-8485-ac2118da92fb","plst","The List"
"RIX-186","","en","Evolving Wilds","","1","207be7dc-823b-4d7d-9b98-534c895944e4","plst","The List"
"RAV-163","","en","Farseek","","1","c18804c4-fa18-4e2c-82ea-1e3d8ce13d95","plst","The List"
"KTK-234","","en","Frontier Bivouac","","1","126463bf-60d8-4e6c-9162-2874840cc220","plst","The List"
"C20-173","","en","Harmonize","","1","9afa071f-cf55-4056-84a0-1e10218c3827","plst","The List"
"ALA-226","","en","Jungle Shrine","","1","0103f44e-cde0-4a53-85fd-a5a7c09e2511","plst","The List"
"KHC-91","","en","Putrefy","","1","f6359b69-d04f-4e27-b225-6f6f7359677b","plst","The List"
"SHM-237","","en","Rhys the Redeemed","","1","41ce3414-01cd-4c98-999c-c691f8a5545d","plst","The List"
"KTK-241","","en","Sandsteppe Citadel","","1","0ff48ba1-1a91-4189-a24f-7a1a792fd9b0","plst","The List"
"C15-52","","en","Sandstone Oracle","","1","ece24205-28b4-4cf2-b36b-b90544710540","plst","The List"
"CMD-261","","en","Sol Ring","","1","6d5b06e4-bbc8-405b-bc53-1380dba3696e","plst","The List"
"M21-191","","en","Jolrael, Mwonvuli Recluse","","1","54c33010-9418-412e-88dd-e1f8f2f2796a","plst","The List"
"RIX-30","","en","Zetalpa, Primal Dawn","","1","ae7e461c-b07d-482c-978b-4d98a1683abd","plst","The List"
"CMD-248","","en","Fellwar Stone","","1","9c1832a4-b746-4da8-85b0-7edacf09d11e","plst","The List"
"M19-241","","en","Meteor Golem","","1","2add2ff0-4412-4710-aff7-ed82b1f684a8","plst","The List"
"WWK-53","","en","Butcher of Malakir","","1","fc7fc455-90f5-4c22-aa61-5898ab0f65b9","plst","The List"
"C14-54","","en","Commander's Sphere","","1","2dde460a-208f-4758-b172-64123ac69d75","plst","The List"
"CON-142","","en","Exotic Orchard","","1","a7b4b602-ea21-4798-af07-3a713aafee41","plst","The List"
"KTK-238","","en","Opulent Palace","","1","d85f1f7c-5a63-4f4c-b3c8-cd48cccfc6e3","plst","The List"
"ALA-229","","en","Seaside Citadel","","1","968626bd-cda6-4649-bd99-447545303cf6","plst","The List"
"TSP-279","","en","Terramorphic Expanse","","1","85d416ad-5715-4795-9c28-5e385bd70062","plst","The List"
"C17-56","","en","Path of Ancestry","","1","cbd35684-4ce2-45e7-9858-4d2a9efe2e54","plst","The List"
"GTC-33","","en","Diluvian Primordial","","1","ae32a1e5-d207-46a3-8290-850f7ab1e564","plst","The List"
"ALA-228","","en","Savage Lands","","1","1f93a098-215a-4e82-90f3-4ad33c409fab","plst","The List"
"LRW-277","","en","Vivid Grove","","1","c2152076-0023-4fb8-9321-205e0d1b1b26","plst","The List"
"ORI-135","","en","Chandra, Fire of Kaladesh // Chandra, Roaring Flame","","1","b910c6a1-7701-45f1-9dc8-4a3e8a8f023e","plst","The List"
"ORI-106","","en","Liliana, Heretical Healer // Liliana, Defiant Necromancer","","1","5e33c945-cf26-4641-a00e-18fb7f512def","plst","The List"
"ORI-60","","en","Jace, Vryn's Prodigy // Jace, Telepath Unbound","","1","8ceb9356-b7b1-4b86-ace2-39bc726a9155","plst","The List"
"ORI-23","","en","Kytheon, Hero of Akros // Gideon, Battle-Forged","","1","15396cc4-d302-4076-9367-c8312f6a2e61","plst","The List"
"ORI-189","","en","Nissa, Vastwood Seer // Nissa, Sage Animist","","1","aa4103ef-4778-41da-99f5-fa590074cd52","plst","The List"
"SOI-243","","en","Arlinn Kord // Arlinn, Embraced by the Moon","","1","314c478c-cd8e-4256-9542-79846c6f8f63","plst","The List"
"EMN-111","","en","Voldaren Pariah // Abolisher of Bloodlines","","1","a530de57-3bda-4c17-a0ec-c9dacfc3ad1b","plst","The List"
"RNA-130","","en","Guardian Project","","1","4ae13498-33c9-4013-a82a-98f1888033d3","plst","The List"
"GRN-123","","en","Beast Whisperer","","1","55f571b6-ec9a-49c5-9051-d80bd5f3e0c2","plst","The List"
"GRN-168","","en","Emmara, Soul of the Accord","","1","07c42262-6291-43df-ba34-83e462ab56b6","plst","The List"
"DKA-147","","en","Elbrus, the Binding Blade // Withengar Unbound","","1","5d32989c-197d-49c8-8435-d9fbafdf3a8a","plst","The List"
"ISD-181","","en","Garruk Relentless // Garruk, the Veil-Cursed","","1","ed8e75d9-dede-447f-a50c-c87165e436f8","plst","The List"
"WAR-223","","en","Time Wipe","","1","e3a4882f-b2b5-4145-b581-e88d1de94295","plst","The List"
"MH1-29","","en","Sisay, Weatherlight Captain","","1","2814559a-434b-4316-821d-ad3ec5f5ef8f","plst","The List"
"AKH-247","","en","Scattered Groves","","1","7d54be3b-319f-48e4-afd5-a2ab4522a73f","plst","The List"
"AKH-248","","en","Sheltered Thicket","","1","f473eb12-bae3-445a-aa68-0e609aca38ba","plst","The List"
"THB-231","","en","Altar of the Pantheon","","1","a630fab4-cba3-47d3-b845-26ca629a7a43","plst","The List"
"IKO-192","","en","Kinnan, Bonder Prodigy","","1","e7001e09-1ea9-406a-978e-3ff922e264a2","plst","The List"
"PLC-44","","en","Pongify","","1","bc20a8d2-be02-45d1-8f25-6ea38e2875d8","plst","The List"
"KTK-210","","en","Utter End","","1","69a802fb-033f-4f83-b399-52c8c4f28ef9","plst","The List"
"RIX-176","","en","Azor's Gateway // Sanctum of the Sun","","1","de3daeef-e352-4cd9-8411-94ce25c57060","plst","The List"
"RIX-160","","en","Journey to Eternity // Atzal, Cave of Eternity","","1","dbfd926b-041b-404d-bd2d-2e4298076e3f","plst","The List"
"RIX-158","","en","Hadana's Climb // Winged Temple of Orazca","","1","c7b3b169-0d59-46bb-b750-9151abd78af6","plst","The List"
"DMC-107","","en","Urza's Ruinous Blast","","1","5139335b-6ad7-4fe0-ae10-e93bfa89b4dc","plst","The List"
"XLN-235","","en","Dowsing Dagger // Lost Vale","","1","c5c10ebb-3a56-4ea2-813f-f56cf9aaaed2","plst","The List"
"XLN-22","","en","Legion's Landing // Adanto, the First Fort","","1","14a41e7e-9f68-4449-9e2c-4c862036bce5","plst","The List"
"XLN-74","","en","Search for Azcanta // Azcanta, the Sunken Ruin","","1","174bf1be-0228-496d-a306-4a7837519e92","plst","The List"
"XLN-249","","en","Thaumatic Compass // Spires of Orazca","","1","9e60b262-f8cb-4f6b-95e4-acff4ee15df3","plst","The List"
"XLN-250","","en","Treasure Map // Treasure Cove","","1","a0abb596-d226-4853-8dad-b0f210bd4f7a","plst","The List"
"ZNR-259","","en","Brightclimb Pathway // Grimclimb Pathway","","1","6a91d75c-7cdb-4b2a-abdd-c9feae8cb42e","plst","The List"
"ZNR-258","","en","Branchloft Pathway // Boulderloft Pathway","","1","655724d5-ee5f-49f5-92d3-7186ed2789d8","plst","The List"
"ZNR-260","","en","Clearwater Pathway // Murkwater Pathway","","1","3616a2f7-d852-4606-898b-76799c647b40","plst","The List"
