collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Gonti, Canny Acquisitor","","1","03a7e79f-625a-49ac-9cb1-e1fe5f51f5a0","otc","Outlaws of Thunder Junction Commander"
"201","","en","Doc Aurlock, Grizzled Genius","","1","6fc27b30-8c8e-434c-a72c-e1d409efc1ae","otj","Outlaws of Thunder Junction"
"23","","en","Thieving Varmint","","1","8e66d567-9f06-47c1-aa9f-f29ba5e9906a","otc","Outlaws of Thunder Junction Commander"
"21","","en","Heartless Conscription","","1","52fc4862-b57b-42d7-be8b-d9915a0bb4fd","otc","Outlaws of Thunder Junction Commander"
"22","","en","Orochi Soul-Reaver","","1","ec8f372a-d8c7-4f5d-a91d-ec7e5eb17104","otc","Outlaws of Thunder Junction Commander"
"16","","en","Smirking Spelljacker","","1","01d1e394-1b0c-4b40-ba85-f55973703d41","otc","Outlaws of Thunder Junction Commander"
"13","","en","Arcane Heist","","1","3ceb13f4-ac9e-4ddd-9170-545f8d37b87a","otc","Outlaws of Thunder Junction Commander"
"34","","en","Tower Winder","","1","97bf6a6a-e377-4f42-84dd-baf6055c0fb1","otc","Outlaws of Thunder Junction Commander"
"38","","en","Dream-Thief's Bandana","","1","dccdb6cc-dfad-4c7e-9550-3dd12f3e9c79","otc","Outlaws of Thunder Junction Commander"
"33","","en","Savvy Trader","","1","118f25cf-faa6-4d60-a156-27bf7aedf7eb","otc","Outlaws of Thunder Junction Commander"
"93","","en","Dazzling Sphinx","","1","2ddac591-825b-4304-858c-9dc9b311805b","otc","Outlaws of Thunder Junction Commander"
"101","","en","Mind's Dilation","","1","4f2980ba-2468-4a36-afdb-87e6567797a9","otc","Outlaws of Thunder Junction Commander"
"114","","en","Slither Blade","","1","859e5ca5-c184-47ee-a2ea-8075847f46d9","otc","Outlaws of Thunder Junction Commander"
"127","","en","Brainstealer Dragon","","1","884d4eea-77c0-4b78-bb83-3f855cc77298","otc","Outlaws of Thunder Junction Commander"
"135","","en","Gonti, Lord of Luxury","","1","fbbb3aef-af1f-4b77-b7d6-64cfd706a9d9","otc","Outlaws of Thunder Junction Commander"
"126","","en","Baleful Mastery","","1","579e20e7-1395-4a6c-a836-ae3419fc8808","otc","Outlaws of Thunder Junction Commander"
"92","","en","Curse of the Swine","","1","c423ecbc-518e-4ff9-ac0c-38c8eec66b54","otc","Outlaws of Thunder Junction Commander"
"129","","en","Cunning Rhetoric","","1","4a163794-db93-4cf6-a2ea-1af288109dc1","otc","Outlaws of Thunder Junction Commander"
"96","","en","Diluvian Primordial","","1","eb14cd77-d37e-4849-816f-cd36e2a37765","otc","Outlaws of Thunder Junction Commander"
"134","","en","Feed the Swarm","","1","0be3e9b2-db8f-4b1f-8f22-e2e897ed83d6","otc","Outlaws of Thunder Junction Commander"
"98","","en","Ghostly Pilferer","","1","2f6a3605-950d-488b-8e4f-e2c339ef48dc","otc","Outlaws of Thunder Junction Commander"
"143","","en","Nashi, Moon Sage's Scion","","1","1e62de3b-6a41-43e3-93ad-9a1e3894be3b","otc","Outlaws of Thunder Junction Commander"
"77","","en","Oblivion Sower","","1","82bc94b5-8c22-4120-87ba-6125c62b271b","otc","Outlaws of Thunder Junction Commander"
"147","","en","Predators' Hour","","1","55ddf977-de2c-4850-8ad1-b8adab1d24ee","otc","Outlaws of Thunder Junction Commander"
"111","","en","Sage of the Beyond","","1","226a4c5d-bf49-40d8-a7a4-341c18029634","otc","Outlaws of Thunder Junction Commander"
"115","","en","Stolen Goods","","1","495c8498-a446-4617-ae5e-f09ef63c7cb7","otc","Outlaws of Thunder Junction Commander"
"150","","en","Thieving Amalgam","","1","c6225b97-396f-4969-954c-f2885da70c1b","otc","Outlaws of Thunder Junction Commander"
"118","","en","Thieving Skydiver","","1","06996ff1-7f57-4e73-940a-a58c4482cadd","otc","Outlaws of Thunder Junction Commander"
"121","","en","Triton Shorestalker","","1","511bff25-3213-42c4-8abd-9eda49f8dc96","otc","Outlaws of Thunder Junction Commander"
"122","","en","Whirler Rogue","","1","d1054d2b-a424-466d-8ec6-36f014849e43","otc","Outlaws of Thunder Junction Commander"
"212","","en","Void Attendant","","1","b3ccc905-bd43-4925-8eb9-fb9abcc81e29","otc","Outlaws of Thunder Junction Commander"
"218","","en","Cold-Eyed Selkie","","1","8c39dc54-611e-48a8-adba-9cc31afa87d0","otc","Outlaws of Thunder Junction Commander"
"267","","en","Sol Ring","","1","6c5c9437-3d99-4a7c-8255-9acdcb1acc40","otc","Outlaws of Thunder Junction Commander"
"234","","en","The Mimeoplasm","","1","998b86f3-e53f-4ebb-b111-6f14577fded1","otc","Outlaws of Thunder Junction Commander"
"252","","en","Arcane Signet","","1","2bfeb9dc-0bf7-4f19-9714-b14114e4627f","otc","Outlaws of Thunder Junction Commander"
"247","","en","Ukkima, Stalking Shadow","","1","c66b452b-9c49-4c58-9966-6bafbfa34c36","otc","Outlaws of Thunder Junction Commander"
"188","","en","Cazur, Ruthless Stalker","","1","6ee4fda8-07cd-4091-8850-a6925080b464","otc","Outlaws of Thunder Junction Commander"
"297","","en","Flooded Grove","","1","5a1c7863-c831-452d-ab6d-818e68491b05","otc","Outlaws of Thunder Junction Commander"
"308","","en","Overflowing Basin","","1","3fc2f320-18e1-4380-a1d7-d8c1e3ca5837","otc","Outlaws of Thunder Junction Commander"
"280","","en","Command Tower","","1","d1d019fb-0498-454b-a03b-4f396def718b","otc","Outlaws of Thunder Junction Commander"
"243","","en","Thief of Sanity","","1","94946d6c-1edb-46e9-a5ae-0ca2a016a7cd","otc","Outlaws of Thunder Junction Commander"
"226","","en","Fallen Shinobi","","1","979076a7-313f-4227-a4c3-548e86997e0a","otc","Outlaws of Thunder Junction Commander"
"253","","en","Bladegriff Prototype","","1","0093bdcf-6626-40ab-9b87-8ab9e4a306a4","otc","Outlaws of Thunder Junction Commander"
"215","","en","Baleful Strix","","1","be8439e6-f779-49f0-806a-b04995697a6a","otc","Outlaws of Thunder Junction Commander"
"256","","en","Darksteel Ingot","","1","f279fcf1-e4f5-4873-9d73-8d62e0343b81","otc","Outlaws of Thunder Junction Commander"
"293","","en","Exotic Orchard","","1","3da63d3f-3752-48cd-8ea4-0ce08b1b8c21","otc","Outlaws of Thunder Junction Commander"
"219","","en","Culling Ritual","","1","4c1f40e7-4d3c-416d-81e2-97f9b925301c","otc","Outlaws of Thunder Junction Commander"
"201","","en","Rampant Growth","","1","6c074663-37be-4329-a21d-9ea551edbb6b","otc","Outlaws of Thunder Junction Commander"
"241","","en","Silent-Blade Oni","","1","7ae71886-9e93-4d1c-b8f7-da7aafa83cf9","otc","Outlaws of Thunder Junction Commander"
"332","","en","Temple of Mystery","","1","9d3d1d58-c76f-4c06-8c48-382362e932da","otc","Outlaws of Thunder Junction Commander"
"264","","en","Prismatic Lens","","1","74e8d3a8-5937-4108-b2fe-23e049379345","otc","Outlaws of Thunder Junction Commander"
"270","","en","Access Tunnel","","1","de71e040-bf32-4469-bc18-567dace97dc8","otc","Outlaws of Thunder Junction Commander"
"312","","en","Reliquary Tower","","1","dd9f036d-6ae4-451e-a67a-ecc2e44123e3","otc","Outlaws of Thunder Junction Commander"
"209","","en","Three Visits","","1","4ee4ea37-621f-4ef7-b220-f4da3008e399","otc","Outlaws of Thunder Junction Commander"
"199","","en","Ohran Frostfang","","1","0693bcd2-8a3d-4dcf-8360-5b9891044dfe","otc","Outlaws of Thunder Junction Commander"
"254","","en","Chaos Wand","","1","67eb6ab9-d264-4ec6-9dac-3b16ee8c9ec0","otc","Outlaws of Thunder Junction Commander"
"238","","en","Putrefy","","1","6fcc6bf7-ccce-4975-be8b-0790ab790e3f","otc","Outlaws of Thunder Junction Commander"
"242","","en","Siphon Insight","","1","28a6b23f-a854-469a-9b06-119507dd9d42","otc","Outlaws of Thunder Junction Commander"
"296","","en","Fetid Pools","","1","566a84c0-d6e6-4cce-b9e5-0e7b5439663c","otc","Outlaws of Thunder Junction Commander"
"196","","en","Kodama's Reach","","1","eddf5231-7c46-417b-82c3-f6a8ede5ac9c","otc","Outlaws of Thunder Junction Commander"
"328","","en","Temple of Deceit","","1","18275b40-8e5d-4ac7-9c62-92d1b1c662ab","otc","Outlaws of Thunder Junction Commander"
"300","","en","Hinterland Harbor","","1","5fa1049c-67d0-414f-8bfe-f0c2aabcc835","otc","Outlaws of Thunder Junction Commander"
"231","","en","Hostage Taker","","1","c168af49-acae-45de-8c62-0e6d1006f325","otc","Outlaws of Thunder Junction Commander"
"221","","en","Edric, Spymaster of Trest","","1","22d6a4c9-4bdd-4e70-8481-95260e6aa7ab","otc","Outlaws of Thunder Junction Commander"
"281","","en","Darkslick Shores","","1","c49305d1-ac95-43ea-b02d-c3c7205bcda6","otc","Outlaws of Thunder Junction Commander"
"282","","en","Darkwater Catacombs","","1","5d2b5e7c-7c96-42d6-9eb5-743c345c4463","otc","Outlaws of Thunder Junction Commander"
"288","","en","Dimir Aqueduct","","1","2f527759-84c9-4bd3-9763-a2105c9d93f9","otc","Outlaws of Thunder Junction Commander"
"290","","en","Drowned Catacomb","","1","07b4a6dd-0e2f-43be-93c6-7578c34a9443","otc","Outlaws of Thunder Junction Commander"
"225","","en","Extract Brain","","1","8c3a4a44-5e75-42a4-8140-2105c2becff9","otc","Outlaws of Thunder Junction Commander"
"257","","en","Fellwar Stone","","1","33ca68a6-474e-4d86-bffa-ee4bddb4a3cf","otc","Outlaws of Thunder Junction Commander"
"305","","en","Llanowar Wastes","","1","bdc7e1ef-cbe0-4057-b528-6c1da07ff90b","otc","Outlaws of Thunder Junction Commander"
"307","","en","Opulent Palace","","1","dc691e02-c914-468d-8051-de1289171183","otc","Outlaws of Thunder Junction Commander"
"237","","en","Plasm Capture","","1","11ee15d5-1c93-4c30-911f-32e2aabf020e","otc","Outlaws of Thunder Junction Commander"
"240","","en","Shadowmage Infiltrator","","1","2ac920d7-013f-40ad-b79f-0bb59062d42a","otc","Outlaws of Thunder Junction Commander"
"206","","en","Silhana Ledgewalker","","1","21a2d11e-48b7-4e9a-a574-838cc26c2b17","otc","Outlaws of Thunder Junction Commander"
"325","","en","Sunken Hollow","","1","26b8d839-fb07-4221-8b00-8d3775f52f37","otc","Outlaws of Thunder Junction Commander"
"330","","en","Temple of Malady","","1","4a717a93-a19b-4f8a-9133-e56466ea8576","otc","Outlaws of Thunder Junction Commander"
"246","","en","Trygon Predator","","1","c89b3895-de35-48a4-acc0-e0056fa760bf","otc","Outlaws of Thunder Junction Commander"
"337","","en","Twilight Mire","","1","4c147332-5cfa-4e18-bc55-e16821489937","otc","Outlaws of Thunder Junction Commander"
"338","","en","Underground River","","1","1dbe5187-efdc-496a-aa52-020016ace47a","otc","Outlaws of Thunder Junction Commander"
"249","","en","Villainous Wealth","","1","a467072c-99d9-4013-8d28-607a06cf50fe","otc","Outlaws of Thunder Junction Commander"
"340","","en","Viridescent Bog","","1","fb29bc36-aaae-4daa-9b6f-1c07c6abb332","otc","Outlaws of Thunder Junction Commander"
"341","","en","Woodland Cemetery","","1","85fe379d-c188-4cad-a0ca-74fa5811aac6","otc","Outlaws of Thunder Junction Commander"
"342","","en","Yavimaya Coast","","1","0e89587e-f027-4c75-a950-f84f0987588a","otc","Outlaws of Thunder Junction Commander"
"6","foil","en","Felix Five-Boots","","1","6800e935-d327-464c-ab88-7c0193827da3","otc","Outlaws of Thunder Junction Commander"
"280","","en","Island","","5","91be4db0-7cb3-4202-939b-cb7a26e90019","otj","Outlaws of Thunder Junction"
"286","","en","Forest","","4","8e9ac507-7c8f-431f-8d1a-220ceeacf871","otj","Outlaws of Thunder Junction"
"282","","en","Swamp","","6","5c2c9dc0-7f3a-4f3a-ba08-5c2f87e252bc","otj","Outlaws of Thunder Junction"
