collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","","en","Gisa and Geralf","","1","4d8fd87c-caf7-402e-b543-e35ba3007bcb","scd","Starter Commander Decks"
"265","","en","Grimoire of the Dead","","1","b1faa0cd-3556-4664-90d3-76ae5c736f5b","scd","Starter Commander Decks"
"322","","en","Sunken Hollow","","1","5e708530-7108-4e47-844c-896389be6162","scd","Starter Commander Decks"
"79","","en","Gravespawn Sovereign","","1","e1241a23-f2da-4920-9383-b5994d7160af","scd","Starter Commander Decks"
"53","","en","Geralf's Mindcrusher","","1","53dcdb62-28d8-4981-8704-1de4309f76bb","scd","Starter Commander Decks"
"78","","en","Fleshbag Marauder","","1","84c7bed8-5f79-4f59-b7dc-f17167c140de","scd","Starter Commander Decks"
"77","","en","Feed the Swarm","","1","57a77cbc-cbe9-44b4-9651-6967a02c7e75","scd","Starter Commander Decks"
"298","","en","Dismal Backwater","","1","db659c77-8452-4364-9195-7701cefe5415","scd","Starter Commander Decks"
"263","","en","Dimir Signet","","1","47c621c7-6673-4a86-8f09-339d45fd5958","scd","Starter Commander Decks"
"48","","en","Distant Melody","","1","22f71933-5c7b-4e7c-b508-942f04657799","scd","Starter Commander Decks"
"224","","en","Diregraf Captain","","1","1e2071f5-c4d1-433b-9688-0227e8a289e9","scd","Starter Commander Decks"
"46","","en","Deep Analysis","","1","274ceb53-07a4-4def-bbbd-ac48ff4c7eec","scd","Starter Commander Decks"
"72","","en","Crippling Fear","","1","d74c3f9b-5df9-4d74-8c27-a2a9966bfe8c","scd","Starter Commander Decks"
"73","","en","Cruel Revival","","1","1c710e19-4cfb-43a1-bd01-fc0007c7426e","scd","Starter Commander Decks"
"71","","en","Champion of the Perished","","1","7bd59747-57f7-4ed1-baca-c36cb924d303","scd","Starter Commander Decks"
"293","","en","Choked Estuary","","1","821e7025-e7bf-49eb-b35f-8bfee5663535","scd","Starter Commander Decks"
"257","","en","Arcane Signet","","1","02cb9420-fbfb-4123-a830-a992ff470db6","scd","Starter Commander Decks"
"276","","en","Sol Ring","","1","1b023575-4cb5-434f-92ef-d3b81aaa3c3e","scd","Starter Commander Decks"
"267","","en","Heraldic Banner","","1","2199a8ad-0955-45df-8d74-77be2c40385b","scd","Starter Commander Decks"
"80","","en","Gray Merchant of Asphodel","","1","013ff2e6-07a6-48ec-a0f4-e933f748ad72","scd","Starter Commander Decks"
"261","","en","Commander's Sphere","","1","686b4c7f-5b42-4625-8ff9-782795eec264","scd","Starter Commander Decks"
"256","","en","Vela the Night-Clad","","1","e84372fe-90a8-4910-a768-c13c7069c978","scd","Starter Commander Decks"
"229","","en","Gleaming Overseer","","1","fcfcc1b5-e59e-4741-a573-1e05fb40dfe1","scd","Starter Commander Decks"
"57","","en","Lazotep Plating","","1","2751f413-22bb-4aed-b196-225a6ba7c794","scd","Starter Commander Decks"
"83","","en","Lazotep Reaver","","1","8eebe9a9-b25e-4cf6-a438-cbf794d9c791","scd","Starter Commander Decks"
"227","","en","Enter the God-Eternals","","1","d1da08b8-08c2-44e8-874b-eb93b535e90b","scd","Starter Commander Decks"
"119","","en","Vizier of the Scorpion","","1","db9beaff-8253-49d9-b57f-20b8cf14c802","scd","Starter Commander Decks"
"49","","en","Eternal Skylord","","1","fbef216d-da79-4565-a6a3-adf0de8ee5eb","scd","Starter Commander Decks"
"297","","en","Command Tower","","1","cae0c9e0-3be9-4151-9d59-658a032c30e9","scd","Starter Commander Decks"
"98","","en","Overseer of the Damned","","1","967f3962-482b-4080-bc65-3add0e34426b","scd","Starter Commander Decks"
"86","","en","Liliana's Mastery","","1","99833a13-cc77-4fa3-ae3e-def47a30e944","scd","Starter Commander Decks"
"110","","en","Syphon Flesh","","1","5ecbb2b5-2a9d-417e-a73d-9ab21c5308ea","scd","Starter Commander Decks"
"85","","en","Liliana's Devotee","","1","e5be825b-16ea-49eb-8ffa-79af40ce4f98","scd","Starter Commander Decks"
"95","","en","Necrotic Hex","","1","a447bd2a-110c-46fa-97db-8b92aade1d1f","scd","Starter Commander Decks"
"68","","en","Army of the Damned","","1","cd59d5ff-bba3-46fa-a963-f3dff49a2714","scd","Starter Commander Decks"
"70","","en","Cemetery Reaper","","1","82daa7af-2621-4b5b-8828-cab382a9f27c","scd","Starter Commander Decks"
