collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"139","foil","en","Disa the Restless","","1","3c8e2de5-cad6-4bb6-8351-b1e8d25e210f","m3c","Modern Horizons 3 Commander"
"61","foil","en","Siege-Gang Lieutenant","","1","2567e5a7-e045-48f1-b749-b1920b948b9b","m3c","Modern Horizons 3 Commander"
"52","foil","en","Final Act","","1","3ce94036-a20f-486a-a301-64928dcc0ac7","m3c","Modern Horizons 3 Commander"
"70","foil","en","Bloodbraid Challenger","","1","4b39d43d-2a02-4edb-915a-6a7c002c945f","m3c","Modern Horizons 3 Commander"
"197","foil","en","Archon of Cruelty","","1","78f5933b-4901-45fd-ae3f-aeae3bdf200b","m3c","Modern Horizons 3 Commander"
"138","foil","en","Coram, the Undertaker","","1","d7886c2b-515f-40d2-9bd8-cd1755c0b318","m3c","Modern Horizons 3 Commander"
"283","foil","en","Arcane Signet","","1","156a1ca1-e4b1-4e0c-a786-fd80fe189896","m3c","Modern Horizons 3 Commander"
"305","foil","en","Sol Ring","","1","19911e6e-7c35-4281-b31c-266382f052cc","m3c","Modern Horizons 3 Commander"
"335","foil","en","Demolition Field","","1","fbb9d61f-6e97-44af-81cf-63b6d3ed969d","m3c","Modern Horizons 3 Commander"
"331","foil","en","Command Tower","","1","27e36832-09ca-4070-8511-94580014c3ed","m3c","Modern Horizons 3 Commander"
"284","foil","en","Burnished Hart","","1","1ed4a957-7ba0-4a29-bf39-3b70e48a289a","m3c","Modern Horizons 3 Commander"
"50","foil","en","Barrowgoyf","","1","f979fc86-2c7e-49b3-965e-607a203cbfb1","m3c","Modern Horizons 3 Commander"
"59","foil","en","Pyrogoyf","","1","f60be310-4461-4b84-95f0-b2095108bd79","m3c","Modern Horizons 3 Commander"
"62","foil","en","Tempt with Mayhem","","1","7af47a1b-8dc8-47d4-ab89-f6f07160a71a","m3c","Modern Horizons 3 Commander"
"65","foil","en","Polygoyf","","1","00b4625c-ce91-4b86-8db7-a6c2d4fb9c92","m3c","Modern Horizons 3 Commander"
"71","foil","en","Broodmate Tyrant","","1","b46d498b-dac3-4ab0-bcd6-514025a046aa","m3c","Modern Horizons 3 Commander"
"72","foil","en","Exterminator Magmarch","","1","f3c7f177-1a21-4e35-b3bb-88a7b63e6bbe","m3c","Modern Horizons 3 Commander"
"73","foil","en","Gluttonous Hellkite","","1","63f6e8da-31ea-4edf-89a9-f2b7f2234d7e","m3c","Modern Horizons 3 Commander"
"74","foil","en","Infested Thrinax","","1","59c6c82f-6b14-4cbe-a11c-26642112d308","m3c","Modern Horizons 3 Commander"
"60","foil","en","Sawhorn Nemesis","","1","29b33e43-ffd5-4697-8261-9b4f5de36a19","m3c","Modern Horizons 3 Commander"
"341","foil","en","Exotic Orchard","","1","89f51c70-fcc8-4d97-94bb-5a75740523ad","m3c","Modern Horizons 3 Commander"
"68","foil","en","Tarmogoyf Nest","","1","eafd7838-faf2-4216-9ff6-8b98e58d69c5","m3c","Modern Horizons 3 Commander"
"363","foil","en","Path of Ancestry","","1","06869588-eb99-43b4-9521-948ca9f27c3e","m3c","Modern Horizons 3 Commander"
"388","foil","en","Temple of Malady","","1","7e299990-4128-4a9c-9f8c-08838f248094","m3c","Modern Horizons 3 Commander"
"311","foil","en","Talisman of Impulse","","1","f2e47cb9-39c2-4419-b90f-0cd3fbb8d4b2","m3c","Modern Horizons 3 Commander"
"314","foil","en","Talisman of Resilience","","1","e77335bc-ba8c-4d44-9f7e-57700132ca68","m3c","Modern Horizons 3 Commander"
"209","foil","en","Chandra's Ignition","","1","43e757f4-cd0c-45f8-8574-cdacc309fe54","m3c","Modern Horizons 3 Commander"
"208","foil","en","Anger","","1","c87eecb1-99cc-47c8-b404-5c41afa59c7d","m3c","Modern Horizons 3 Commander"
"282","foil","en","Altar of the Goyf","","1","a372b9c3-2611-4eba-834c-5fb113ac9bed","m3c","Modern Horizons 3 Commander"
"224","foil","en","Brawn","","1","e3d58928-500d-46fc-b82b-f1add64df859","m3c","Modern Horizons 3 Commander"
"255","foil","en","Bituminous Blast","","1","ef5eb555-4de2-4d58-afce-7cafdddb5bc0","m3c","Modern Horizons 3 Commander"
