collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Brimaz, Blight of Oreskos","","1","f0d31ae7-8580-402a-a917-3d626a9e1f49","moc","March of the Machine Commander"
"277","","en","Plains","","10","00bf269d-aca3-494c-8777-de90ae903af2","mom","March of the Machine"
"279","","en","Swamp","","13","888cdb76-d365-41df-8b6a-378ac58ca8b2","mom","March of the Machine"
"121","","en","Phyrexian Gargantua","","1","a2be7576-bea6-4c20-b594-a058115f7acf","mom","March of the Machine"
"45","","en","Bitterthorn, Nissa's Animus","","1","fa7a883f-e180-48ce-b7d4-cded2f74c323","moc","March of the Machine Commander"
"19","","en","Vulpine Harvester","","1","42ebea93-14ba-4405-84a2-95e51a777ed5","moc","March of the Machine Commander"
"15","","en","Filigree Vector","","1","97fb9c9a-2278-42d0-9632-3a7e8faff74d","moc","March of the Machine Commander"
"14","","en","Excise the Imperfect","","1","ec4d501d-dacf-4f49-8756-f1190e244405","moc","March of the Machine Commander"
"13","","en","Darksteel Splicer","","1","2a4f3d89-86dc-45df-9593-d8a7c336ebac","moc","March of the Machine Commander"
"28","","en","Path of the Schemer","","1","5832df72-99dc-4c9e-b8e6-90b666abf08d","moc","March of the Machine Commander"
"25","","en","Blight Titan","","1","e00c55f4-676f-40dc-a7f7-a53f07dd3107","moc","March of the Machine Commander"
"96","","en","Compleated Huntmaster","","1","4fc23af5-18dd-45f9-8d82-76b48aaf6d4d","mom","March of the Machine"
"46","","en","Ichor Elixir","","1","5ff34beb-9a69-4e15-91d3-be2100b73797","moc","March of the Machine Commander"
"175","","en","Blade Splicer","","1","3dac9526-388d-487e-a790-066f83050794","moc","March of the Machine Commander"
"211","","en","Swords to Plowshares","","1","81c31217-7919-40fd-97e7-88431b7bd277","moc","March of the Machine Commander"
"199","","en","Phyrexian Rebirth","","1","5516854d-ace3-4e02-a2d1-f780c3b15e37","moc","March of the Machine Commander"
"256","","en","Massacre Wurm","","1","fce002dc-5fb5-465b-935e-042121f1119d","moc","March of the Machine Commander"
"418","","en","Path of Ancestry","","1","f975779d-60d4-4838-ac01-74b958b955a1","moc","March of the Machine Commander"
"369","","en","Orzhov Signet","","1","9325b7d1-d836-479b-a124-2f4eaf7cf1dd","moc","March of the Machine Commander"
"171","","en","Angel of the Ruins","","1","5ad8f241-128a-473d-b8ce-994f8f66af72","moc","March of the Machine Commander"
"259","","en","Night's Whisper","","1","221c82a2-b558-4c3a-b7ad-4452ef8e9067","moc","March of the Machine Commander"
"366","","en","Myr Battlesphere","","1","d8299d1e-84c1-4c02-a00d-6e7a662e1a7a","moc","March of the Machine Commander"
"353","","en","Coveted Jewel","","1","278e810d-8a4f-4841-a221-39a24b034355","moc","March of the Machine Commander"
"367","","en","Nettlecyst","","1","b1814114-0f16-4baa-b5d9-b39ca47cf801","moc","March of the Machine Commander"
"375","","en","Scytheclaw","","1","865eef90-dc94-4606-ac0e-69ea8ba9cfab","moc","March of the Machine Commander"
"194","","en","Master Splicer","","1","8cf185b3-2285-41cf-97a5-4226c68d044e","moc","March of the Machine Commander"
"206","","en","Shattered Angel","","1","58e4fb9b-76bc-4daf-b0a3-4bf62757902d","moc","March of the Machine Commander"
"247","","en","Bone Shredder","","1","7165a9ac-3f44-4d14-93bb-d4d4970ab41b","moc","March of the Machine Commander"
"248","","en","First-Sphere Gargantua","","1","323c8de1-f09b-45c5-8942-81cb3a09c803","moc","March of the Machine Commander"
"254","","en","Keskit, the Flesh Sculptor","","1","a9ecbf55-1f85-4877-a1ea-bf0d90dd9979","moc","March of the Machine Commander"
"263","","en","Phyrexian Delver","","1","86f6f3e9-b594-49da-b0af-75a672590da1","moc","March of the Machine Commander"
"264","","en","Phyrexian Ghoul","","1","43752240-10b1-4920-bb89-e4a4a1e78219","moc","March of the Machine Commander"
"265","","en","Phyrexian Rager","","1","a9861fb3-6722-43b8-bf0a-af6dd166e59d","moc","March of the Machine Commander"
"266","","en","Phyrexian Scriptures","","1","09bb74d7-dd61-4cce-b88c-ee4d656a97f4","moc","March of the Machine Commander"
"370","","en","Phyrexian Triniform","","1","1b66815d-f895-4c3b-be46-7f1e3b478cf5","moc","March of the Machine Commander"
"371","","en","Psychosis Crawler","","1","783a4620-3054-4f31-b2ac-e3272197c291","moc","March of the Machine Commander"
"382","","en","Soul of New Phyrexia","","1","a52b55b5-72d9-4364-9fd4-96f05367aece","moc","March of the Machine Commander"
"381","","en","Sol Ring","","1","eca9ae7b-a6d9-43ea-92d4-0110fd6643a7","moc","March of the Machine Commander"
"348","","en","Arcane Signet","","1","6fc44891-b291-4234-8e11-a3d86ec26c83","moc","March of the Machine Commander"
"351","","en","Burnished Hart","","1","81346d8b-8bdb-4c48-9889-865b23bd001e","moc","March of the Machine Commander"
"426","","en","Spire of Industry","","1","a92516e8-9e52-4fa8-8c22-9191ec5b155e","moc","March of the Machine Commander"
"443","","en","Vault of the Archangel","","1","b7811266-a9fd-4db6-a591-d73e4072b939","moc","March of the Machine Commander"
"347","","en","Ancient Stone Idol","","1","51cfea41-9051-4865-8539-c76c70d18523","moc","March of the Machine Commander"
"352","","en","Commander's Sphere","","1","c8ffce25-18a5-4232-aa7c-d5c1a88e6052","moc","March of the Machine Commander"
"260","","en","Noxious Gearhulk","","1","36b1e963-9b8c-4103-abbc-580866f144e7","moc","March of the Machine Commander"
"359","","en","Hedron Archive","","1","abba5d92-3d12-4724-ba6b-2570e55ac810","moc","March of the Machine Commander"
"398","","en","Exotic Orchard","","1","2448d4fb-f327-4a68-b5ce-806f63425f0a","moc","March of the Machine Commander"
"397","","en","Evolving Wilds","","1","c78d5616-32dc-45ca-a1b2-d6b4f7951393","moc","March of the Machine Commander"
"385","","en","Talisman of Hierarchy","","1","8b33ec17-7ba0-4453-8ca3-9f4f2b0e8579","moc","March of the Machine Commander"
"396","","en","Command Tower","","1","91b73884-6850-479d-8531-e17c8531a245","moc","March of the Machine Commander"
"364","","en","Mind Stone","","1","b63418ae-2f77-4229-b921-fbce75b9daa4","moc","March of the Machine Commander"
"409","","en","Karn's Bastion","","1","cb6e7254-ce84-43d7-bf7a-769ab5b48be2","moc","March of the Machine Commander"
"373","","en","Scrap Trawler","","1","614be454-3829-4c3b-9485-930755dfa16d","moc","March of the Machine Commander"
"389","","en","Wayfarer's Bauble","","1","2498c2d5-c7b8-47ad-8a13-b92d36b5db10","moc","March of the Machine Commander"
"250","","en","Go for the Throat","","1","5446e1ba-c745-45b2-ad05-b22abf04daec","moc","March of the Machine Commander"
"374","","en","Sculpting Steel","","1","d1958f01-77e9-4976-b7f8-f9b62aa78edc","moc","March of the Machine Commander"
"270","","en","Victimize","","1","54b5c19e-f50a-4cd1-bf42-e545da7a6b0f","moc","March of the Machine Commander"
"246","","en","Ambition's Cost","","1","d560c996-ef80-4117-8642-a632ae51c07d","moc","March of the Machine Commander"
"350","","en","Bloodline Pretender","","1","73f2d0bb-f6d6-4073-8959-31643f3b2bb6","moc","March of the Machine Commander"
"391","","en","Bojuka Bog","","1","9884a11f-11ad-4836-8a59-d2f6f381b151","moc","March of the Machine Commander"
"176","","en","Cataclysmic Gearhulk","","1","d5b8efa8-2d62-45b8-9e48-6be0a4ee944d","moc","March of the Machine Commander"
"322","","en","Despark","","1","397d6a06-05f7-412f-a4f1-0ac1e07e733f","moc","March of the Machine Commander"
"355","","en","Duplicant","","1","18723171-b9bb-434f-a4db-e751249c3af1","moc","March of the Machine Commander"
"399","","en","Fetid Heath","","1","a6316d65-819c-42de-965e-8f2181f27a7f","moc","March of the Machine Commander"
"357","","en","Fractured Powerstone","","1","aeaa7115-bebe-4650-9575-f7855c0055cd","moc","March of the Machine Commander"
"407","","en","Goldmire Bridge","","1","3235954d-a1b1-4822-b177-1691347d1e58","moc","March of the Machine Commander"
"251","","en","Graveshifter","","1","b7bb405a-3643-4b3a-95d2-ea7ac9c6a2ff","moc","March of the Machine Commander"
"363","","en","Meteor Golem","","1","e3c7a2f9-b3f3-4092-8ce9-777ad035baed","moc","March of the Machine Commander"
"337","","en","Mortify","","1","9dbb8991-1b2c-4045-be1f-54286027d4a1","moc","March of the Machine Commander"
"368","","en","Orzhov Locket","","1","52f5b969-2f5a-4f9d-9301-2cbfbc7d76e0","moc","March of the Machine Commander"
"376","","en","Shimmer Myr","","1","d4813f6b-51f9-4d37-ab36-24d9485342b4","moc","March of the Machine Commander"
"422","","en","Shineshadow Snarl","","1","03000794-9138-4a58-acb6-e22bc3fad862","moc","March of the Machine Commander"
"423","","en","Silverquill Campus","","1","66314fd2-c36b-431d-83e5-c0f8146d3f19","moc","March of the Machine Commander"
"429","","en","Tainted Field","","1","d79ff850-3a0a-432b-9296-ca709df3d4c0","moc","March of the Machine Commander"
"436","","en","Temple of Silence","","1","bd7e702f-c834-487d-b61b-7987ec2ee988","moc","March of the Machine Commander"
"439","","en","Terramorphic Expanse","","1","66639e5d-8a74-4d58-a77d-0bb9d6d62bb1","moc","March of the Machine Commander"
"341","","en","Utter End","","1","b8a702e4-0d5c-428b-b490-64fe6701f6d4","moc","March of the Machine Commander"
"271","","en","Yawgmoth's Vile Offering","","1","31825ceb-d795-4ad7-81d8-77ab34c272f9","moc","March of the Machine Commander"
"7","foil","en","Moira and Teshar","","1","19d0acaa-bfbf-4155-a9b0-5b39c3c87361","moc","March of the Machine Commander"
